t_n211	t_n212	t_n213	t_n214	t_n215	t_n216	t_n217	t_n218	t_n219	t_n220	t_n221	t_n222	t_n223	t_n224	t_n225	t_n226	t_n227	t_n228	t_n229	t_n230	t_n231	t_n232	t_n233	t_n234	t_n235	t_n236	t_n237	t_n238	t_n239	t_n240	t_n241	t_n242	t_n243	t_n244	t_n245	t_n246	t_n247	t_n248	t_n249	t_n250	t_n251	t_n252	t_n253	t_n254	t_n255	t_n256	t_n257	t_n258	t_n259	t_n260	t_n261	t_n262	t_n263	t_n264	t_n265	t_n266	t_n267	t_n268	t_n269	t_n270	t_n271	t_n272	t_n273	t_n274	t_n275	t_n276	t_n277	t_n278	t_n279	t_n280	t_n281	t_n282	t_n283	t_n284	t_n285	t_n286	t_n287	t_n288	t_n289	t_n290	t_n291	t_n292	t_n293	t_n294	t_n295	t_n296	t_n297	t_n298	t_n299	t_n300	t_n301	t_n302	t_n303	t_n304	t_n305	t_n306	t_n307	t_n308	t_n309	t_n310	t_n311	t_n312	t_n313	t_n314	t_n315	t_n316	t_n317	t_n318	t_n319	t_n320	t_n321	t_n322	t_n323	t_n324	t_n325	t_n326	t_n327	t_n328	t_n329	t_n330	t_n331	t_n332	t_n333	t_n334	t_n335	t_n336	t_n337	t_n338	t_n339	t_n340	t_n341	t_n342	t_n343	t_n344	t_n345	t_n346	t_n347	t_n348	t_n349	t_n350	t_n351	t_n352	t_n353	t_n354	t_n355	t_n356	t_n357	t_n358	t_n359	t_n360	t_n361	t_n362	t_n363	t_n364	t_n365	t_n366	t_n367	t_n368	t_n369	t_n370	t_n371	t_n372	t_n373	t_n374	t_n375	t_n376	t_n377	t_n378	t_n379	t_n380	t_n381	t_n382	t_n383	t_n384	t_n385	t_n386	t_n387	t_n388	t_n389	t_n390	t_n391	t_n392	t_n393	t_n394	t_n395	t_n396	t_n397	t_n398	t_n399	t_n400	t_n401	t_n402	t_n403	t_n404	t_n405	t_n406	t_n407	t_n408	t_n409	t_n410	t_n411	t_n412	t_n413	t_n414	t_n415	t_n416	t_n417	t_n418	t_n419
run1	1.9664707	0.6178847	0.5718409	0.442995	0.3950192	0.3883099	0.3585395	0.2610174	0.2521094	0.2073594	0.2027051	0.1895819	0.1826833	0.1735488	0.1658076	0.1333313	0.127873	0.1172404	0.0726726	0.0688669	0.0613708	0.0570802	0.0451587	0.0174162	0.0018119	0.0390633	0.0286623	0.0134205	0.0680881	0.1140312	0.1039665	0.0520082	0.1535659	0.139989	0.1347171	0.0380535	0.07591	0.1281883	0.0836588	0.0737398	0.0664402	0.0590915	0.0120995	0.0289409	0.1825153	0.1684407	0.1534127	0.111762	0.0918661	0.0755715	0.0649973	0.0391275	0.0676153	0.0604943	0.0730788	0.0544594	0.0405336	0.03287	0.028484	0.0137821	0.1981503	0.187177	0.1480508	0.1366947	0.0913375	0.0406607	0.0684525	0.1002974	0.0646529	0.0101081	0.0854712	0.1469945	0.108576	0.0659686	0.0532676	0.0365286	0.0247796	0.0403227	0.2270382	0.1220146	0.0806104	0.0793556	0.0774413	0.0652001	0.0505962	0.0424733	0.0309641	0.0228413	0.0230995	0.0343151	0.0582051	0.0364192	0.030959	0.0226854	0.014477	0.0263658	0.0671788	0.0623488	0.050199	0.0364691	0.0230404	0.0736579	0.0618915	0.0472097	0.0201372	0.0149394	0.0115276	0.0566881	0.0164273	0.013073	0.0769654	0.0559758	0.0138835	0.0098509	0.0924084	0.0615598	0.0493527	0.022351	0.1542858	0.1296793	0.1048984	0.06312	0.0266406	0.0576449	0.0749821	0.0310384	0.1083025	0.0629274	0.0217973	0.1300491	0.0897071	0.2941014	0.2682897	0.1073244	0.3254316	0.1973637	0.146805	0.107951	0.0725974	0.0554156	0.0163141	0.1299624	0.0420947	0.0168635	0.0900727	0.3400324	0.2883763	0.2363445	0.1516396	0.0969853	0.0697735	0.0654694	0.0475903	0.025746	0.0114857	0.0127834	0.0344378	0.0225635	0.2702632	0.2355022	0.1760158	0.1226037	0.1595357	0.0430736	0.1480261	0.0651181	0.3260666	0.1668369	0.1004279	0.0721379	0.0880733	0.1171392	0.436828	0.3950732	0.3378336	0.2822397	0.2555404	0.24934	0.2139707	0.1033486	0.0869955	0.0726788	0.062925	0.0285078	0.0245225	0.0170658	0.0430304	0.0267475	0.0583591	0.0517523	0.0762594	0.0697325	0.0596284	0.0345479	0.0629797	0.0532829	0.1493934	0.0507352	0.3021782	0.330442	0.2004832	0.174475	0.0914641	0.0737583	0.3786604	0.1787062	0.0774278	1.229916	0.2746565
run2	1.9670319	0.6179929	0.571689	0.4425971	0.3947511	0.387903	0.3580669	0.2597815	0.2511437	0.2067996	0.202124	0.1888871	0.1820978	0.1729208	0.1652422	0.1327603	0.1275841	0.1169608	0.0721472	0.0682571	0.0608873	0.0566734	0.0451878	0.0171893	0.0018386	0.0387927	0.0285275	0.0135445	0.0678566	0.1137671	0.1044205	0.0519164	0.1531894	0.139409	0.1340846	0.0379102	0.0755677	0.1274897	0.0830936	0.0732005	0.0658123	0.0587889	0.0120794	0.0287212	0.1819661	0.1679573	0.1531275	0.1113413	0.0919902	0.075531	0.0643481	0.038846	0.0672055	0.0601434	0.0723183	0.0541409	0.0402282	0.0325626	0.0284323	0.0136414	0.197265	0.186504	0.1475815	0.136555	0.0902328	0.0400861	0.0673294	0.0998147	0.064539	0.0101305	0.0855199	0.1462258	0.1081706	0.0655844	0.0531258	0.0365914	0.0248777	0.0400531	0.2259053	0.1221411	0.0806252	0.0793425	0.077521	0.0650912	0.0504024	0.0423754	0.0309494	0.022888	0.0229712	0.0341641	0.0579946	0.0363271	0.0309894	0.0226375	0.0143828	0.0262253	0.0670696	0.062386	0.049799	0.0360486	0.0227828	0.0737047	0.0616495	0.0469979	0.0200964	0.0150563	0.0115136	0.0564805	0.0162129	0.01291	0.0770596	0.0556314	0.0137648	0.0097333	0.0912347	0.0610518	0.0490871	0.0219063	0.1538461	0.1288282	0.1046371	0.0629833	0.0266148	0.0575064	0.0745264	0.0307662	0.1079532	0.0627408	0.021587	0.1284614	0.0857421	0.2939469	0.2685754	0.106738	0.3255563	0.1973451	0.1458871	0.1069377	0.0723126	0.0552369	0.0164104	0.1295107	0.0419326	0.0166331	0.0892137	0.3399079	0.287968	0.2361436	0.1518094	0.0968521	0.0696765	0.0651634	0.0474578	0.0255313	0.0113449	0.0131186	0.0342519	0.0222473	0.2698027	0.2350407	0.1761314	0.122361	0.1598106	0.0424789	0.148201	0.0650203	0.3258331	0.1667907	0.1005678	0.0721527	0.0877236	0.1175804	0.436463	0.3949102	0.3376948	0.2814355	0.2545938	0.2485251	0.2134613	0.1038534	0.0870037	0.0730105	0.0631189	0.0286628	0.0246179	0.0169517	0.0431818	0.0270158	0.0583788	0.05171	0.0756105	0.0690813	0.0592969	0.0343015	0.0623644	0.0528357	0.1487554	0.0501292	0.3019271	0.3297128	0.1983633	0.1712818	0.0897377	0.0723482	0.3783114	0.1777005	0.0765224	1.232087	0.2717888
run3	1.9615917	0.6178717	0.5720766	0.4429889	0.3948993	0.3882669	0.3583859	0.2608999	0.2521874	0.2072951	0.2027193	0.1895114	0.1829628	0.1737198	0.1660762	0.1331635	0.1278128	0.1170359	0.0721479	0.0684114	0.0610646	0.0569405	0.0454234	0.0175601	0.0017682	0.0390268	0.0285668	0.0134048	0.0677728	0.1142187	0.1044565	0.0521422	0.153681	0.140747	0.1351373	0.0383691	0.0751063	0.1281078	0.083818	0.0739399	0.0661013	0.0590522	0.012255	0.0285877	0.1824571	0.1679167	0.1533969	0.1116028	0.0924215	0.0753777	0.0645463	0.0387561	0.0673631	0.0603602	0.0727408	0.0537796	0.0400192	0.0325532	0.0284085	0.0138374	0.1980866	0.1872947	0.1476155	0.1366107	0.0911222	0.0403178	0.0682552	0.1007361	0.0645523	0.0101164	0.085472	0.1465059	0.1082748	0.0653826	0.0533222	0.0365168	0.0249422	0.0396549	0.2269539	0.1220076	0.0805557	0.0793959	0.0774976	0.0651102	0.0502749	0.0423346	0.030841	0.0228508	0.0230429	0.0342671	0.0581671	0.036381	0.030997	0.0229246	0.0143894	0.0262986	0.0670909	0.0618793	0.0500635	0.0361323	0.0228783	0.0735216	0.0615273	0.0469331	0.0202855	0.0150331	0.0115047	0.0563073	0.0161728	0.0129026	0.0767113	0.0558483	0.0140941	0.0097767	0.091552	0.0615256	0.0491438	0.0219046	0.1545707	0.1296876	0.1054203	0.0631974	0.0265719	0.0575815	0.0749452	0.0310219	0.1082253	0.0629762	0.0215978	0.1273759	0.0856516	0.2945051	0.2684031	0.1079909	0.3255117	0.1976368	0.1464591	0.1080254	0.0726443	0.0555218	0.0162565	0.1301419	0.042189	0.0167666	0.0899336	0.3399774	0.2884234	0.2364206	0.1519047	0.0967559	0.069817	0.0653025	0.0475691	0.0255413	0.011455	0.0131043	0.0344311	0.0220951	0.2703659	0.2352938	0.1759112	0.1223182	0.1603711	0.0425622	0.1482514	0.0644856	0.3264188	0.1668268	0.1007115	0.0727895	0.0878261	0.1176042	0.4366256	0.3948646	0.3373268	0.2812426	0.2543212	0.2479355	0.2128192	0.103039	0.0869807	0.0729563	0.0628003	0.0287166	0.0244288	0.0170884	0.0430302	0.0268321	0.0581277	0.051457	0.0751942	0.0688041	0.058714	0.0338862	0.0623625	0.0526483	0.1483146	0.0508041	0.3012872	0.329419	0.1986203	0.1719254	0.0897078	0.0729917	0.3774722	0.1769248	0.0767081	1.2244766	0.2675449
run4	1.9655187	0.6178816	0.5716137	0.4425192	0.3945438	0.3875541	0.3574775	0.2590557	0.2500715	0.205452	0.2009082	0.1876842	0.1807669	0.1720178	0.1644379	0.1326153	0.1268957	0.1163355	0.0718086	0.0680891	0.0609497	0.056702	0.0450263	0.0172847	0.0018036	0.0386707	0.0281834	0.0133458	0.0674599	0.1137852	0.1038412	0.0520389	0.1524017	0.1390531	0.1335246	0.0380863	0.0749764	0.1268836	0.0831481	0.0735308	0.0659185	0.0587422	0.0121655	0.0284617	0.1809758	0.1665585	0.1519873	0.1108848	0.0915193	0.0752114	0.0642066	0.038722	0.0671771	0.0600358	0.0722094	0.0539056	0.0402515	0.0325486	0.0283765	0.0135597	0.1962475	0.1856368	0.1467528	0.1355845	0.0905993	0.0402267	0.0678051	0.0994836	0.0640215	0.0100517	0.0849516	0.1454614	0.107438	0.0652117	0.0527892	0.0362098	0.0246808	0.0396718	0.2247052	0.1210349	0.0797402	0.0784989	0.0767204	0.0646701	0.0499888	0.0421939	0.0306341	0.0227787	0.0228287	0.0340114	0.0576327	0.036247	0.0307691	0.0226279	0.0144888	0.0259963	0.0666307	0.0615574	0.0496532	0.0360028	0.0229694	0.0728081	0.0612271	0.0466755	0.0199995	0.0150569	0.0113631	0.0562506	0.0160146	0.0128034	0.0761127	0.0553042	0.0138616	0.00978	0.090959	0.0610615	0.048861	0.0218143	0.1526861	0.1286446	0.1045122	0.062836	0.0264976	0.057597	0.074326	0.0311243	0.1073643	0.0621438	0.0215763	0.127039	0.0848837	0.2936623	0.2674225	0.1082623	0.3251325	0.1971735	0.1462947	0.1073995	0.072893	0.0555398	0.0164517	0.1300075	0.0423725	0.0166007	0.0905849	0.3396992	0.2877216	0.2359754	0.1517446	0.0968473	0.0698946	0.0653534	0.0473162	0.0255667	0.0115275	0.0129316	0.0342904	0.0217949	0.2701713	0.2348374	0.1751291	0.1220758	0.1591667	0.0424902	0.1483933	0.064741	0.3254755	0.1663181	0.100265	0.0717402	0.0873845	0.1166748	0.4360843	0.394563	0.3370166	0.2808328	0.2540752	0.2477342	0.2125108	0.1022131	0.0862032	0.0723061	0.0623425	0.0284484	0.024322	0.0167129	0.0427158	0.0263778	0.0580297	0.0508925	0.075543	0.0690171	0.0588365	0.0340181	0.0623676	0.05267	0.1484875	0.0506243	0.3022743	0.3289086	0.1969589	0.1711646	0.0903314	0.0724526	0.3765235	0.177727	0.0765483	1.2050245	0.265333
run5	1.969262	0.6177062	0.5713134	0.4425512	0.3942551	0.3875477	0.3575854	0.2599222	0.2513041	0.2064795	0.2020931	0.1889913	0.182406	0.1732674	0.1654468	0.1329283	0.1272296	0.116821	0.072101	0.0684376	0.0608656	0.0566498	0.0451372	0.0173412	0.0017759	0.0385743	0.028291	0.0132988	0.0674609	0.1138373	0.1043136	0.0520543	0.1533384	0.1402378	0.134775	0.0382842	0.0753835	0.1275508	0.0835408	0.0733755	0.0660993	0.0587882	0.0123491	0.028806	0.1819555	0.1681443	0.1533695	0.1113703	0.0923273	0.0754267	0.0647467	0.0387684	0.0674003	0.0605508	0.0722609	0.0542294	0.0401369	0.0323756	0.0282898	0.0135019	0.1971184	0.1863881	0.1469864	0.1363284	0.0904641	0.0400575	0.0679769	0.099975	0.064537	0.0100892	0.0850406	0.145851	0.107816	0.0649139	0.0527718	0.0359952	0.0245299	0.0398845	0.2259316	0.1219996	0.0806493	0.07941	0.077614	0.0649846	0.0503747	0.0423995	0.0308861	0.0229739	0.0228351	0.0341096	0.0579301	0.0361473	0.030677	0.0225463	0.0143037	0.0260182	0.0671516	0.0620907	0.0501169	0.0362484	0.0228222	0.0735136	0.061531	0.0466258	0.0199831	0.0150008	0.0116199	0.0565653	0.0162	0.0129828	0.0767658	0.0558192	0.0139179	0.0096429	0.0911884	0.0613216	0.0493142	0.0218465	0.153966	0.1290586	0.104924	0.0633393	0.0265067	0.057613	0.0745377	0.0306087	0.1075363	0.0621468	0.021436	0.1293092	0.0867589	0.2941654	0.2684244	0.1055485	0.3250969	0.1976549	0.1461498	0.1073528	0.0725085	0.0552998	0.0161621	0.1299945	0.0422188	0.0166626	0.089443	0.3394835	0.2878802	0.2358897	0.1518363	0.0969682	0.0701229	0.0655656	0.0474477	0.025619	0.0113276	0.01289	0.0342961	0.0220377	0.2702978	0.2346055	0.1759226	0.1224889	0.1593442	0.0423366	0.1478546	0.0646778	0.3255941	0.1657098	0.0995554	0.0717361	0.0868456	0.1168355	0.4360976	0.3948947	0.338138	0.2819113	0.255439	0.2491322	0.213543	0.1027259	0.0867262	0.0724142	0.0625931	0.0285487	0.024391	0.016887	0.0428142	0.0267372	0.0576968	0.0513999	0.0757368	0.0695331	0.059429	0.0343156	0.0628727	0.0528605	0.1485067	0.0505245	0.3012621	0.3295846	0.1989811	0.1732055	0.0902152	0.072506	0.3774855	0.1770312	0.0764848	1.2187382	0.2716713
run6	1.9641971	0.6177873	0.5714757	0.4429253	0.395489	0.3886697	0.3586027	0.2603675	0.2515085	0.2067324	0.2022916	0.1892584	0.1825726	0.1735076	0.165751	0.13306	0.1277454	0.1172994	0.0727959	0.0687863	0.0615566	0.0573111	0.0456816	0.0174831	0.0017984	0.0392087	0.0288654	0.013486	0.0680293	0.1143096	0.1044256	0.0515343	0.1535996	0.1397174	0.1344773	0.0384364	0.0759616	0.1278219	0.0836171	0.0736296	0.0663582	0.0594925	0.0120919	0.0286137	0.1820587	0.1677597	0.1530834	0.1117539	0.0916173	0.0754067	0.0645593	0.0386748	0.0675219	0.0605248	0.0722759	0.05411	0.0402485	0.0324834	0.0283022	0.0135874	0.1972861	0.1868131	0.1476133	0.1363517	0.0909354	0.0402008	0.0680983	0.100164	0.0648185	0.0099955	0.0856245	0.1463612	0.1080892	0.0653093	0.052909	0.0363401	0.024691	0.0400344	0.2259684	0.1218322	0.0806755	0.079373	0.0774376	0.0653652	0.0504913	0.0426538	0.0309333	0.0230368	0.0229858	0.0345461	0.058498	0.0366463	0.0310126	0.0227403	0.0143902	0.0262104	0.0672229	0.0623993	0.050413	0.0364652	0.0230529	0.0736526	0.0616906	0.0470247	0.0203467	0.0150735	0.0114766	0.0563758	0.0164004	0.0130098	0.0769921	0.0559108	0.0141186	0.0096907	0.0914067	0.0614468	0.0490332	0.0221137	0.1537887	0.1294014	0.104703	0.0628865	0.0266738	0.0575672	0.0746653	0.0309876	0.1072644	0.0624261	0.0214549	0.1285449	0.0876302	0.2939105	0.2680042	0.1058685	0.3260945	0.1975522	0.1460992	0.1070933	0.0725258	0.0554382	0.0163894	0.1298067	0.0428693	0.0169373	0.0895535	0.340833	0.2887454	0.2362084	0.1519905	0.0967753	0.0696262	0.0651213	0.047363	0.0253411	0.0113993	0.0127992	0.0341976	0.0217604	0.270986	0.2355561	0.1755916	0.1233386	0.1597825	0.0428739	0.1479811	0.0646417	0.3270061	0.1669685	0.1002426	0.0720423	0.0878069	0.1187373	0.4367389	0.3950824	0.3377514	0.2812232	0.2551613	0.2486172	0.2131998	0.1029856	0.087016	0.0726451	0.0627382	0.0284716	0.0244725	0.0170518	0.0433146	0.0266726	0.0580809	0.0517341	0.0759974	0.0693829	0.0589625	0.0342585	0.0629049	0.0529342	0.1488639	0.050547	0.3015041	0.329848	0.199322	0.1727991	0.0912215	0.0723324	0.3777565	0.1779652	0.0767626	1.2220688	0.2709797
run7	1.9657841	0.6179077	0.5720308	0.4427365	0.3948473	0.3882798	0.3582501	0.2610394	0.251913	0.2074477	0.2031614	0.1901206	0.1829627	0.1743209	0.1667237	0.1344099	0.1287787	0.1179199	0.072875	0.0690718	0.0617098	0.0573165	0.0457185	0.0173712	0.0018076	0.0392982	0.028677	0.013595	0.0686249	0.1145928	0.1050581	0.0519928	0.1545924	0.1409263	0.1353584	0.0384028	0.0761236	0.1284774	0.0842358	0.0744932	0.066529	0.0593726	0.0121833	0.0291818	0.1828972	0.1686021	0.1538284	0.1122175	0.0926622	0.0760686	0.065077	0.0389191	0.0676753	0.0604137	0.0726133	0.054264	0.0400833	0.0325985	0.0282815	0.0135184	0.1983935	0.1876686	0.1480632	0.1367619	0.0906607	0.0405598	0.0686199	0.1005409	0.0649068	0.010233	0.0864065	0.1469962	0.1087113	0.0658088	0.0537545	0.0366478	0.0250849	0.0404743	0.2266092	0.1219349	0.0807655	0.0794529	0.0777071	0.065454	0.050718	0.0427204	0.030955	0.0231741	0.023159	0.0345983	0.0582573	0.036681	0.0312119	0.0229084	0.0145191	0.0263449	0.067483	0.062385	0.0500521	0.0363714	0.0230189	0.0736891	0.0616659	0.0470064	0.0202582	0.0149317	0.0114488	0.0567171	0.0164516	0.0130146	0.0770705	0.056206	0.0140766	0.0098555	0.0918454	0.0616517	0.0492057	0.0221491	0.1542236	0.129364	0.105088	0.0630753	0.0264908	0.0575342	0.075045	0.0310751	0.1076446	0.0628015	0.0215309	0.1284882	0.0847095	0.2949075	0.2685414	0.1080228	0.325972	0.1968663	0.1466514	0.1076041	0.0731132	0.0558566	0.0165554	0.1294791	0.0425385	0.0168721	0.0894749	0.340378	0.2885423	0.2367602	0.1515761	0.096671	0.0698961	0.0652738	0.0474756	0.0255302	0.0114302	0.0129052	0.0342075	0.0219707	0.2709608	0.2351528	0.1760607	0.1230261	0.1597803	0.0429234	0.1483911	0.0645765	0.3264529	0.1668154	0.10048	0.0723979	0.0876867	0.1179942	0.4367024	0.3948419	0.3376588	0.2816914	0.2550498	0.2486255	0.2131818	0.1031432	0.08717	0.0727571	0.0628531	0.0287666	0.0247239	0.0170783	0.0432129	0.0268584	0.0583296	0.0513405	0.0760729	0.0692507	0.0594923	0.0344215	0.0629424	0.0530546	0.1489365	0.0504741	0.301263	0.3294735	0.1988476	0.173092	0.0907932	0.0729079	0.3791408	0.1791939	0.0776	1.2015512	0.2675391
run8	1.9712531	0.6178855	0.5716397	0.4427018	0.3948633	0.3881263	0.3579362	0.2617647	0.2528151	0.2085639	0.2041965	0.1911101	0.1842218	0.1749617	0.1672107	0.1346869	0.1291105	0.1182272	0.0732992	0.0694739	0.0617809	0.0576636	0.0455422	0.0175577	0.001774	0.0392069	0.028749	0.0134647	0.0684206	0.1149794	0.1049214	0.0524358	0.1547023	0.1408048	0.1354487	0.0378631	0.0759906	0.1285339	0.0843248	0.0737816	0.0667709	0.0594265	0.0120375	0.0287083	0.1837839	0.1693894	0.1548151	0.1124596	0.092553	0.076335	0.0649206	0.0391543	0.0680782	0.0608927	0.0733403	0.0548109	0.0404158	0.0326005	0.0283042	0.0136362	0.1993364	0.1885786	0.1484083	0.1369463	0.0912735	0.0404414	0.0684571	0.1001819	0.0648884	0.0100069	0.0857642	0.1476846	0.1090547	0.0662268	0.0534779	0.0366581	0.0248852	0.040343	0.2278545	0.1233114	0.08145	0.0801884	0.0783365	0.0656547	0.0508006	0.0428438	0.0309756	0.0229081	0.0231192	0.0341964	0.0585799	0.0365086	0.0310158	0.0228593	0.014473	0.026205	0.067489	0.0624582	0.0499355	0.0363859	0.0230196	0.0741456	0.0621234	0.0470435	0.0204034	0.0152005	0.0114953	0.0568665	0.0163318	0.0130152	0.0772357	0.0557525	0.013852	0.0098367	0.0911703	0.0616866	0.0495139	0.0219299	0.1551486	0.1297747	0.1053132	0.0634063	0.026625	0.0578777	0.0748857	0.0309755	0.1081958	0.0629125	0.0216933	0.1293649	0.0880125	0.2935517	0.2676607	0.107118	0.3254421	0.1970218	0.146413	0.1074542	0.0725601	0.0555216	0.0165225	0.1299282	0.0425251	0.0168441	0.0895545	0.3403178	0.2886954	0.2367032	0.1519025	0.0970372	0.0698597	0.0653221	0.0474792	0.0254374	0.0113349	0.0131289	0.034273	0.0223434	0.2710516	0.2354478	0.1756539	0.1235021	0.1594747	0.0423488	0.1485507	0.0650402	0.3262427	0.1673449	0.1009904	0.0726014	0.0885837	0.1178801	0.4363029	0.3947248	0.3374942	0.2813225	0.2549157	0.2484585	0.2133164	0.1023759	0.0860627	0.0717324	0.0617988	0.0283038	0.024214	0.0169018	0.0428314	0.0266344	0.0576078	0.0509571	0.0761244	0.0698913	0.0595878	0.0343366	0.0629782	0.0529469	0.1482855	0.0506313	0.3012629	0.3293056	0.198869	0.1729092	0.090464	0.0726913	0.3779835	0.178681	0.0765155	1.2219655	0.270911
run9	1.9699071	0.617873	0.5719497	0.4426557	0.3945354	0.3878111	0.3581465	0.2606108	0.2515172	0.2075036	0.2026042	0.1896395	0.182854	0.1737803	0.1662896	0.1335769	0.1281618	0.1173748	0.072997	0.0691851	0.0614378	0.0572383	0.0454239	0.0174499	0.0017928	0.0391692	0.0285886	0.013433	0.0684998	0.1141503	0.1044857	0.0521422	0.1544089	0.1403544	0.1354216	0.038204	0.0750606	0.1286067	0.0838578	0.0739873	0.0662349	0.0592294	0.0120882	0.0286097	0.1824412	0.1681867	0.1534759	0.1119339	0.0926287	0.0757696	0.0648907	0.039171	0.0678658	0.0606105	0.0721191	0.054296	0.040075	0.0324958	0.0283946	0.0137164	0.1979521	0.1871502	0.1483795	0.1371708	0.0912464	0.0402965	0.0686623	0.1007546	0.0647476	0.0099947	0.0857341	0.1472084	0.108429	0.0661002	0.0532592	0.0365392	0.0250407	0.0401335	0.2262477	0.1228117	0.0811189	0.079795	0.0779415	0.0655621	0.0507571	0.0424952	0.030984	0.0229694	0.0230304	0.0343336	0.0583775	0.0363162	0.0309274	0.0227185	0.0145165	0.0261796	0.0674861	0.062487	0.0501592	0.0364394	0.0231425	0.0739546	0.0620789	0.0473162	0.0204281	0.0150773	0.0115379	0.056761	0.016331	0.0129781	0.0772458	0.0563135	0.0139444	0.0099499	0.0920843	0.0618727	0.0496698	0.022329	0.1541328	0.1291156	0.1046132	0.0628988	0.0267287	0.0576346	0.0747618	0.0311518	0.1081675	0.0628036	0.0216976	0.1296613	0.0886302	0.2942289	0.2681978	0.1069125	0.3251942	0.1978479	0.1468414	0.1080289	0.0731998	0.0557259	0.0166402	0.1304965	0.0426003	0.0171199	0.09038	0.3393926	0.2879335	0.2362669	0.1518197	0.0969014	0.0701779	0.0654762	0.0475206	0.0254947	0.0113814	0.0130958	0.034467	0.0226986	0.2701311	0.2350201	0.1756142	0.1232171	0.1595541	0.0425131	0.1476782	0.0648728	0.3257625	0.1669031	0.1004319	0.0721864	0.087274	0.1176124	0.436383	0.3946034	0.3375297	0.2813547	0.2546317	0.2483487	0.2133757	0.1028641	0.0868148	0.0723284	0.0624893	0.0284844	0.0243202	0.0169477	0.0429069	0.0268092	0.057868	0.0511981	0.0762553	0.0694819	0.0592022	0.0342144	0.0629759	0.0528471	0.1489214	0.0502304	0.3015397	0.3305676	0.198515	0.172472	0.0910271	0.0723939	0.3780079	0.1785427	0.0766776	1.2175701	0.2718984
run10	1.9681995	0.6178257	0.5718596	0.4427809	0.3945853	0.3878264	0.3578003	0.2603402	0.2515197	0.2073683	0.2027853	0.1897369	0.1830794	0.1741982	0.1661494	0.1335881	0.1281994	0.1177664	0.0728191	0.0690096	0.0616137	0.0572384	0.0457136	0.0176116	0.0018118	0.0390382	0.0286625	0.013435	0.06851	0.1145045	0.1046789	0.0523853	0.1544237	0.1407816	0.1354997	0.0383649	0.0758525	0.1288627	0.0838178	0.0740662	0.0664889	0.0593726	0.0121521	0.0286941	0.182749	0.1684705	0.15333	0.1121863	0.0927172	0.0758371	0.0648085	0.0392166	0.0676443	0.0605774	0.0730322	0.0546883	0.0404405	0.0327786	0.0287714	0.0136031	0.197803	0.1872312	0.1479149	0.1367117	0.0906351	0.0402161	0.0685838	0.1005776	0.0648661	0.0101532	0.0857531	0.1466837	0.1085647	0.0658244	0.053712	0.0366551	0.0250062	0.0400993	0.2264026	0.1230196	0.081153	0.0797563	0.0779888	0.0656579	0.0509739	0.0429038	0.0311453	0.0231083	0.0232734	0.0346579	0.0586719	0.0366887	0.0312823	0.0229553	0.0146178	0.0266026	0.0677209	0.0628353	0.050464	0.036741	0.0232459	0.0740745	0.0621045	0.0474496	0.0206687	0.0152127	0.0116987	0.0568248	0.0164304	0.0131232	0.0770565	0.0562766	0.0139883	0.0099152	0.0922829	0.0621852	0.0494885	0.0222452	0.1549373	0.1299024	0.1056619	0.0634838	0.0268479	0.0579344	0.075195	0.0309387	0.1086524	0.0631275	0.0217856	0.1292709	0.0876337	0.294234	0.2688338	0.1064814	0.3253239	0.1980438	0.1465931	0.1076565	0.0728278	0.0555904	0.0165263	0.1301863	0.0424588	0.0167259	0.0899621	0.3403725	0.2889215	0.2368644	0.1520224	0.096743	0.0699926	0.0655341	0.0475479	0.0255508	0.0113675	0.0130005	0.0341385	0.0223404	0.270708	0.2360063	0.1754554	0.1231737	0.1609311	0.0427363	0.1483973	0.0649902	0.3269577	0.1676517	0.1005387	0.072381	0.0877432	0.1183586	0.4365106	0.3948624	0.337704	0.2812722	0.2546676	0.2486899	0.2132645	0.1022005	0.0863141	0.0721255	0.0623118	0.0284383	0.0243926	0.0170426	0.0429321	0.0267055	0.057793	0.0512079	0.0765575	0.0700051	0.060007	0.0344926	0.0632343	0.0533442	0.1488103	0.0504652	0.3021898	0.3297049	0.1995859	0.1738703	0.0912375	0.072901	0.3770297	0.1782262	0.0780121	1.2321696	0.2689425
