t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175
run11	1.601179	0.4683215	0.2704465	0.2633049	0.254883	0.1883131	0.1047058	0.0963187	0.0871788	0.080702	0.0686171	0.0626048	0.0335592	0.0259497	0.0056984	0.0051524	0.0044759	0.0041632	0.0196762	0.0080169	0.0022817	0.0001413	0.0207883	0.040423	0.0807148	0.0704218	0.0561189	0.0155516	0.0109584	0.0054621	0.0008934	0.0014856	0.0111511	0.0371667	0.0261184	0.0854373	0.0789423	0.0635336	0.0264827	0.0129292	0.0007053	0.0380764	0.2370445	0.2086705	0.0643848	0.1766966	0.2036394	0.2279952	0.0812344	0.0542092	0.0346327	0.0495484	0.1378183	0.1330162	0.1075838	0.1006473	0.0565413	0.0471168	0.0425782	0.0329542	0.0078817	0.0065748	0.0055245	0.0083329	0.0110291	0.0003658	0.0069276	0.0970604	0.0694455	0.0519418	0.0451612	0.0405652	0.0305727	0.0110017	0.0352094	0.0610009	0.1020119	0.0863729	0.0483492	0.0385061	0.0021619	0.0164422	0.0223403	0.0071879	0.0712002	0.2810426	0.0834804
run12	1.6009641	0.4679762	0.2699594	0.2628729	0.2544377	0.1880563	0.1044707	0.0961179	0.0871102	0.0805944	0.0683867	0.0625816	0.0335102	0.0259236	0.0056147	0.005094	0.0044226	0.0040862	0.0195954	0.008065	0.0022847	0.0001499	0.0208644	0.040082	0.0807594	0.070152	0.0557915	0.0154853	0.0109625	0.005482	0.0009205	0.0014614	0.0112063	0.0370791	0.0265016	0.0853766	0.0789665	0.0634846	0.0266448	0.013033	0.0007179	0.0380021	0.2372088	0.2084631	0.0640544	0.1760692	0.2034227	0.2271344	0.0820115	0.0546045	0.0346622	0.0504664	0.1356445	0.1312745	0.1063657	0.0992662	0.055483	0.0460881	0.0418383	0.0322228	0.0076205	0.0063577	0.0053589	0.0080961	0.0107368	0.0003566	0.0068338	0.0960061	0.0690087	0.0511884	0.0444317	0.0398472	0.0299397	0.0108071	0.0345246	0.06076	0.1006312	0.0851493	0.0474868	0.0377741	0.0020516	0.0159876	0.0220063	0.0069453	0.0703459	0.2814139	0.0849351
run13	1.5992079	0.468591	0.2690896	0.2623428	0.2539013	0.1877856	0.1045593	0.0962375	0.0870201	0.0808585	0.0686944	0.0630192	0.0339375	0.0263623	0.0057341	0.005185	0.0045118	0.0042049	0.0199638	0.0080663	0.0022978	0.0001419	0.0209405	0.0399828	0.0807855	0.0703583	0.0558567	0.0153543	0.0109391	0.0053812	0.0008691	0.0014626	0.0110982	0.0370513	0.0262886	0.0850025	0.0785419	0.0629612	0.0263805	0.012928	0.0007072	0.0372793	0.2367145	0.2070239	0.0646291	0.175656	0.2024085	0.2265912	0.0805938	0.0541534	0.0345861	0.0500696	0.13768	0.1330368	0.1079467	0.1006922	0.0568877	0.0474686	0.0428004	0.0330841	0.0078807	0.006575	0.005538	0.0083707	0.0110707	0.0003626	0.0069978	0.0971009	0.0698745	0.0518998	0.0452386	0.0405212	0.0305244	0.0110001	0.0351083	0.0615591	0.1018156	0.0864447	0.0480172	0.0382815	0.0021358	0.0165179	0.0226069	0.00714	0.0714725	0.275593	0.0774575
run14	1.6027772	0.4680568	0.2691273	0.262034	0.2535522	0.1876231	0.1042181	0.0958037	0.0866949	0.080437	0.0684041	0.0624556	0.0336788	0.0259989	0.0056358	0.0050806	0.0044247	0.004108	0.0197149	0.0081934	0.0022806	0.000141	0.0210813	0.0400953	0.0807174	0.0703475	0.0560378	0.0154433	0.0108889	0.0054118	0.0008604	0.001461	0.0110572	0.03706	0.0263509	0.0852025	0.0786818	0.0633604	0.0264799	0.0128928	0.0007308	0.0375037	0.2361848	0.2073279	0.0639893	0.1743426	0.2033153	0.2261108	0.0811338	0.0543433	0.0348021	0.049892	0.1378101	0.1330634	0.1076342	0.1003386	0.0568054	0.0471796	0.042564	0.0327614	0.0077729	0.0064816	0.0054557	0.0083677	0.0108415	0.0003531	0.0069176	0.0971078	0.0697581	0.0518407	0.0449364	0.0402499	0.030435	0.0110169	0.0348005	0.0613909	0.1016113	0.086674	0.0483444	0.0385566	0.0020913	0.0162339	0.0222865	0.0070182	0.0709056	0.2782327	0.0805782
run15	1.6024576	0.4679106	0.2696046	0.2625842	0.2539774	0.1872865	0.1040425	0.0955281	0.0865298	0.0803584	0.0680796	0.0621605	0.0334684	0.0258908	0.0056547	0.0051053	0.0044418	0.0041563	0.0196404	0.0080553	0.0022965	0.000138	0.0209947	0.0400098	0.0802952	0.0700332	0.0557796	0.0154884	0.0109085	0.005469	0.000886700000000001	0.0014537	0.0111019	0.036933	0.0264356	0.0854734	0.0789512	0.0633454	0.0265583	0.0131139	0.000714	0.0377146	0.2366703	0.2078251	0.0637887	0.1751605	0.2030728	0.2274019	0.0816121	0.0539981	0.0345972	0.0507214	0.1364857	0.1318111	0.106631	0.0993765	0.0561635	0.0467567	0.0423069	0.0328462	0.0078599	0.0066071	0.0055343	0.0082655	0.0109133	0.0003517	0.0068038	0.096389	0.0693866	0.0516816	0.0448707	0.0402983	0.0303537	0.0109349	0.0349815	0.0609262	0.1005886	0.0854799	0.0478643	0.0381909	0.0020983	0.0163997	0.0222097	0.0070491	0.0713916	0.2819492	0.0848243
run16	1.6021408	0.4679895	0.2685452	0.2613238	0.2531959	0.1872593	0.1042037	0.0957633	0.0865744	0.0803029	0.0680061	0.0623502	0.0335507	0.0259652	0.0056728	0.005136	0.0044596	0.0041213	0.0195935	0.0080365	0.0022575	0.0001396	0.0208025	0.0401035	0.0804021	0.070291	0.0558212	0.0153248	0.0108672	0.0053247	0.0008494	0.0014431	0.0111123	0.0370988	0.0264551	0.0848427	0.0783356	0.0628063	0.0262093	0.0130541	0.0007415	0.0370134	0.236088	0.2071392	0.0639458	0.1744144	0.2027177	0.2251608	0.0803653	0.0539155	0.0345266	0.0497686	0.1372232	0.1322242	0.1067011	0.0999605	0.0564627	0.0470148	0.0426002	0.0329087	0.0078611	0.0066214	0.0055833	0.0083292	0.0108982	0.0003507	0.0068301	0.0963065	0.0691326	0.0515718	0.0447703	0.0401601	0.030428	0.0109082	0.0348863	0.0608246	0.1009007	0.0861327	0.0478786	0.0384094	0.0021338	0.016387	0.0221978	0.0070595	0.0713308	0.2649293	0.0666646000000002
run17	1.6029281	0.4683286	0.27295	0.2658838	0.2574887	0.190903	0.1068109	0.0982694	0.0890561	0.0827631	0.0699477	0.064158	0.0344862	0.0266646	0.0057693	0.0052384	0.0045572	0.0042113	0.0201513	0.0082544	0.0023276	0.00017	0.0212367	0.0411441	0.0824563	0.0718881	0.0574908	0.0157071	0.0111192	0.0055134	0.000879	0.0014548	0.0113977	0.0378418	0.0266937	0.0867705	0.0798414	0.0645145	0.026814	0.0132333	0.0007156	0.0381527	0.2392611	0.210277	0.0642465	0.176588	0.2060187	0.2294128	0.0821722	0.0546013	0.0349891	0.050349	0.1361296	0.1315437	0.1065432	0.0994198	0.0561182	0.046724	0.0422006	0.032327	0.0077077	0.0064492	0.0053747	0.008192	0.0107058	0.0003537	0.0067247	0.0965383	0.0688753	0.0513591	0.0446627	0.0400575	0.0301288	0.0109239	0.0346367	0.0607305	0.100636	0.0850817	0.0477058	0.0382801	0.0020801	0.0159288	0.0220102	0.00697550000000001	0.0705964	0.1788912	0.0380944000000002
run18	1.60053	0.4681111	0.2701239	0.2631763	0.2544499	0.1883711	0.1048674	0.0963707	0.0873059	0.0809506	0.0687362	0.0628419	0.0338571	0.0262553	0.0056955	0.0051333	0.004498	0.0041487	0.0197814	0.0081254	0.0022916	0.0001535	0.020863	0.0402971	0.0809209	0.0704588	0.0562157	0.0156109	0.0110124	0.0054034	0.0008808	0.0014404	0.0111595	0.0373287	0.0261469	0.0858861	0.0792761	0.0634438	0.0265569	0.0130997	0.000706700000000001	0.0384352	0.2364149	0.2080673	0.0639924	0.1754965	0.2032257	0.2267254	0.0815705	0.0540439	0.0346829	0.0504352	0.1367401	0.132039	0.1074468	0.099937	0.0562014	0.0467883	0.0422231	0.0327227	0.0077234	0.0064789	0.0054432	0.0082451	0.0108683	0.0003494	0.0068077	0.0965129	0.0693666	0.0516887	0.0450466	0.0402403	0.0304305	0.0109445	0.0347611	0.0611498	0.1010218	0.085813	0.048193	0.0384638	0.0021749	0.0165101	0.0225007	0.007268	0.0708808	0.2697726	0.071407
run19	1.6012857	0.4679554	0.2705936	0.2633384	0.2552923	0.189031	0.1047715	0.0961394	0.0869888	0.0807431	0.068537	0.0626998	0.033734	0.026164	0.0056243	0.0050976	0.0044505	0.0041421	0.0197153	0.0080774	0.0022714	0.0001355	0.0209122	0.0404954	0.0809907	0.0703841	0.0562665	0.0155868	0.0109867	0.0053883	0.0008725	0.0014653	0.0111589	0.0371019	0.0263355	0.085837	0.079587	0.0635466	0.0264263	0.0130544	0.0007217	0.0375119	0.2374614	0.2091658	0.0648465	0.174979	0.2031973	0.227287	0.0817004	0.0544038	0.0347375	0.0501441	0.1366431	0.1319281	0.1067942	0.0997674	0.0562144	0.0466527	0.0420991	0.0326923	0.0077607	0.0064472	0.0054525	0.0082428	0.0108521	0.000357	0.0068926	0.0967052	0.0693113	0.0516617	0.0449932	0.0401958	0.0302224	0.0109549	0.0348962	0.06129	0.1010406	0.0854693	0.047905	0.0382218	0.0021207	0.0163785	0.0223122	0.0070965	0.070888	0.248637	0.0467931000000006
run20	1.5994829	0.4682469	0.2705399	0.2636534	0.255195	0.1883746	0.1045347	0.0963351	0.0872106	0.0808685	0.0687757	0.0627845	0.0338394	0.0262223	0.0057289	0.0051785	0.0045182	0.0042071	0.0198187	0.0081222	0.0022985	0.0001486	0.0212103	0.0403864	0.0809959	0.070601	0.0561441	0.0156983	0.0110719	0.0054459	0.0009049	0.0014864	0.0112549	0.0375921	0.0264464	0.0859526	0.0792125	0.0638643	0.0268121	0.0131961	0.0007253	0.0390171	0.2376586	0.2082984	0.0644995	0.1759453	0.2034602	0.2279909	0.0818538	0.0542015	0.0349184	0.0510083	0.1372928	0.1325514	0.1072259	0.0999391	0.0562309	0.0467699	0.0422931	0.0326837	0.0078157	0.0065663	0.0054675	0.0083279	0.0108043	0.0003449	0.0069018	0.0966787	0.0694283	0.0515834	0.0449743	0.0400849	0.0303479	0.0111176	0.034729	0.061078	0.1007561	0.085766	0.0478513	0.0384652	0.0021137	0.0163251	0.0222869	0.0071789	0.0708628	0.2817927	0.0852657
