t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175
run1	2.0092937	0.4978073	0.3441007	0.3375326	0.3289084	0.2612924	0.1581916	0.1464721	0.1340507	0.1259364	0.109019	0.1026576	0.0611753	0.0489795	0.0139617	0.0125161	0.0110236	0.0104085	0.0386736	0.0224533	0.0064567	0.0153498	0.045055	0.0773044	0.1261726	0.1129428	0.0916513	0.0373538	0.029272	0.017761	0.0074993	0.0128524	0.0316134	0.0812498	0.0655616	0.147631	0.1397012	0.1207797	0.0658234	0.0407896	0.0124109	0.1295388	0.3160386	0.2989111	0.1827402	0.2765169	0.2918625	0.3144525	0.1612268	0.116032	0.0849864	0.1804931	0.2363759	0.2286917	0.1913589	0.1809649	0.1119898	0.0959374	0.0879736	0.0723739	0.0242026	0.0206648	0.0178303	0.0255243	0.0354138	0.0047878	0.025537	0.1764453	0.1283678	0.0995238	0.0871689	0.0802647	0.0642965	0.0346773	0.0751187	0.1160456	0.1910301	0.1687851	0.1096559	0.0952681	0.0168077	0.0655194	0.0710398	0.0354632	0.1465435	0.9072843	0.1581214
run2	2.0026674	0.4980707	0.3441635	0.3376595	0.3294719	0.2628422	0.1595832	0.1481576	0.1353726	0.1270475	0.1099103	0.1032333	0.0623087	0.0501354	0.0140669	0.0126904	0.0112983	0.0105878	0.0394258	0.0229508	0.0066113	0.0156226	0.0456723	0.0780881	0.127766	0.1140436	0.0926472	0.0376054	0.029285	0.0176969	0.0075138	0.0127369	0.031868	0.0823846	0.0658333	0.1494658	0.1414233	0.1220375	0.0665157	0.041406	0.0125326	0.1307638	0.3167283	0.2998029	0.183815	0.2769763	0.2932219	0.3151413	0.1607145	0.1166103	0.0852579	0.1814882	0.2372878	0.2304443	0.1932434	0.1829029	0.1140892	0.0974749	0.0899667	0.0737033	0.0249915	0.0212728	0.0182437	0.0263541	0.0363729	0.004898	0.0265064	0.1779981	0.1301349	0.1006378	0.0882493	0.0812324	0.0645461	0.0353016	0.0757549	0.1174157	0.1931831	0.1708532	0.1102799	0.0964004	0.0170208	0.0660354	0.0717397	0.0359031	0.1464979	0.9136187	0.1590579
run3	2.0020766	0.4979225	0.3434493	0.3369907	0.328818	0.261757	0.1589991	0.1472464	0.1346749	0.1266385	0.1093437	0.1027094	0.0616297	0.0495188	0.0141057	0.0127794	0.0112693	0.0106304	0.0391973	0.0229589	0.0065631	0.0157072	0.0454937	0.0777889	0.1273654	0.1135399	0.0918176	0.0374086	0.0294003	0.0176289	0.0075635	0.0127927	0.0319051	0.0818477	0.066045	0.1494272	0.1409497	0.1215077	0.0666238	0.0415369	0.012575	0.13006	0.3162554	0.2984823	0.1834761	0.276794	0.2921103	0.3139397	0.161406	0.1167916	0.0859705	0.1811388	0.2358296	0.2282787	0.191395	0.1813461	0.1127112	0.096705	0.0892073	0.072823	0.0244672	0.0209443	0.0180356	0.0256882	0.0361002	0.004836	0.0258685	0.1764181	0.1287464	0.099967	0.0871864	0.0800717	0.0641587	0.0347637	0.0745096	0.1167801	0.1907467	0.1685878	0.1095431	0.0958404	0.0168179	0.0651134	0.0709331	0.0351037	0.1450737	0.8747962	0.1565444
run4	2.0063995	0.4978347	0.3436049	0.3367446	0.3287132	0.2614288	0.1591231	0.1474075	0.1350125	0.1269767	0.1100107	0.1034014	0.0624512	0.05005	0.01425	0.0127902	0.0113087	0.0106601	0.0394747	0.0228726	0.0066381	0.0155917	0.0454841	0.0778137	0.1274062	0.1136176	0.0922244	0.0376753	0.0295211	0.0178535	0.0076078	0.0130087	0.0319546	0.0820537	0.0661447	0.1486057	0.1402928	0.1208763	0.0657207	0.0410051	0.0124088	0.1289526	0.3159541	0.2987255	0.1832466	0.2760812	0.2915268	0.3141223	0.1605034	0.1152776	0.0848307	0.1844291	0.235442	0.2284708	0.1913262	0.1812856	0.1123455	0.0956676	0.0882471	0.0720413	0.024211	0.0207687	0.0177515	0.0256276	0.035595	0.0048478	0.0258576	0.1764835	0.1292634	0.1002138	0.0876595	0.0804619	0.064577	0.0350991	0.0750967	0.1168108	0.19044	0.1687418	0.1092042	0.0955692	0.0168456	0.0650531	0.0710863	0.0355284	0.1454201	0.9224435	0.1587924
run5	1.9795409	0.4980303	0.3435594	0.3373005	0.3290621	0.2618568	0.158735	0.1468132	0.1343795	0.1264568	0.109507	0.1026756	0.0616959	0.0497085	0.0141764	0.0127319	0.0113129	0.0106095	0.039118	0.0229585	0.0066073	0.0157884	0.0457743	0.0778148	0.1269561	0.1132253	0.0917216	0.0373093	0.0293917	0.0178593	0.0075723	0.0128784	0.0315003	0.082111	0.065551	0.1478747	0.1396141	0.1206194	0.0658683	0.0411476	0.0125455	0.1298706	0.3163721	0.2993973	0.1858258	0.2778579	0.2922774	0.3144593	0.1615046	0.1159608	0.0859803	0.1810855	0.2365763	0.2293593	0.1920927	0.1814861	0.1126738	0.096373	0.0891383	0.072828	0.0244588	0.020911	0.0179908	0.0260784	0.0359626	0.0048016	0.0262633	0.176736	0.1292739	0.1005218	0.0879017	0.0806515	0.0649743	0.035073	0.0751145	0.1165596	0.191585	0.1700299	0.1103226	0.096714	0.0168471	0.0660102	0.0710473	0.035421	0.1453906	0.9193387	0.1568473
run6	2.0195923	0.4979292	0.3428556	0.3362152	0.3278404	0.2611234	0.1576678	0.1458682	0.133325	0.1252082	0.1084349	0.1018399	0.0612086	0.0490124	0.0139118	0.0125462	0.0110926	0.0104632	0.0386997	0.0225877	0.0065087	0.0153245	0.0455824	0.0769033	0.1261973	0.1123468	0.0912851	0.0370802	0.0290923	0.0174091	0.0076308	0.01265	0.0314998	0.0809984	0.065207	0.1484091	0.1400148	0.1211508	0.066249	0.0412389	0.012332	0.1293776	0.315561	0.2983381	0.1838482	0.2766906	0.2914688	0.3135431	0.1597805	0.1152179	0.0847956	0.1786026	0.2364351	0.2292957	0.1918469	0.1811764	0.1122142	0.0958036	0.0885401	0.0721426	0.0243247	0.0207244	0.0177384	0.0254783	0.0355711	0.0048088	0.0255034	0.1767145	0.1289766	0.0999391	0.0875124	0.0805326	0.0640389	0.0348979	0.0749546	0.1167366	0.1912303	0.1697037	0.1093135	0.0957703	0.01677	0.0653399	0.0710354	0.0352946	0.1459898	0.9378417	0.1576554
run7	2.0096	0.4979672	0.3439644	0.3372857	0.3296118	0.2619661	0.1588057	0.147048	0.134613	0.1264166	0.1094813	0.1027886	0.0618906	0.0497938	0.0141655	0.0127541	0.0113025	0.0106365	0.0392543	0.0229015	0.0065576	0.0155325	0.045267	0.0775786	0.1269899	0.1136904	0.0921266	0.0370258	0.0292003	0.0175104	0.0075451	0.012858	0.031377	0.081905	0.0654609	0.1483799	0.1402613	0.1208719	0.0664545	0.0411388	0.0125539	0.1298017	0.3165334	0.2990527	0.1834745	0.2760645	0.2924033	0.3142737	0.1606128	0.1157041	0.0844853	0.1810139	0.2364493	0.2290256	0.1915979	0.1812954	0.1127168	0.0963201	0.0889463	0.0727489	0.024499	0.0209267	0.0179643	0.0260755	0.0359588	0.0048022	0.0258156	0.176711	0.1293168	0.1005623	0.0881268	0.0807839	0.0645472	0.0348239	0.0750535	0.1165891	0.1913746	0.1695743	0.1100658	0.0953976	0.0168375	0.0655366	0.071066	0.0352588	0.1461248	0.9037096	0.158373
run8	2.0040817	0.4981658	0.3442081	0.3379211	0.329765	0.2622493	0.1586764	0.1469432	0.1344631	0.1264751	0.1091128	0.102657	0.0614701	0.0494942	0.0139187	0.0126027	0.0110873	0.0104371	0.0389671	0.0228276	0.0065481	0.015674	0.0453331	0.0777891	0.1271134	0.113121	0.0917154	0.0371967	0.0292178	0.0176394	0.0075332	0.0127722	0.0315653	0.0814505	0.0661379	0.1490841	0.1409955	0.1222198	0.0662908	0.041487	0.0126646	0.1301948	0.3169275	0.2997722	0.1824159	0.2772596	0.2930388	0.3152668	0.1601591	0.1155462	0.0852802	0.1827358	0.2335813	0.2261071	0.1888016	0.1786846	0.1106572	0.0944624	0.0874313	0.0718753	0.0237745	0.0205059	0.017569	0.0252747	0.0350745	0.0047272	0.0251342	0.1735088	0.1262085	0.098328	0.0861301	0.079109	0.0633313	0.0340297	0.0739757	0.1140591	0.1891805	0.1675467	0.1084989	0.0945503	0.0163985	0.0644055	0.0698521	0.0347579	0.1435052	0.9526248	0.1598413
run9	1.9955496	0.4980265	0.3438985	0.3368472	0.3285443	0.2618144	0.1586573	0.1467415	0.1341672	0.1257663	0.1093483	0.1027123	0.0619744	0.0499231	0.0142695	0.0129176	0.0113884	0.0107593	0.0392725	0.0230444	0.0065987	0.0160179	0.0457692	0.0777865	0.1270132	0.1133754	0.0919192	0.0375099	0.0292212	0.0176129	0.0075919	0.0128135	0.0316625	0.0820061	0.0662601	0.1483766	0.1406316	0.1218114	0.0667592	0.040969	0.0126427	0.1296614	0.3163064	0.2993188	0.1861033	0.2777454	0.2918639	0.3143984	0.1609595	0.1158956	0.0854783	0.1840604	0.2353701	0.2281619	0.1907125	0.180296	0.1126925	0.0962682	0.0887778	0.0723921	0.0243506	0.0207804	0.0178565	0.0257817	0.0360025	0.004805	0.0256993	0.1761029	0.1283646	0.0997928	0.087296	0.0803214	0.0640093	0.0346449	0.0746212	0.1158074	0.1904457	0.1691157	0.109865	0.095842	0.0168578	0.0650523	0.070858	0.0352615	0.1458348	0.9078622	0.1579644
run10	2.0118461	0.4979328	0.3441704	0.3376588	0.3295145	0.2624169	0.158829	0.1470312	0.1345289	0.126552	0.1096301	0.102954	0.06239	0.0501474	0.0143905	0.0129494	0.0114653	0.0108525	0.039538	0.0231081	0.0066203	0.0159623	0.0459765	0.07836	0.1271257	0.113565	0.0922096	0.0375501	0.0295207	0.0177147	0.0076545	0.0128061	0.0319222	0.0817342	0.066301	0.1495728	0.14142	0.1227477	0.0671249	0.0419597	0.0127331	0.1309467	0.3169625	0.2998267	0.1825721	0.2775925	0.2929412	0.3148959	0.1612207	0.1164978	0.0855886	0.1819149	0.2336955	0.2263172	0.1892183	0.179386	0.1109837	0.0953154	0.0877147	0.0715336	0.0238605	0.0204052	0.0175545	0.0255175	0.0353126	0.0047356	0.0253682	0.1742116	0.1268247	0.09893	0.0867443	0.0797291	0.0637706	0.0344686	0.0737855	0.1144372	0.1893704	0.1672912	0.1088907	0.094514	0.016392	0.0640547	0.0697638	0.0347779	0.1448129	0.9578681	0.1595275
