mean	q-2.5%	q-97.5%	var	sd
660-Mammalia	-0.3	-0.2	5.2	16.2	7.8
661-Laurasiatheria	0.1	0.4	0.2	-27	-14.5
662-Scrotifera	0.2	0.8	-0.3	-55.3	-33.1
664-Fereungulata	-0.2	0.4	-0.9	-61.2	-37.7
665-Carnivora	0	0.3	0	-4.4	-2.3
666-Caniformia	0.2	0.8	0	-8.4	-4.3
667-Arctoidea	0	0.5	-0.4	-7.9	-4.1
917-Felidae	6.7	4.8	6.3	2.3	1.2
955-Pantherinae	8.6	10.5	5.5	-22.8	-12.2
969-Euungulata	-0.2	0	-0.7	-40.5	-22.8
1000-Artiodactyla	0	0	0	-2	-1
1005-Erinaceidae-Soricidae	-0.2	-0.2	-0.1	0.6	0.3
1008-Chiroptera	0.5	1.2	0.4	-16.7	-8.7
