t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	1.6377965	1.248838	0.4359561	0.3492487	0.7851837	0.7716041	0.577914	0.6311869	0.5328264	0.739124	0.6877929	0.5582999	0.6699294	0.5698331	0.5431934	0.4894762	0.159242	0.0639183	0.6637965	0.549829	0.6548775	0.474256	0.1167798	0.0567476	0.39535	0.3251515	0.6886088	0.6804204	0.6531671	0.4573675	0.599113	0.5838149	0.3843918	0.2883972	0.3289113	0.0727941	0.2914072	0.533871	0.429699	0.3327436	0.1647522	0.1290636	0.0830724	0.1208984	0.0842623	0.0405006	0.0206803	0.00965	0.6371408	0.4870258	0.292875	0.600333	0.3670965	0.1414177	0.1355273	0.1233097	0.2730146	0.1586295	0.1172045	0.0883286	0.0746538	0.0621971	0.0473721	0.0345501	0.1127857	0.0319567	0.1994896	0.1759504	0.0965117	0.0784478	0.0309569
run2	1.6407819	1.2396591	0.4362236	0.3499056	0.7825148	0.768997	0.5726011	0.6277125	0.5289032	0.7370598	0.6866823	0.5577391	0.6691543	0.5706786	0.544548	0.4903675	0.1592806	0.0640371	0.6631515	0.5499879	0.6542274	0.4688613	0.1158283	0.0560733	0.3895401	0.3217071	0.6877527	0.6796844	0.6527666	0.4569571	0.5987813	0.5834264	0.3844464	0.2872773	0.3286276	0.0725903	0.2912411	0.5341803	0.4293564	0.3309839	0.1592165	0.1248686	0.0805014	0.1170461	0.0803472	0.0386393	0.0198556	0.0092579	0.6373774	0.4911138	0.2986822	0.6009521	0.3705706	0.1437886	0.1377635	0.1254256	0.2753996	0.160184	0.1180737	0.0891233	0.0752793	0.0627584	0.0479478	0.0349333	0.1138369	0.032491	0.2016943	0.1779361	0.0972158	0.0788718	0.03112
run3	1.6444789	1.2299865	0.4329688	0.3475459	0.7803776	0.7670514	0.5747518	0.6306598	0.5326451	0.7352984	0.6863142	0.5602225	0.6691552	0.5710564	0.5445401	0.4899265	0.1592763	0.0637205	0.6632254	0.5519693	0.6545827	0.4721067	0.115437	0.0560784	0.3933024	0.3240917	0.6866667	0.6787954	0.652147	0.457914	0.5985751	0.5834252	0.3842506	0.2874076	0.3282498	0.0729113	0.290446	0.5344176	0.4314151	0.3355113	0.1679537	0.1318672	0.0852306	0.1235741	0.0857173	0.0411643	0.0210154	0.0097992	0.6363453	0.4881528	0.2954818	0.5998911	0.3709764	0.1449508	0.1389159	0.1263755	0.2757676	0.16005	0.1180898	0.0888667	0.0752002	0.0627462	0.0477704	0.0347715	0.1143718	0.0322593	0.2024653	0.1788968	0.0979681	0.0795087	0.0313788
run4	1.6461483	1.2429773	0.4361307	0.3489184	0.7768832	0.764106	0.5772139	0.6322816	0.5342932	0.7327773	0.684835	0.5584059	0.6677701	0.5701915	0.5441163	0.4896599	0.1587544	0.0635501	0.6618408	0.5502461	0.652981	0.4759271	0.1178204	0.0571736	0.3966112	0.3268722	0.6857587	0.6781698	0.6523889	0.4574872	0.5989363	0.5836674	0.3827161	0.2859216	0.327048	0.0718592	0.2897807	0.5343345	0.4319741	0.3342301	0.1631206	0.1281375	0.0826207	0.1201717	0.0833713	0.0400769	0.0204285	0.0095127	0.6374812	0.487891	0.2896724	0.601161	0.3676459	0.1394565	0.133675	0.1216198	0.2721153	0.1585528	0.1168589	0.0878487	0.0742487	0.0618125	0.0470946	0.034308	0.1127419	0.0318721	0.1994459	0.17609	0.0970347	0.0786703	0.0309086
run5	1.6382241	1.2314673	0.4280718	0.342698	0.7826252	0.7693792	0.5799759	0.6320054	0.5347629	0.7377014	0.6876486	0.5597887	0.6699705	0.5709572	0.5446797	0.4900006	0.1596745	0.0642717	0.6639358	0.5513027	0.6552644	0.4767623	0.1177602	0.0573583	0.3977483	0.3279839	0.6884454	0.680434	0.6535608	0.4576492	0.5993484	0.5841689	0.3839604	0.2857316	0.3277813	0.0728221	0.2904465	0.5344315	0.4278999	0.3314444	0.1673506	0.1317449	0.0847158	0.1234388	0.085142	0.0407676	0.020776	0.0096587	0.6382518	0.4880581	0.2943956	0.6013097	0.3694231	0.1431685	0.1372012	0.1247062	0.2733886	0.157439	0.1160378	0.0875583	0.0740841	0.0617643	0.0472619	0.0344382	0.111595	0.0320054	0.2002428	0.1769889	0.0973175	0.0790152	0.0312214
run6	1.6671652	1.2372964	0.4462688	0.3566707	0.7773524	0.7641248	0.5740052	0.6280698	0.5317277	0.7326984	0.6831815	0.5580195	0.6660464	0.5691618	0.5429412	0.4896042	0.1588297	0.0638307	0.6601155	0.5492968	0.651405	0.472162	0.116024	0.0561595	0.3930374	0.3242589	0.6843709	0.6765058	0.6503944	0.4581959	0.5976338	0.582667	0.3838963	0.2860411	0.3272478	0.0722348	0.2898088	0.5338272	0.4305533	0.3330579	0.1683162	0.1324735	0.0854394	0.1241407	0.0854819	0.0408938	0.0208348	0.0097007	0.635611	0.489633	0.2948875	0.600025	0.3689335	0.1407576	0.1348097	0.1226062	0.2734432	0.1585968	0.116944	0.0878835	0.0743003	0.0619772	0.0471929	0.0343624	0.1125657	0.032099	0.2004801	0.1771132	0.0961563	0.077917	0.0308094
run7	1.6328527	1.2434341	0.4293449	0.3421126	0.7762843	0.762928	0.5730046	0.6283806	0.5312112	0.730719	0.6816454	0.5574615	0.6644392	0.5691148	0.5430446	0.4896375	0.1589176	0.063818	0.6584804	0.5491433	0.6500253	0.4725237	0.1172782	0.0572097	0.3938019	0.3251431	0.6823929	0.6747488	0.6492879	0.4569668	0.5978179	0.582981	0.3860788	0.2892632	0.3301511	0.0728094	0.2922013	0.5343501	0.4307616	0.3326609	0.1656301	0.1298281	0.0837281	0.1215882	0.0840602	0.0402695	0.0205794	0.0095937	0.6342281	0.4902616	0.2963759	0.5988596	0.3671704	0.1381037	0.1322599	0.1203641	0.2720649	0.1588715	0.1172822	0.0884638	0.0748258	0.06234	0.0475177	0.0346148	0.1130523	0.0321038	0.1997684	0.1764773	0.096715	0.0785579	0.031062
run8	1.6424199	1.2552369	0.4375467	0.3495543	0.7838783	0.7700442	0.5739884	0.6321519	0.5351101	0.7372448	0.6861693	0.560526	0.6688056	0.5710636	0.5444064	0.4890086	0.1588736	0.0639119	0.6629499	0.5519425	0.6543206	0.474133	0.1180579	0.0574128	0.3952818	0.3254675	0.687674	0.6798969	0.6538071	0.4578292	0.5999937	0.584662	0.383704	0.2868665	0.3274085	0.0719436	0.2895382	0.535243	0.4314645	0.3347475	0.165452	0.1301957	0.0840634	0.1219241	0.0852083	0.0412378	0.0210178	0.0098027	0.6383184	0.4846339	0.2888982	0.6012661	0.3655813	0.140587	0.1346999	0.1223783	0.2709574	0.1565474	0.1152028	0.0866103	0.0731508	0.0610337	0.04655	0.0339767	0.1114643	0.0318042	0.1984834	0.1755451	0.0964487	0.0781804	0.0307708
run9	1.6435258	1.2403441	0.4413392	0.3538736	0.7771738	0.7638085	0.5742658	0.6282037	0.5310744	0.732034	0.6828815	0.5563345	0.6655772	0.5691473	0.5431575	0.4895074	0.1590939	0.0638015	0.6596239	0.5494526	0.650901	0.4706387	0.1160945	0.056141	0.3919537	0.3230829	0.683939	0.6761673	0.6502087	0.4571064	0.5977217	0.5823414	0.3838745	0.286155	0.3273584	0.0724103	0.2897028	0.5329033	0.4265084	0.3295094	0.1639469	0.1288331	0.0833333	0.1208335	0.0838934	0.040361	0.0205604	0.0095628	0.6353127	0.4885441	0.2938671	0.5997538	0.3702074	0.1536042	0.1474333	0.1340647	0.2752601	0.160071	0.1180688	0.0887192	0.0750564	0.0625587	0.0477828	0.0347748	0.1135934	0.0322976	0.2008481	0.1774555	0.0977478	0.079377	0.0312269
run10	1.6321873	1.2454624	0.427271	0.3414404	0.7784158	0.7650868	0.5757574	0.6317838	0.5354029	0.7329713	0.6831771	0.5573366	0.6661004	0.5689989	0.5427898	0.4895261	0.1589655	0.0637393	0.6601489	0.5488613	0.6514062	0.4682261	0.1162854	0.0565194	0.3896962	0.3203614	0.6847133	0.6769973	0.651234	0.4581686	0.599185	0.584137	0.3837821	0.2856469	0.3268851	0.072347	0.2892968	0.5347627	0.4299175	0.3320177	0.1628611	0.1281609	0.0827353	0.1201464	0.0837196	0.0401742	0.020541	0.0095744	0.6368845	0.4902162	0.293941	0.6010494	0.3715839	0.1340783	0.1284321	0.1166234	0.2753223	0.1603808	0.1179174	0.0886702	0.0749655	0.0624766	0.0475289	0.0346655	0.1138805	0.0322957	0.2009868	0.1773952	0.0969266	0.078661	0.0309925
