mean	q-2.5%	q-97.5%	var	sd
631-Mammalia	-0.5	-0.1	4.6	14.2	6.9
632-dipodomys_ordi-MYOMORPHA	0	0	0.1	0.4	0.2
633-MYOMORPHA	0	0	0	-1.7	-0.9
635-nannospalax_galili-MURIDAE	0	0	0.4	-0.4	-0.2
636-MURIDAE	0.5	1.4	2.4	-1.2	-0.6
638-Peromyscus-Microtus	0.6	2.9	-0.6	-20.8	-11
938-Mauratus-Cgriseus	-0.4	5.5	1.9	-33.1	-18.2
1011-Murinae	-5	-2.7	-2.5	-22.2	-11.8
