Mean_time	Mean_qlow	Mean_qup	Priors
t_n61_Mammalia	191.79	164.58	237.33	ST(1.642,0.425,12.652,1714.565)
t_n62_Afrotheria	70.767	66.23	78.17	ST(0.653,0.017,0.302,11.274)
t_n63_Aadvark-Afrosoricida	66.934	62.22	74	NA
t_n64	64.859	60.15	71.69	0
t_n65_Afrosoricida	60.003	55.24	66.45	NA
t_n66_C.asiatica-Other_chrysochlorids	24.418	19.25	29.43	B(0.036,0.339)
t_n67	19.47	14.9	24.2	0
t_n68	15.202	11.34	19.42	0
t_n69	10.413	6.35	14.71	0
t_n70	5.072	2.22	8.87	0
t_n71	3.743	1.31	7.09	0
t_n72	2.775	0.73	5.72	0
t_n73	1.761	0.18	4.39	0
t_n74	6.78	3.22	11.39	0
t_n75	2.401	0.46	5.37	0
t_n76	13.879	9.62	18.25	0
t_n77	9.294	4.58	14.54	0
t_n78	5.924	2.43	11.07	0
t_n79	2.417	0.16	6.61	0
t_n80	15.871	9.85	22.16	0
t_n81	9.263	3.15	16.33	0
t_n82_Tenrecidae	47.471	41.89	53.77	NA
t_n83	32.985	28.01	38.69	0
t_n84	26.494	21.68	32.09	0
t_n85	24.699	19.94	30.25	0
t_n86	16.082	12.09	20.95	0
t_n87	9.005	5.93	12.9	0
t_n88	6.815	4.35	10.07	0
t_n89	2.912	1.73	4.52	0
t_n90	13.793	9.88	18.26	0
t_n91	10.344	7.12	14.2	0
t_n92	25.062	20.52	30.31	0
t_n93	20.404	15.36	25.93	0
t_n94	12.792	8.31	17.78	0
t_n95	16.084	8.66	24.9	0
t_n96_Macroscelidea	49.795	44.15	55.59	B(0.2304,0.56)
t_n97	26.747	21.84	32.04	0
t_n98	22.764	18.34	27.62	0
t_n99	18.364	14.44	22.71	0
t_n100	3.647	2.39	5.22	0
t_n101	12.926	8.68	17.52	0
t_n102	15.046	11.64	19	0
t_n103	1.597	0.76	2.91	0
t_n104	23.158	18.64	28.16	0
t_n105	18.336	14.37	22.8	0
t_n106	5.518	3.93	7.62	0
t_n107	15.746	12.16	19.96	0
t_n108	1.884	0.8	3.66	0
t_n109	0.57	0.1	1.47	0
t_n110_Paenungulata	60.326	56.33	66.43	ST(0.55,0.028,1.247,14.653)
t_n111	56.755	52.7	62.59	0
t_n112_Proboscidea	5.437	4.08	7.15	B(0.0533,0.2304)
t_n113	4.243	3.15	5.63	0
t_n114	1.325	0.69	2.21	0
t_n115_Sirenia	34.028	29.1	39.39	B(0.4103,0.6609)
t_n116_Hyracoidea	13.14	8.96	17.68	B(0.0533,0.339)
t_n117	10.109	6.43	14.43	0
t_n118_Monotremata	71.023	41.21	118.76	B(0.24459,1.332)
t_n119_Tachyglossidae	16.138	7.99	29.55	B(0.0258,1.332)
