t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119
run1	2.3740328	0.781804	0.739659	0.7169587	0.6638656	0.294071	0.2428128	0.1944774	0.1476829	0.0888146	0.0709711	0.057358	0.0439543	0.114569	0.0538201	0.1829947	0.145492	0.110837	0.0657531	0.2224091	0.1625934	0.5375442	0.3877956	0.3211172	0.3022964	0.2100395	0.1294214	0.1009706	0.0453889	0.1831835	0.1421465	0.3027804	0.259153	0.1781159	0.2493142	0.5559102	0.3210572	0.2761415	0.2270412	0.0519392	0.1755852	0.1901136	0.0289475	0.2820088	0.2288204	0.0761818	0.2001948	0.0364213	0.0147211	0.6647265	0.6262348	0.0715725	0.0562553	0.0220997	0.3942462	0.1761566	0.144085	1.1939907	0.2928923
run2	2.3780462	0.7766692	0.7355312	0.7125936	0.6611867	0.2936984	0.2413054	0.1941308	0.1470831	0.0889118	0.0711253	0.0564529	0.0430473	0.1135832	0.0541918	0.1818575	0.1455152	0.1107504	0.0655487	0.2203798	0.1632499	0.5356528	0.385712	0.3204557	0.3024426	0.2094331	0.1285827	0.1006102	0.0449048	0.1818402	0.1421057	0.3026749	0.259776	0.1779468	0.2483669	0.5561196	0.3203906	0.2763371	0.2277111	0.0522335	0.1755479	0.1905473	0.0290776	0.2819565	0.2273951	0.0763587	0.1999901	0.0366888	0.0145715	0.6605997	0.6226156	0.0714911	0.0561558	0.0220866	0.3920244	0.1768876	0.143354	1.1896711	0.2960849
run3	2.3530999	0.7818363	0.7401149	0.7166258	0.6644867	0.2936271	0.2419959	0.1945813	0.1471648	0.0892491	0.0707282	0.0570276	0.0433831	0.113097	0.0532524	0.1827979	0.1452009	0.1112709	0.0659031	0.2212526	0.1633613	0.5366831	0.3856204	0.3204068	0.3020893	0.2081322	0.1279039	0.0995072	0.044784	0.1820972	0.1415588	0.3020156	0.2582896	0.1775678	0.2485309	0.5557908	0.3206788	0.2764194	0.227123	0.0524488	0.1750264	0.1902925	0.0291806	0.2817548	0.2280581	0.0765325	0.1998812	0.0365834	0.0144905	0.663563	0.6248066	0.0710664	0.0560566	0.0220893	0.3936585	0.176614	0.1438571	1.1788205	0.2948176
run4	2.3544697	0.778596	0.7368987	0.713651	0.6609532	0.2930905	0.2414851	0.1939808	0.1468297	0.0880992	0.0709719	0.0575256	0.0441663	0.1136323	0.0545478	0.1822585	0.1449303	0.1104931	0.0663869	0.2204548	0.1628205	0.535115	0.3849795	0.3202206	0.3021932	0.2090095	0.1287327	0.1000475	0.0447182	0.1820569	0.1420715	0.3026254	0.2586478	0.1784095	0.2466019	0.5547533	0.3203475	0.275843	0.2265205	0.0524725	0.1751908	0.1906954	0.0293685	0.2810467	0.2276085	0.0763604	0.1992707	0.0362835	0.0147084	0.6608797	0.6232368	0.0717512	0.0563781	0.0221483	0.3925037	0.1760232	0.1440889	1.1812026	0.2937744
run5	2.3745931	0.780932	0.7391521	0.7158339	0.6638867	0.2930085	0.2409381	0.1933595	0.1461	0.088694	0.0702838	0.0571447	0.0438663	0.1140961	0.0533257	0.180855	0.145199	0.1098099	0.0665217	0.2207352	0.1623744	0.5364648	0.3856062	0.3197403	0.301481	0.2096256	0.1296323	0.1009136	0.0452372	0.1820036	0.1407989	0.3034454	0.2595232	0.1773549	0.250159	0.5552384	0.3209463	0.2763189	0.2274266	0.0527223	0.1753111	0.189803	0.0290196	0.2817849	0.2278824	0.0759905	0.1989533	0.0370849	0.0147689	0.6644093	0.6256312	0.0714258	0.0562866	0.0222472	0.3936247	0.1764142	0.1441682	1.1743584	0.2926605
run6	2.3762335	0.7842722	0.7432067	0.7195664	0.6669911	0.2947994	0.2423807	0.1942703	0.1468053	0.0889502	0.0707994	0.0573632	0.0440303	0.1142523	0.0539335	0.1823483	0.1455151	0.1103571	0.0656093	0.2218584	0.16471	0.539674	0.3885737	0.3215094	0.3032037	0.2098534	0.128436	0.1004686	0.0452164	0.1829102	0.1417406	0.3033972	0.2605029	0.1786264	0.2485331	0.5564851	0.3206468	0.2765995	0.2271395	0.0520617	0.1757946	0.1905423	0.029344	0.2819488	0.2286702	0.0767502	0.1992308	0.0370289	0.0147761	0.6657313	0.6271113	0.0712227	0.0561422	0.0221703	0.3941563	0.1768942	0.1440422	1.1922255	0.2992139
run7	2.3603681	0.7849275	0.7436262	0.7206836	0.6672807	0.2954732	0.2426901	0.1949129	0.14706	0.0887049	0.0704553	0.0571041	0.0438817	0.1138053	0.0535978	0.1839001	0.1455168	0.1111215	0.0667104	0.2222445	0.1637913	0.5397811	0.3891555	0.3228162	0.3039297	0.2102762	0.1302969	0.1013437	0.0453698	0.1831748	0.142065	0.3047995	0.2600377	0.1795691	0.2494508	0.5562036	0.3205053	0.2764188	0.2266916	0.0522324	0.1755774	0.1903762	0.0290797	0.282561	0.2288684	0.0761645	0.2002181	0.0366652	0.0146563	0.6668016	0.6277041	0.0716575	0.0566054	0.0222638	0.3947427	0.1781349	0.1446563	1.1750485	0.2922258
run8	2.377192	0.7865716	0.7444773	0.7210785	0.6686654	0.29544	0.242235	0.1943656	0.1474545	0.0886461	0.0714601	0.057488	0.043982	0.114696	0.0541348	0.1828205	0.1448095	0.1104102	0.066542	0.2223664	0.1642074	0.5391142	0.3877362	0.3215041	0.3030346	0.2100329	0.1298305	0.1009646	0.0455248	0.1825634	0.1419344	0.3039157	0.259889	0.177938	0.2490258	0.5568297	0.321981	0.2772276	0.2274318	0.052141	0.1752622	0.190579	0.0287576	0.2827645	0.2289072	0.076401	0.2003108	0.0363109	0.0147542	0.668073	0.6295788	0.0718148	0.0566279	0.0222504	0.3955361	0.1769805	0.1446982	1.1730864	0.2965773
run9	2.4024016	0.7861711	0.7440609	0.7205034	0.6675747	0.2966972	0.2439741	0.1954589	0.1472185	0.0892385	0.0713685	0.0572223	0.0439896	0.1144537	0.0543033	0.1837678	0.1464706	0.110494	0.0668433	0.2229186	0.1631406	0.5404307	0.3878825	0.3206493	0.3021385	0.208627	0.1286331	0.1006312	0.0452317	0.1828564	0.1418966	0.3036634	0.2593808	0.1777341	0.2482426	0.5569383	0.3207999	0.2764275	0.2275297	0.0521898	0.1744791	0.190597	0.0287282	0.2819685	0.2283655	0.0764493	0.1999812	0.0360664	0.0144449	0.6687147	0.6301741	0.0717645	0.0565381	0.0221865	0.395241	0.1775481	0.144619	1.2002893	0.2991904
run10	2.3783011	0.7859864	0.7442861	0.7209271	0.6675075	0.2948088	0.2421892	0.1947287	0.1474939	0.0891634	0.0706769	0.0569574	0.0437512	0.1143445	0.0531927	0.1835609	0.1451297	0.110914	0.0665268	0.2230137	0.1651347	0.5410297	0.3896545	0.3233901	0.3041533	0.2105699	0.1304449	0.1010406	0.0455997	0.183471	0.1429619	0.3048203	0.2610988	0.1785406	0.2502732	0.5573426	0.3212688	0.2770177	0.2276789	0.0522007	0.1755761	0.190026	0.029196	0.2825791	0.2291544	0.0761763	0.2000959	0.0370336	0.0149597	0.6675983	0.6292937	0.0714979	0.056398	0.0221435	0.3952826	0.1773168	0.1446367	1.1917851	0.2980515
run11	2.3851504	0.7850001	0.7426145	0.7187264	0.6664907	0.2937841	0.2416072	0.1933395	0.1464568	0.0876359	0.0711988	0.0571525	0.0441326	0.1138544	0.0541641	0.1819721	0.1443518	0.1100591	0.0644233	0.2215796	0.1623594	0.5390948	0.388277	0.3218915	0.3034391	0.2106042	0.1293615	0.10133	0.04554	0.1834416	0.1426668	0.3043775	0.2602694	0.1776243	0.2500436	0.5565185	0.3213613	0.2772589	0.2271472	0.0525264	0.1751176	0.190835	0.0290257	0.2821248	0.2288465	0.0763372	0.2004628	0.0362752	0.0146263	0.6660522	0.6275276	0.0712041	0.05621	0.0219816	0.3950726	0.1774745	0.1441727	1.1843418	0.2932218
run12	2.3834835	0.7805797	0.7382419	0.7150523	0.6643852	0.2937219	0.2422829	0.1950554	0.1472782	0.088683	0.0705836	0.0569077	0.044043	0.1142432	0.0532697	0.1824577	0.1452029	0.1113528	0.0678216	0.2218512	0.1638277	0.5371691	0.3861354	0.3201373	0.3025684	0.2090322	0.1282631	0.1005251	0.0451243	0.1831015	0.1420029	0.3030917	0.2594137	0.1777041	0.2515231	0.5566796	0.3208378	0.2766188	0.2273431	0.0522186	0.1757091	0.1899418	0.0293359	0.2822561	0.2283158	0.076241	0.2001777	0.0366362	0.0145357	0.6628456	0.6245157	0.0715658	0.0565065	0.0220487	0.3932972	0.1770643	0.1448255	1.2031144	0.2995533
run13	2.3677702	0.7778058	0.7362814	0.7135917	0.6626329	0.2945177	0.2422973	0.1947697	0.1469518	0.0887096	0.0708139	0.0569989	0.0447563	0.1135332	0.053636	0.1831051	0.1453139	0.1112104	0.0648229	0.2219598	0.1635281	0.5376801	0.3856283	0.3195419	0.3015636	0.2091209	0.127914	0.1004258	0.0448434	0.1822098	0.1417169	0.3024832	0.2593458	0.1773259	0.2501274	0.5553093	0.3191318	0.275042	0.2258996	0.0519442	0.1746029	0.1896453	0.0290883	0.2802529	0.2270224	0.0753561	0.1985458	0.0361557	0.0146711	0.6619432	0.6238069	0.0710841	0.056035	0.0220421	0.3934207	0.1763453	0.1441407	1.184419	0.2951833
run14	2.3573059	0.7844528	0.7424542	0.7190902	0.6654272	0.2937263	0.2414717	0.193689	0.1468294	0.0888673	0.0716191	0.057556	0.0441375	0.1129249	0.0532721	0.1822921	0.145689	0.1112875	0.0659582	0.2209889	0.1635872	0.5390154	0.3886726	0.3222831	0.3038966	0.2100006	0.1290515	0.1012309	0.0457261	0.1827067	0.1425135	0.3028818	0.2588089	0.1774253	0.2500999	0.556109	0.3201003	0.2762163	0.2274514	0.0522165	0.174573	0.189608	0.0293363	0.2818023	0.2280058	0.0761175	0.1994576	0.0362899	0.0148436	0.6661652	0.62743	0.0714104	0.0561331	0.0221911	0.3938488	0.1766015	0.1445444	1.1726091	0.2942128
