mean	q-2.5%	q-97.5%	var	sd
631-MAMMALIA	-0.5	0	4.4	12.6	6.1
632-d.Ordi-MYOMORPHA	0	0.1	0.1	-0.4	-0.2
633-MYOMORPHA	0.1	-0.1	0.1	-1	-0.5
635-N.galili-MURIDAE	-0.1	0.1	0.3	-0.4	-0.2
636-MURIDAE	0.6	1.4	2.6	0.4	0.2
638-P.maniculatus-M.ochrogaster	0.1	2.2	-0.9	-21.5	-11.4
938-M.auratus-C.griseus	6.8	6	4.8	-3.6	-1.8
1011-MURINAE	0.2	1.6	-0.9	-25.2	-13.5
