mean	q-2.5%	q-97.5%	var	sd
631-MAMMALIA	-0.5	-0.1	4.4	13.6	6.6
632-d.Ordi-MYOMORPHA	0	0	0.1	-2.8	-1.4
633-MYOMORPHA	0.1	0	0.2	-0.9	-0.5
635-N.galili-MURIDAE	-0.1	0.1	0.2	-1.2	-0.6
636-MURIDAE	0.7	1.3	2.6	2.1	1.1
638-P.maniculatus-M.ochrogaster	-1.4	2.1	0.7	4.3	2.1
938-M.auratus-C.griseus	2.2	-4.4	-1.2	22.9	10.9
1011-MURINAE	0.3	2.6	-1.7	-17.8	-9.4
