mean	q-2.5%	q-97.5%	var	sd
631-MAMMALIA	-0.4	-0.1	4.4	12.7	6.2
632-d.Ordi-MYOMORPHA	0	0	0.1	-0.3	-0.2
633-MYOMORPHA	0	-0.1	0.1	-0.7	-0.4
635-N.galili-MURIDAE	-0.1	-0.2	0.1	-0.5	-0.2
636-MURIDAE	0.5	1.5	2.3	-1.8	-0.9
638-P.maniculatus-M.ochrogaster	-0.6	-1.2	-0.9	-14.2	-7.4
938-M.auratus-C.griseus	5	0.5	2.5	12.4	6
1011-MURINAE	-4.9	-0.7	-6.8	-31.8	-17.4
