Calib;node;Prior
Mammalia;268;ST(1.642,0.425,12.652,1714.565)
Sciuromorpha;269;B(0.4103,0.5924)
Monotremata;532;B(0.24459,1.332)
Tachyglossidae;533;B(0.0258,1.332)
