xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded
t_n73	1.67979101388297	0.421767339057176	6.82100788823379	869.168941189031	ST(1.67979101388297,0.421767339057176,6.82100788823379,869.168941189031)	ST(1.68,0.422,6.821,869.169)
t_n74	1.28286095393081	0.17596068484001	3.06777371723163	252.735228377935	ST(1.28286095393081,0.17596068484001,3.06777371723163,252.735228377935)	ST(1.283,0.176,3.068,252.735)
t_n75	0.691801846139376	0.12908292157656	-5.15837655002297	312.662567005831	ST(0.691801846139376,0.12908292157656,-5.15837655002297,312.662567005831)	ST(0.692,0.129,-5.158,312.663)
t_n76	0.568740924122564	0.109764309662028	-10.3495091417577	577.082861461001	ST(0.568740924122564,0.109764309662028,-10.3495091417577,577.082861461001)	ST(0.569,0.11,-10.35,577.083)
t_n77	0.792257573380213	0.0125394712879305	0.918363417030186	3.27421792417339	ST(0.792257573380213,0.0125394712879305,0.918363417030186,3.27421792417339)	ST(0.792,0.013,0.918,3.274)
t_n78	0.778015841190459	0.0115713656383776	0.88864378716399	3.22162090103835	ST(0.778015841190459,0.0115713656383776,0.88864378716399,3.22162090103835)	ST(0.778,0.012,0.889,3.222)
t_n79	0.626767672091454	0.0183011966750416	-0.323033193960891	2.92554977893502	ST(0.626767672091454,0.0183011966750416,-0.323033193960891,2.92554977893502)	ST(0.627,0.018,-0.323,2.926)
t_n80	0.642035682606953	0.0194091002880346	1.09297482545922	4.78578855167667	ST(0.642035682606953,0.0194091002880346,1.09297482545922,4.78578855167667)	ST(0.642,0.019,1.093,4.786)
t_n81	0.544917043217218	0.0242490367437417	1.7044536657051	4.03076842451036	ST(0.544917043217218,0.0242490367437417,1.7044536657051,4.03076842451036)	ST(0.545,0.024,1.704,4.031)
t_n82	0.745354840093545	0.0086774031271936	0.683548188664072	3.33309629499193	ST(0.745354840093545,0.0086774031271936,0.683548188664072,3.33309629499193)	ST(0.745,0.009,0.684,3.333)
t_n83	0.693959738622245	0.00638044006055342	0.687496145426792	3.23819096685128	ST(0.693959738622245,0.00638044006055342,0.687496145426792,3.23819096685128)	ST(0.694,0.006,0.687,3.238)
t_n84	0.594937331549858	0.0170946186553753	-0.973961031455359	16.2321117156496	ST(0.594937331549858,0.0170946186553753,-0.973961031455359,16.2321117156496)	ST(0.595,0.017,-0.974,16.232)
t_n85	0.677411257755907	0.00600876273245827	0.737380870100365	3.10858091124931	ST(0.677411257755907,0.00600876273245827,0.737380870100365,3.10858091124931)	ST(0.677,0.006,0.737,3.109)
t_n86	0.595904386220592	0.0152471867622356	-0.925563042028004	10.5033362176368	ST(0.595904386220592,0.0152471867622356,-0.925563042028004,10.5033362176368)	ST(0.596,0.015,-0.926,10.503)
t_n87	0.670736714557013	0.00592434981874086	0.75754197774088	3.08655395864707	ST(0.670736714557013,0.00592434981874086,0.75754197774088,3.08655395864707)	ST(0.671,0.006,0.758,3.087)
t_n88	0.541327212121046	0.0255926268664571	-1.63558316918342	46.8561957536467	ST(0.541327212121046,0.0255926268664571,-1.63558316918342,46.8561957536467)	ST(0.541,0.026,-1.636,46.856)
t_n89	0.166079038167875	0.0216815785254752	-0.576164410430813	149.23265720203	ST(0.166079038167875,0.0216815785254752,-0.576164410430813,149.23265720203)	ST(0.166,0.022,-0.576,149.233)
t_n90	0.0746137660390575	0.0134667848500859	0.652665626661049	197.986493364664	ST(0.0746137660390575,0.0134667848500859,0.652665626661049,197.986493364664)	ST(0.075,0.013,0.653,197.986)
t_n91	0.47005412905091	0.0298351601371915	-1.52693100047402	157.086175839452	ST(0.47005412905091,0.0298351601371915,-1.52693100047402,157.086175839452)	ST(0.47,0.03,-1.527,157.086)
t_n92	0.398574430116736	0.0293168420152779	-1.03717582765167	311.876896726204	ST(0.398574430116736,0.0293168420152779,-1.03717582765167,311.876896726204)	ST(0.399,0.029,-1.037,311.877)
t_n93	0.659207931337734	0.00589460701909869	0.792057409426387	3.13225922459833	ST(0.659207931337734,0.00589460701909869,0.792057409426387,3.13225922459833)	ST(0.659,0.006,0.792,3.132)
t_n94	0.573843019179818	0.00697914390177485	0.221799094312685	6.5291514907399	ST(0.573843019179818,0.00697914390177485,0.221799094312685,6.5291514907399)	ST(0.574,0.007,0.222,6.529)
t_n95	0.552309229559595	0.00708482242457251	-0.259792937011444	6.83474963525238	ST(0.552309229559595,0.00708482242457251,-0.259792937011444,6.83474963525238)	ST(0.552,0.007,-0.26,6.835)
t_n96	0.50808359839696	0.00915279116325933	-1.22578520682116	6.40139428203017	ST(0.50808359839696,0.00915279116325933,-1.22578520682116,6.40139428203017)	ST(0.508,0.009,-1.226,6.401)
t_n97	0.161683946028818	0.0320159538257804	6.13283409613126	266.157669241608	ST(0.161683946028818,0.0320159538257804,6.13283409613126,266.157669241608)	ST(0.162,0.032,6.133,266.158)
t_n98	0.0684226265617093	0.0178904096839549	3.44931152625838	278.704209994296	ST(0.0684226265617093,0.0178904096839549,3.44931152625838,278.704209994296)	ST(0.068,0.018,3.449,278.704)
t_n99	0.695675642934201	0.00648317432066089	0.377492079712033	4.40000383725134	ST(0.695675642934201,0.00648317432066089,0.377492079712033,4.40000383725134)	ST(0.696,0.006,0.377,4.4)
