t_n61	t_n62	t_n63	t_n64	t_n65	t_n66	t_n67	t_n68	t_n69	t_n70	t_n71	t_n72	t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119
run1	1.6457013	0.6638255	0.6235016	0.6025338	0.5539235	0.1941342	0.1493577	0.1139176	0.0632046	0.0226572	0.0136924	0.0076154	0.0017791	0.0326328	0.0046172	0.0965046	0.0469929	0.0246866	0.0016671	0.0987567	0.0317442	0.4201945	0.2796748	0.2167863	0.1996624	0.1199993	0.058597	0.043401	0.0173556	0.0985252	0.0706019	0.2051193	0.1532121	0.0830226	0.0852761	0.4420631	0.2189031	0.1842009	0.1446138	0.023761	0.0870759	0.116475	0.0076788	0.1868444	0.1442904	0.0394798	0.1215647	0.0078658	0.0009875	0.5654146	0.5297548	0.0494668	0.0371888	0.0075337	0.2949091	0.0885942	0.0635614	0.4141555	0.0813107
run2	1.6464255	0.6637025	0.6239188	0.6034686	0.5546387	0.1958245	0.1512478	0.1150115	0.064395	0.022742	0.0135223	0.00729530000000001	0.001887	0.0328332	0.004544	0.0976219	0.0470736	0.0250108	0.0016459	0.1009215	0.0327435	0.4207279	0.2813462	0.2181821	0.2007564	0.1218989	0.0595379	0.0438612	0.0173968	0.0993537	0.0713273	0.2058154	0.1542465	0.0833942	0.0868278	0.4434233	0.2195225	0.1845037	0.1454464	0.0239751	0.0871912	0.1173124	0.0075878	0.1871572	0.1447733	0.0399381	0.1218447	0.0079459	0.0010241	0.5658288	0.5302998	0.0494944	0.0372811	0.0075726	0.2956838	0.0894969	0.0640109	0.4159536	0.0799038
run3	1.6476441	0.6635594	0.623303	0.6028586	0.5536009	0.1941642	0.1497358	0.1138113	0.0639484	0.0228436	0.0135926	0.00734820000000001	0.0018825	0.0330383	0.0046782	0.096314	0.0466536	0.0249345	0.0015343	0.0997497	0.0325494	0.4196769	0.279835	0.2170139	0.1999253	0.1203929	0.0589138	0.0432436	0.017278	0.0990833	0.0708397	0.2052385	0.1530886	0.0828388	0.0871412	0.44228	0.218551	0.1840102	0.144674	0.0237529	0.0866287	0.1165144	0.007697	0.1865795	0.1441737	0.039713	0.1218795	0.0079568	0.0010068	0.5654216	0.5295449	0.0495799	0.0371037	0.0076031	0.2947866	0.0894418	0.0637073	0.4154183	0.0808439
run4	1.6455648	0.6626943	0.6232396	0.6023079	0.5530169	0.1928319	0.1492622	0.1135572	0.0640793	0.022908	0.0135738	0.0074474	0.0018527	0.0328214	0.00463970000000001	0.0967097	0.0466713	0.0245425	0.0015398	0.1001687	0.0322808	0.4196383	0.2802441	0.2168035	0.1995389	0.120742	0.0582383	0.0430812	0.0172108	0.0987798	0.0705121	0.2052049	0.1535495	0.0833566	0.0874733	0.4404236	0.2179885	0.1831141	0.1443448	0.0236998	0.086832	0.1159709	0.0076946	0.186745	0.1437907	0.0393872	0.1217024	0.0080519	0.000998200000000001	0.5645086	0.5292884	0.0495401	0.0371371	0.0075207	0.2947318	0.0890749	0.0638369	0.3998314	0.0784875
run5	1.6457696	0.6633574	0.6232732	0.6026749	0.5533697	0.193285	0.148705	0.1130209	0.0635687	0.0230256	0.0138083	0.0076257	0.0018285	0.0331173	0.0046609	0.096479	0.0466081	0.024699	0.0014654	0.099122	0.0323135	0.4192672	0.2791482	0.2158854	0.1983416	0.1204309	0.0587763	0.0435115	0.017146	0.0984155	0.0708057	0.2038686	0.1536998	0.0816834	0.086171	0.4428114	0.2187337	0.183976	0.1451881	0.023993	0.0868642	0.1165118	0.0077345	0.1871181	0.1443398	0.0395826	0.1219667	0.0079844	0.0010155	0.5647234	0.5286733	0.049423	0.0370915	0.0075963	0.2945079	0.0899081	0.064204	0.4186244	0.0819901
run6	1.642889	0.6636684	0.6232914	0.6025545	0.554216	0.193944	0.149671	0.113511	0.0640439	0.0225118	0.0133909	0.00732770000000001	0.0018186	0.0332485	0.004647	0.0961968	0.0465737	0.0246705	0.0014458	0.0986326	0.0316088	0.4196269	0.2805994	0.2172561	0.2003921	0.1216784	0.0592675	0.0437025	0.0173633	0.0992811	0.0713909	0.2055803	0.1543382	0.082949	0.087476	0.4417354	0.219696	0.1847537	0.145138	0.0242479	0.0879528	0.1171204	0.0078103	0.1876362	0.1450024	0.0399187	0.1222309	0.0079957	0.0010238	0.5655205	0.5298902	0.0495701	0.0372099	0.0075505	0.2950399	0.0894729	0.0642504	0.4030508	0.0784751
run7	1.6432958	0.6634845	0.6238702	0.6031547	0.5539321	0.1945246	0.1512664	0.1144998	0.0640623	0.0230742	0.0135536	0.0074421	0.0017789	0.0326398	0.0047214	0.0978099	0.0464583	0.0245794	0.0015589	0.0998716	0.032182	0.4199853	0.2804876	0.2170032	0.1996849	0.1204811	0.0591877	0.0438256	0.0173778	0.098578	0.0710173	0.2055953	0.1534843	0.0827334	0.0876155	0.4409754	0.2172052	0.1824424	0.1439095	0.0237961	0.0861868	0.1157908	0.0075764	0.1854665	0.1432206	0.0393142	0.120697	0.0077248	0.0010364	0.5651693	0.5292474	0.0494032	0.0372268	0.0076143	0.2948872	0.0898493	0.0641288	0.4169469	0.0810256
run8	1.6464871	0.6632629	0.6232722	0.6024037	0.5531322	0.1953037	0.151528	0.1150267	0.0645406	0.0232269	0.0135286	0.0072192	0.0018196	0.0329389	0.0047261	0.0972623	0.047036	0.0246844	0.0015082	0.0992634	0.0317625	0.4187947	0.2799156	0.2163076	0.1987611	0.1201434	0.0586768	0.0431793	0.0171241	0.0989135	0.0708677	0.204877	0.1535039	0.0826461	0.0870278	0.4427382	0.2186585	0.183403	0.144777	0.0239109	0.0867823	0.116261	0.0077411	0.1863346	0.1432875	0.0394634	0.1210081	0.0080921	0.0010107	0.5652304	0.5293053	0.0495591	0.0372735	0.0075403	0.2960673	0.0897111	0.0645647	0.4190889	0.0818254
run9	1.643468	0.6630449	0.6232868	0.6030015	0.5543933	0.1954432	0.1510238	0.1144566	0.064162	0.0229155	0.0135021	0.0073971	0.0017808	0.0328871	0.0045461	0.0968858	0.0468599	0.0243027	0.001649	0.1004353	0.03201	0.420971	0.2811403	0.2175564	0.2000932	0.1209008	0.0589851	0.0435351	0.0172456	0.0993968	0.071645	0.2059975	0.1545467	0.0835831	0.0870585	0.4432577	0.2187992	0.1833371	0.1449155	0.0239517	0.0869587	0.1160471	0.0076479	0.1867713	0.1443637	0.0393636	0.1216629	0.0078828	0.0009826	0.5648886	0.5290345	0.0495411	0.0372606	0.0075657	0.2943274	0.0891137	0.063865	0.4116654	0.0797916
run10	1.6462868	0.6629712	0.6233323	0.602588	0.5544742	0.1948288	0.1505244	0.1150818	0.0633232	0.0228598	0.0133105	0.0073514	0.0018726	0.0325329	0.0047962	0.0970041	0.0467647	0.0249719	0.0015847	0.0984415	0.0321491	0.4198514	0.2808695	0.2176149	0.2000279	0.1208401	0.0590932	0.0433632	0.017263	0.0989732	0.0706046	0.2048424	0.1530903	0.0831837	0.0860376	0.4429319	0.2192448	0.1837245	0.1446398	0.0241127	0.0867537	0.1169088	0.0075945	0.1868416	0.1439715	0.0396789	0.1217292	0.0079234	0.000988000000000001	0.5649416	0.529422	0.0494411	0.0372212	0.0075616	0.2945416	0.0895779	0.0638673	0.4141577	0.0803474
