Parsing alignment laurasiatheria_therest_nt12cp ... ... 
Length alignment: 198006
Number of taxa: 659
Taxon: cerdocyon_thous | Num gaps: 195832 | Missing taxon?: N | % Missing data: 98.9020534731271
Taxon: chimarrogale_himalayica | Num gaps: 197036 | Missing taxon?: N | % Missing data: 99.5101158550751
Taxon: chimarrogale_phaeura | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: chimarrogale_platycephala | Num gaps: 197492 | Missing taxon?: N | % Missing data: 99.7404119067099
Taxon: chimarrogale_styani | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: chodsigoa_caovansunga | Num gaps: 197480 | Missing taxon?: N | % Missing data: 99.7343514842985
Taxon: chodsigoa_hypsibia | Num gaps: 197048 | Missing taxon?: N | % Missing data: 99.5161762774865
Taxon: chodsigoa_parca | Num gaps: 197032 | Missing taxon?: N | % Missing data: 99.5080957142713
Taxon: chodsigoa_sodalis | Num gaps: 197042 | Missing taxon?: N | % Missing data: 99.5131460662808
Taxon: chrotogale_owstoni | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: chrysocyon_brachyurus | Num gaps: 195310 | Missing taxon?: N | % Missing data: 98.6384250982293
Taxon: civettictis_civetta | Num gaps: 195956 | Missing taxon?: N | % Missing data: 98.9646778380453
Taxon: condylura_cristata | Num gaps: 194034 | Missing taxon?: N | % Missing data: 97.9940001818127
Taxon: conepatus | Num gaps: 195864 | Missing taxon?: N | % Missing data: 98.9182145995576
Taxon: congosorex_phillipsorum | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_aleksandrisi | Num gaps: 197422 | Missing taxon?: N | % Missing data: 99.7050594426431
Taxon: crocidura_attenuata | Num gaps: 196690 | Missing taxon?: N | % Missing data: 99.3353736755452
Taxon: crocidura_baileyi | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_batakorum | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
