mean	q-2.5%	q-97.5%
211-MAMMALIA	-0.6	0	4.1
212-RODENTIA	0	0	0
214-Caviomorpha-Phiomorpha	0	0.1	0.2
215-Cavioidea-Erethizontoidea	0.5	1.5	0.4
217-Chinchilla-Octodon	2.2	4.2	0.4
360-Cporcellus-Caperea	0.4	0.5	0.3
385-Heterocephalus-Fdamarensis	-2.9	-1.9	-4.6
