mean	q-2.5%	q-97.5%	var	sd
660-MAMMALIA	-0.6	0	4.4	11.2	5.4
661-LAURASIATHERIA	0.1	0.4	0.2	-26.1	-14
662-SCROTIFERA	0.2	0.8	-0.3	-55.5	-33.3
664-FEREUNGULATA	-0.2	0.4	-0.9	-61.6	-38
665-CARNIVORA	0.2	0.7	0.1	-7.6	-3.9
666-CANIFORMIA	0.1	0.9	-0.2	-10.1	-5.2
667-ARCTOIDEA	0.8	2.4	0.2	-16.2	-8.4
917-FELIDAE	5.3	1.3	6.3	13.3	6.5
955-PANTHERINAE	4.2	7.8	6.6	-3.8	-1.9
969-EUUNGULATA	-0.2	0	-0.7	-43	-24.5
1000-ARTIODACTYLA	-0.1	-0.1	-0.1	-4.1	-2.1
1005-ERINACEIDAE-SORICIDAE	-0.2	-0.2	-0.1	0.8	0.4
1008-CHIROPTERA	0.6	1	0.3	-14	-7.3
