Tree,Rank,Name,Action,Outside_taxa,Change_from,Change_to,Force_monophyletic,Reference,Note
Ctenohystrica,Family,Octodondidae,Yes,octodontomys_gliroides,Ctenomyidae,Octodondidae,No,Patton et al 2015,NCBI has the incorrect genus name for Octodontomys gliroides
Ctenohystrica,Family,Caviidae,Yes,hydrochoerus_hydrochaeris,Hydrochaeridae,Caviidae,No,Patton et al 2015,NCBI has the incorrect genus name for hydrochoerus_hydrochaeris
Ctenohystrica,Family,Ctenomyidae,No,N/A,N/A,N/A,N/A,Patton et al 2015,Same as in Rank Genus for Octodondidae
Ctenohystrica,Family,Echimyidae,Yes,myocastor_coypus,Myocastoridae,Echimyidae,No,Patton et al 2015,NCBI has the incorrect genus name for myocastor_coypus
Ctenohystrica,Family,Echimyidae,Yes,carterodon_sulcidens,N/A,N/A,Yes,Patton et al 2015,Species seems to be in the wrong position
Ctenohystrica,Genus,Abrocoma,Maybe,cuscomys_ashaninka,N/A,N/A,Maybe,N/A,I have not found a study that shows the position of the species of Abrocoma
Ctenohystrica,Genus,Echimyidae,Yes,trinomys_setosus,N/A,N/A,Yes,Patton et al 2015,Species seems to be in the wrong position
Ctenohystrica,Genus,Pattonomys,Yes,N/A,N/A,N/A,Yes,Patton et al 2015,Genus should be monophylotic
Ctenohystrica,Genus,Fukomys,Yes,fukomys_damarensis,N/A,N/A,Yes,Ingram et al 2004; Faulkes et al 2004; Kock et al 2006,Species seems to be in the wrong position
Ctenohystrica,Genus,Aconaemys,No,N/A,N/A,N/A,No,Patton et al 2015,"""Most studies also have not recovered the monophyly of Aconaemys species (but see Gallardo et al 2007), with A. porteri forming a sister-relationship with Spalacopus and not with A. fuscus + A. sagei. The association of these taxa is, however, weak, and their correct phyletic relationships remain to be resolved (Uppan and Patterson 2012)"""
Ctenohystrica,Genus,Atherurus,Yes,N/A,N/A,N/A,Yes,N/A,I did not find much information. I think it should be monophyletic
Ctenohystrica,Genus,Atherurus,Yes,N/A,hystrix_brachyurus,hystrix_brachyura,N/A,Upam and Patterson 2015,NCBI has the incorrect species name for hystrix_brachyura
Ctenohystrica,Species,Trinomys setosus,No,N/A,N/A,N/A,N/A,Patton et al 2015,Same as in Rank Genus for Echimyidae
Ctenohystrica,Species,Trinomys setosus,Yes,N/A,trinomys_setosus_denigratus,trinomys_setosus_setosus,No,Patton et al 2015,T. s. denigratus became synonym of T. s. setosus
Ctenohystrica,Species,Cryptomys hottentotus,Yes,N/A,cryptomys_anomalus,cryptomys_hottentotus_anomalus,No,Ingram et al 2004; Faulkes et al 2004,NCBI has the incorrect species name
Ctenohystrica,Species,Cryptomys hottentotus,Yes,N/A,cryptomys_holosericeus,cryptomys_hottentotus_holosericeus,No,Ingram et al 2004; Faulkes et al 2005,NCBI has the incorrect species name
Ctenohystrica,Species,Cavia tschudii,Yes,N/A,N/A,N/A,Yes,Patton et al 2015,Species seems to be in the wrong position
Ctenohystrica,Species,Cavia aperea,Yes,N/A,N/A,N/A,Yes,Patton et al 2015,Species seems to be in the wrong position
Ctenohystrica,Species,Fukomys whytei,No,N/A,N/A,N/A,No,Ingram et al 2004; Kock et al 2006,Ingram et al 2004 also recovered similar grouping
