t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	1.6427424	1.2397228	0.4338182	0.3481317	0.7827911	0.7692164	0.5793007	0.6275266	0.528518	0.7371171	0.68658	0.5587571	0.6688458	0.552694	0.5455502	0.4899075	0.1592592	0.0637414	0.6626359	0.5508184	0.6537364	0.4695204	0.1151299	0.0557181	0.3897092	0.320814	0.6872977	0.6791943	0.6524804	0.4569902	0.5980813	0.5824853	0.3795986	0.2843947	0.3243656	0.0718671	0.2869602	0.5315924	0.422277	0.3227259	0.1607257	0.1264805	0.0813774	0.1186025	0.082037	0.039405	0.0200838	0.0093357	0.6367819	0.4898639	0.2946646	0.6005297	0.3691316	0.1411662	0.1352624	0.1230121	0.2741338	0.1592566	0.1169997	0.0879446	0.074397	0.0619751	0.0472104	0.0344154	0.1129888	0.0320782	0.2009177	0.1774598	0.0965163	0.0783169	0.0308987
run2	1.6374316	1.2386277	0.4388654	0.3520125	0.7720717	0.7591276	0.5745043	0.6257564	0.5288084	0.7284188	0.679545	0.5564322	0.662079	0.5512099	0.5441323	0.488843	0.1590571	0.0639008	0.6559695	0.5473481	0.6472283	0.4696668	0.1154975	0.0560375	0.390053	0.3209063	0.681514	0.6740108	0.6488366	0.4576111	0.5973094	0.5825918	0.3841312	0.2857446	0.3276247	0.0721288	0.2902802	0.5340335	0.4292999	0.3317094	0.1632952	0.1281246	0.0827172	0.1200099	0.0829289	0.0399361	0.0203874	0.0094987	0.6335004	0.4850698	0.2916068	0.5977268	0.3672221	0.1345617	0.1289392	0.1171855	0.2721941	0.1582686	0.1166985	0.0877497	0.0742389	0.0618162	0.047086	0.0342694	0.1124774	0.0320458	0.1990342	0.1757298	0.0960855	0.0779902	0.0308023
run3	1.6454885	1.2471481	0.4416925	0.3543903	0.7827764	0.7694075	0.5779419	0.6307579	0.5322964	0.7379151	0.6878256	0.5604941	0.6702539	0.5531829	0.5459444	0.4899402	0.1583407	0.063497	0.6640455	0.5514989	0.6553193	0.4762319	0.1161519	0.0563614	0.3973163	0.3270143	0.6890017	0.6810711	0.6540781	0.4571567	0.5995958	0.5844254	0.3821952	0.283787	0.3257951	0.0722611	0.2880802	0.5351382	0.4317468	0.3340096	0.1661206	0.1306839	0.0844086	0.1226293	0.0849114	0.0408491	0.0208522	0.009747	0.6381825	0.4884347	0.2932396	0.6011746	0.3666891	0.1323874	0.1267563	0.1154031	0.2718355	0.1586644	0.1169249	0.0880269	0.0743235	0.0619333	0.0472488	0.0344374	0.1127558	0.031921	0.1994338	0.1759488	0.0964056	0.0782804	0.0308333
run4	1.6403499	1.2450541	0.442116	0.3550132	0.7798824	0.7661953	0.5743738	0.6283025	0.5311012	0.7340592	0.6842125	0.5578254	0.6667527	0.5519838	0.5447955	0.4891928	0.1591366	0.0637433	0.6606586	0.5489736	0.6518451	0.4701055	0.114738	0.0555157	0.3901136	0.3207567	0.6850593	0.6772236	0.6514264	0.4576004	0.5990743	0.5838749	0.3837033	0.2869797	0.3270871	0.0723484	0.2895733	0.5341195	0.430058	0.3318137	0.1592356	0.1248013	0.080527	0.1169693	0.0818118	0.0393707	0.0201446	0.0093898	0.636182	0.4914091	0.2972155	0.5999123	0.3620372	0.1412748	0.1353842	0.1231464	0.2689719	0.1561486	0.1149523	0.0864621	0.0730387	0.0608196	0.0464864	0.0339047	0.1108739	0.031525	0.1974281	0.1741827	0.0952334	0.0773492	0.0305106
run5	1.6461638	1.2351424	0.4360708	0.348514	0.7843219	0.7710342	0.5763302	0.6302048	0.5323803	0.7388727	0.6877005	0.5587254	0.6700017	0.5515601	0.5442347	0.4886263	0.158925	0.0636946	0.663692	0.5499065	0.6545637	0.4686332	0.1148544	0.0555292	0.3888289	0.319218	0.6888681	0.6807319	0.6535614	0.457178	0.5995343	0.5840857	0.3833623	0.2864759	0.327626	0.0720568	0.290083	0.5341222	0.4303052	0.3351649	0.1697072	0.1333267	0.0861429	0.124949	0.086598	0.0416683	0.0213046	0.0099054	0.6377645	0.4891154	0.2935343	0.6010033	0.3637581	0.1350366	0.1293678	0.1177755	0.2682683	0.1562735	0.1152054	0.0868452	0.0733815	0.0611302	0.0466658	0.0340114	0.111201	0.0316649	0.1949744	0.1720826	0.0943065	0.0765981	0.0304593
run6	1.6388049	1.2393521	0.433045	0.3465341	0.7779955	0.7649654	0.5790756	0.630362	0.533788	0.7334034	0.6828062	0.5587477	0.6652799	0.55203	0.5448433	0.4897236	0.1587823	0.0634929	0.6591612	0.54933	0.6504441	0.4755434	0.1172152	0.056928	0.3962165	0.3256678	0.6839262	0.6760444	0.6501748	0.4575609	0.5971115	0.5821533	0.3834489	0.2866741	0.3276089	0.0725033	0.2899414	0.5322815	0.4265549	0.3295667	0.1639355	0.1290467	0.0830723	0.1208706	0.0835606	0.0401599	0.020523	0.0095568	0.6352704	0.4878664	0.2911924	0.5994864	0.3668137	0.138482	0.1326108	0.1204951	0.2717692	0.1572666	0.1158756	0.0872553	0.0736552	0.0613654	0.0467767	0.0340925	0.1115873	0.0316848	0.1980229	0.1749944	0.0966349	0.0784915	0.0308535
run7	1.6532318	1.2353628	0.4430613	0.3547442	0.7775373	0.7644328	0.5784911	0.6302489	0.5330627	0.7337234	0.6842048	0.5585267	0.6667224	0.5517843	0.544644	0.4891269	0.158613	0.0631977	0.6607168	0.5495234	0.6518746	0.4755071	0.1158436	0.056279	0.3954314	0.3259252	0.6855994	0.6776973	0.6518288	0.457516	0.5992545	0.5839094	0.3814461	0.2843269	0.3254159	0.071716	0.2882899	0.5338952	0.4290418	0.3315221	0.1654585	0.1301844	0.0838713	0.1220926	0.0842741	0.0404503	0.0206495	0.00961	0.6370212	0.4907589	0.2941266	0.6010933	0.368659	0.1392271	0.1334914	0.1215368	0.2733897	0.1598657	0.1177707	0.0887051	0.0748975	0.0623988	0.0476255	0.0347217	0.1135381	0.0320411	0.2001124	0.176723	0.0967566	0.0785228	0.0309044
run8	1.6396007	1.2474884	0.4372047	0.3507109	0.7819399	0.7682473	0.5765749	0.6290025	0.5313303	0.7360748	0.6854018	0.5578812	0.6677389	0.553173	0.5460721	0.4906108	0.1585985	0.0635729	0.6616155	0.5497126	0.6526961	0.4702818	0.1155069	0.0561441	0.3917903	0.3226247	0.6867815	0.6789273	0.6526651	0.4567247	0.5986193	0.5830766	0.3827641	0.2865827	0.3268972	0.0721593	0.2897528	0.5337648	0.4277806	0.330467	0.163595	0.12886	0.0832899	0.120767	0.0833403	0.0401602	0.020434	0.0095157	0.6375525	0.4876731	0.2928622	0.6014925	0.3684992	0.1395901	0.133788	0.1217291	0.2736483	0.1598863	0.1178919	0.0887971	0.0749524	0.0624367	0.0476004	0.0346622	0.113481	0.0321884	0.2005642	0.1770149	0.0965459	0.0783738	0.0309376
run9	1.6485105	1.249288	0.4345317	0.3476802	0.7828918	0.7697469	0.5761027	0.6310112	0.53293	0.7380152	0.6869685	0.5592702	0.6690895	0.5523465	0.5453042	0.4894817	0.1587896	0.0636297	0.6630073	0.5509208	0.6540748	0.4728413	0.1154108	0.0560068	0.3947722	0.3264488	0.6873395	0.6790407	0.6519909	0.458305	0.597864	0.5829981	0.3810236	0.2835506	0.324664	0.0716378	0.2873687	0.5344131	0.4326304	0.3359646	0.168553	0.1324462	0.0851555	0.1241699	0.0857137	0.0410725	0.0209512	0.0097679	0.6360493	0.4904727	0.2942334	0.5998368	0.3644187	0.1476857	0.1416323	0.1286591	0.2696571	0.157801	0.1161569	0.0873698	0.073912	0.0614975	0.0470532	0.0342841	0.1121084	0.0320348	0.1974779	0.174436	0.0960589	0.0778232	0.0306621
run10	1.6476328	1.2340439	0.4287126	0.3429313	0.7816602	0.7684696	0.5774993	0.6294899	0.5316997	0.7365966	0.6860092	0.5591397	0.6686325	0.5530778	0.545989	0.4900325	0.1590872	0.0639831	0.6627055	0.5511197	0.6541062	0.4735927	0.1162041	0.056422	0.3951933	0.3249359	0.687086	0.6791643	0.6526956	0.4577693	0.5987472	0.5832607	0.3851768	0.2885755	0.3289553	0.0730903	0.2915015	0.5329174	0.424814	0.3274502	0.162145	0.127331	0.0823115	0.1194428	0.0835479	0.0399994	0.0203534	0.0094801	0.6375324	0.4896683	0.2947685	0.6011529	0.3711438	0.1449452	0.1390064	0.1261539	0.2765667	0.1607332	0.1184592	0.0891913	0.0753699	0.0627906	0.0477841	0.034864	0.114253	0.0324893	0.2028006	0.1788554	0.0978238	0.0793877	0.0312683
