mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.5	0.1	5.1	14.6	7
433-ARTIODACTYLA	0.1	0.2	0.1	-9.8	-5
434-B-S-O-T	0	0.1	-0.1	-8.8	-4.5
435-WHIP-RUM	0.1	0.3	-0.1	-7.2	-3.7
440-BOV-ANTIL	-8	-16.9	-5.2	41.1	18.8
446-OVIS-CAPRA	1.7	2.1	3.4	2.4	1.2
