mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.6	0.5	3.5	6.2	3.1
433-ARTIODACTYLA	0	0.2	0	-10.2	-5.2
434-B-S-O-T	0	0.1	-0.1	-6.8	-3.4
435-WHIP-RUM	0.1	0.3	0	-6.6	-3.4
440-BOV-ANTIL	0.3	-2.1	-2.6	-1.9	-1
446-OVIS-CAPRA	1.6	1.8	3.2	3.1	1.5
