mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.6	-0.1	4.3	12	5.8
433-ARTIODACTYLA	0	0.2	0	-9.9	-5.1
434-B-S-O-T	0.1	0.6	0	-22.8	-12.1
435-WHIP-RUM	6.2	8.8	6.1	-50.2	-29.4
440-BOV-ANTIL	14.4	7.6	8.7	6.5	3.2
446-OVIS-CAPRA	4.1	5.8	3.2	-7	-3.6
