mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.8	0.6	3.4	4.5	2.2
433-ARTIODACTYLA	0	0.2	0	-9.4	-4.8
434-B-S-O-T	0	0.2	-0.1	-7.4	-3.8
435-WHIP-RUM	0.1	0.2	-0.1	-8	-4.1
440-BOV-ANTIL	-5.5	-9	-6	-2.9	-1.5
446-OVIS-CAPRA	1.6	2.3	3.1	1.7	0.9
