mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.5	-0.1	4.3	12.8	6.2
433-ARTIODACTYLA	0	0.2	0	-10.8	-5.6
434-B-S-O-T	0	0.1	-0.1	-6.7	-3.4
435-WHIP-RUM	0.1	0.2	0	-5.3	-2.7
440-BOV-ANTIL	14.5	7.6	9	8.8	4.3
446-OVIS-CAPRA	4.1	5.5	2.9	-6.1	-3.1
