mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.6	-0.1	4.6	12.6	6.1
433-ARTIODACTYLA	0.1	0.3	0	-11.8	-6.1
434-B-S-O-T	0	0.1	-0.1	-7.6	-3.9
435-WHIP-RUM	0.1	0.2	-0.1	-7.7	-3.9
440-BOV-ANTIL	4.2	-8.9	3.7	66.6	29.1
446-OVIS-CAPRA	1.9	3	1.9	-2.3	-1.1
