mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.5	-0.2	5	15.2	7.3
433-ARTIODACTYLA	0	0.2	0	-10.4	-5.4
434-ARTIOFABULA	0	0.1	-0.1	-7.4	-3.8
435-CETRUMINANTIA	3	5.7	3.3	-46.8	-27.1
440-BOVIDAE	-4.7	-8.5	-4.7	-0.3	-0.1
446-O.aries-C.hircus	1.7	-4	4.2	30.8	14.3
