mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.4	-0.1	4.3	14	6.8
433-ARTIODACTYLA	0	0.2	0	-9.7	-5
434-ARTIOFABULA	0	0	-0.1	-7.1	-3.6
435-CETRUMINANTIA	2.5	5.6	1.6	-76.6	-51.6
440-BOVIDAE	11.6	4.4	14.2	79.5	34
446-O.aries-C.hircus	11	9.6	11.4	23.9	11.3
