mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.5	-0.1	4.1	12	5.8
433-ARTIODACTYLA	0	0.2	0	-10.2	-5.2
434-ARTIOFABULA	0	0.2	-0.1	-10.7	-5.5
435-CETRUMINANTIA	3.5	5.7	4.6	-11.3	-5.8
440-BOVIDAE	-1.3	-4.1	-1.4	4.6	2.3
446-O.aries-C.hircus	-4.9	-8.1	-4.8	-4.9	-2.5
