t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	1.6377798	1.2407959	0.4329542	0.3490984	0.7734379	0.7597199	0.5697223	0.620202	0.5225708	0.7280733	0.6801882	0.5548902	0.6648107	0.5574202	0.6585094	0.4813913	0.1176032	0.0569523	0.4029425	0.3323464	0.6474351	0.5583351	0.5330236	0.4810375	0.1588864	0.0639445	0.6810766	0.6502781	0.4579649	0.5978656	0.5830572	0.381936	0.2850516	0.3256864	0.0722346	0.2882519	0.534882	0.4326322	0.3355625	0.1668892	0.1311954	0.0846458	0.123065	0.0853817	0.0411658	0.0209673	0.0097757	0.6726703	0.6303171	0.4906244	0.2965025	0.5954815	0.3677927	0.1429771	0.137005	0.1243798	0.2727396	0.1583182	0.1166909	0.0879381	0.0744407	0.0620681	0.047278	0.0344232	0.1124045	0.0318789	0.1989418	0.1757522	0.0960193	0.0779384	0.0306625
run2	1.6408631	1.2211681	0.4396966	0.3542225	0.7713746	0.7582444	0.5657027	0.6203696	0.5252914	0.7279884	0.6804595	0.5528928	0.6646991	0.55607	0.6582864	0.4756355	0.1179481	0.057359	0.3964784	0.3270285	0.6468226	0.5548755	0.5293738	0.478142	0.1585001	0.0634099	0.6805683	0.6493048	0.458126	0.5972178	0.5823074	0.3833639	0.2860573	0.3278849	0.0725878	0.2899193	0.5344978	0.4348132	0.3400049	0.1720727	0.1355305	0.0879829	0.1270519	0.0885392	0.0427295	0.0218295	0.0101663	0.6722248	0.628698	0.4759686	0.2839852	0.5925399	0.3610603	0.1410894	0.135242	0.1231722	0.2691266	0.156898	0.1155161	0.0868398	0.0734004	0.0612893	0.0467318	0.0340842	0.11129	0.0317408	0.1972488	0.1743966	0.0963846	0.0783711	0.0308147
run3	1.6430203	1.2398129	0.4384955	0.3512805	0.7716166	0.7582539	0.5671678	0.6201919	0.5249361	0.7273236	0.6802408	0.5547229	0.6646727	0.5571237	0.6583446	0.4762514	0.1182819	0.0574685	0.398351	0.3289324	0.6472926	0.5584538	0.5331702	0.4814079	0.1588917	0.0639462	0.6801943	0.6495277	0.4578415	0.5974148	0.5827203	0.384518	0.2869267	0.3288184	0.0729797	0.291329	0.5347157	0.4303597	0.3308652	0.1630751	0.1287642	0.0829668	0.1206908	0.0832249	0.0400019	0.020349	0.0094938	0.6718994	0.6296917	0.4879596	0.2960341	0.5945011	0.3685037	0.1421572	0.1361875	0.1240715	0.2742591	0.1599649	0.1179659	0.088878	0.0751101	0.0626183	0.0477956	0.0347765	0.1139241	0.0323431	0.2006091	0.1771783	0.0971912	0.0790409	0.0311227
run4	1.6438599	1.2288986	0.434095	0.3483584	0.769582	0.7565599	0.5697445	0.6204372	0.524785	0.7268095	0.6798605	0.554075	0.6640542	0.556637	0.657693	0.4740101	0.1176144	0.0571337	0.3952705	0.3270752	0.6464329	0.556526	0.5310787	0.4793752	0.1584187	0.0634836	0.6797209	0.6490083	0.4575886	0.5966113	0.5819432	0.3833936	0.2874683	0.3270735	0.0728538	0.2893854	0.5340438	0.4280714	0.3270405	0.1614073	0.1271865	0.0817118	0.1193679	0.0829187	0.0398782	0.0203617	0.0094789	0.6711927	0.6288051	0.4855717	0.2930729	0.5936124	0.368904	0.1365196	0.1309433	0.119172	0.2745131	0.160165	0.1182297	0.0886871	0.0748953	0.0624305	0.0476551	0.0347466	0.1138643	0.032348	0.2016968	0.1782653	0.0970086	0.0786988	0.0310294
run5	1.6377169	1.223401	0.4467366	0.3584831	0.7700227	0.7571168	0.5681777	0.6235165	0.5279863	0.7273267	0.6801915	0.5541462	0.6644965	0.5572899	0.6581766	0.4751625	0.1175525	0.0570651	0.3959923	0.3268204	0.647173	0.5578833	0.5326456	0.4801809	0.1583088	0.063405	0.6798539	0.6486792	0.4578854	0.5965606	0.5819651	0.3856525	0.2887675	0.3299801	0.0729595	0.2919386	0.5343783	0.4319466	0.334713	0.1663048	0.1306621	0.0841469	0.122403	0.0852765	0.0411206	0.0210536	0.0098206	0.6712048	0.6280866	0.4853293	0.2929551	0.5929992	0.3674373	0.1421034	0.1360686	0.1240454	0.2732454	0.1597997	0.1178411	0.0886225	0.0749312	0.0623277	0.0475753	0.0346279	0.1138292	0.0322323	0.2001015	0.1768516	0.0964322	0.0782571	0.0308204
run6	1.6729342	1.233553	0.4414049	0.3532251	0.7742548	0.7607602	0.5626257	0.6194731	0.5223719	0.7300718	0.6811835	0.5545635	0.6652421	0.5585839	0.6587671	0.4745583	0.1175131	0.0571684	0.3955562	0.3263376	0.6474929	0.557213	0.5314919	0.4793195	0.1588959	0.0638298	0.6814291	0.6502498	0.4583999	0.5975084	0.582679	0.3771354	0.281326	0.3203747	0.071593	0.2834315	0.535229	0.4340204	0.3381633	0.1702739	0.1337739	0.0861021	0.1252734	0.0871709	0.0418852	0.0213364	0.0099258	0.6728102	0.6298377	0.486596	0.294345	0.5945296	0.3676648	0.1441892	0.1382358	0.1254658	0.2735243	0.1608495	0.1187539	0.0894203	0.0755475	0.063061	0.0478946	0.0348831	0.1143252	0.0322973	0.2011536	0.1775788	0.0968336	0.078555	0.0309297
run7	1.6470274	1.2313304	0.4394827	0.3512746	0.7681024	0.7549509	0.5597156	0.6189037	0.5225481	0.72449	0.6781192	0.553327	0.6627007	0.5572659	0.6564606	0.4792638	0.1181176	0.0574128	0.4010249	0.3311022	0.6454987	0.5566004	0.5313997	0.4795422	0.1589006	0.0637365	0.6772497	0.6472432	0.4574982	0.5952706	0.5804704	0.3846391	0.2888499	0.3291399	0.0728704	0.291605	0.5326243	0.4298349	0.3309048	0.1613003	0.1263794	0.0814395	0.1184867	0.08248	0.0397142	0.020288	0.0094233	0.6690198	0.6270886	0.4854128	0.2931485	0.5922999	0.3680001	0.1380478	0.1323533	0.1203704	0.2723299	0.1584986	0.1169419	0.0880478	0.0744683	0.0619862	0.0473171	0.0344676	0.1127765	0.0320643	0.1984936	0.1750803	0.0958284	0.0777414	0.0308184
run8	1.649206	1.2241539	0.443501	0.3553692	0.7719211	0.7585542	0.5664912	0.6187377	0.5216601	0.727814	0.6799195	0.5544234	0.6640863	0.5563874	0.6576363	0.4769081	0.118174	0.0575652	0.3994268	0.3292831	0.6464084	0.5570452	0.5317088	0.480256	0.1589163	0.0640184	0.680073	0.649171	0.4574966	0.5969278	0.5821832	0.3833775	0.2879494	0.3272193	0.072452	0.2898146	0.5343639	0.4290809	0.3307305	0.1632358	0.128201	0.0821368	0.1202237	0.0823096	0.0396172	0.0203046	0.0094868	0.6716431	0.6293396	0.4893672	0.2981081	0.59429	0.3670805	0.1417822	0.1359191	0.1237064	0.2719704	0.1579153	0.1163594	0.0876165	0.0739074	0.061678	0.04713	0.034407	0.1123689	0.0320053	0.1991401	0.1760586	0.0963897	0.0782822	0.03091
run9	1.6395074	1.2297719	0.419622	0.3379964	0.7689319	0.7559171	0.5621699	0.6202592	0.5236261	0.7262748	0.6793386	0.5529569	0.6638241	0.5549336	0.657452	0.4771669	0.1190805	0.0576937	0.3991728	0.3303834	0.6462413	0.5566477	0.5311534	0.4795488	0.1589101	0.0640749	0.6794684	0.6490409	0.4576382	0.5974546	0.5827811	0.3827262	0.285926	0.3262585	0.0727554	0.2885002	0.5350417	0.4309677	0.3323839	0.1637404	0.1285225	0.0833518	0.1205256	0.0843297	0.0407838	0.0208581	0.0097326	0.6711089	0.6290385	0.4877686	0.2945667	0.5936076	0.3695818	0.1388023	0.133004	0.1209397	0.2754735	0.160037	0.1179784	0.0890317	0.0753054	0.0627051	0.0478709	0.0348786	0.1139462	0.0323972	0.202388	0.179014	0.0978194	0.0792125	0.0312444
run10	1.6307722	1.2389072	0.4381056	0.3519863	0.7729997	0.7596217	0.5690354	0.6189432	0.5211449	0.7284203	0.6806992	0.5546175	0.6652223	0.5583046	0.6588209	0.481753	0.1184078	0.0574961	0.4029693	0.3332358	0.6476683	0.5573072	0.5319348	0.4799148	0.1590018	0.0641767	0.6801358	0.6490739	0.4572164	0.5965193	0.5814838	0.3802545	0.284018	0.3241121	0.0722178	0.2868183	0.533959	0.4303407	0.3321126	0.165131	0.1294778	0.0834132	0.1213125	0.0834433	0.040137	0.0204552	0.009525	0.6716091	0.6290849	0.4839952	0.2928692	0.5937161	0.3677471	0.1444134	0.1384351	0.1258213	0.2728995	0.160026	0.1180139	0.0888135	0.0751514	0.0626776	0.0478092	0.0348702	0.1135283	0.0322754	0.1999119	0.1765897	0.0970714	0.0788849	0.0311504
