t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	2.4719934	1.6609985	0.6972091	0.5643004	0.8261982	0.8096014	0.6681829	0.6915783	0.6150482	0.7684356	0.7112467	0.6098558	0.6938649	0.6102036	0.6869653	0.5513231	0.1933062	0.1028929	0.4838451	0.4213687	0.6752193	0.5879256	0.563236	0.5145261	0.2331732	0.1083602	0.7121659	0.6777187	0.4987293	0.6226333	0.6081749	0.4384827	0.3514019	0.3830269	0.1085639	0.346385	0.5663646	0.4906631	0.4126778	0.2502155	0.2016452	0.1360599	0.1900753	0.1411241	0.0721125	0.0381906	0.0182021	0.7027757	0.660226	0.5564624	0.4041655	0.6295091	0.4329586	0.2172457	0.2090853	0.1923739	0.3293337	0.2037408	0.1548782	0.1194382	0.1020661	0.0861058	0.0673233	0.0500496	0.1506525	0.0495573	0.2483998	0.2216954	0.1237033	0.1007442	0.0440999
run2	2.5015095	1.7087786	0.6953042	0.5643566	1.2392844	1.2122863	0.9923172	0.9502935	0.8250817	1.0508345	0.8561152	0.6601645	0.8205874	0.6248217	0.8071512	0.6057891	0.1941273	0.103359	0.5131719	0.4352687	0.6907049	0.5915138	0.5657876	0.5162512	0.2278701	0.1051558	0.8093994	0.6834019	0.4986194	0.6226825	0.607868	0.4439907	0.3584946	0.3905097	0.1106136	0.3541875	0.5666716	0.4918008	0.4139468	0.253037	0.204457	0.1378498	0.1927761	0.1438946	0.073976	0.0389072	0.0184767	0.783624	0.660719	0.5551066	0.4033752	0.628438	0.4317691	0.2131033	0.2051275	0.1886281	0.3288717	0.2023697	0.1534591	0.118465	0.1012163	0.0855022	0.0670067	0.0497929	0.1496346	0.049394	0.2483388	0.2217056	0.1235054	0.1007234	0.0439805
run3	2.4797098	1.661848	0.6909699	0.5618526	0.8287383	0.8120768	0.6687035	0.6914025	0.6169943	0.7710037	0.7129902	0.6101075	0.6952337	0.6096349	0.6881845	0.5511381	0.1934317	0.1027775	0.4831663	0.4205604	0.6762166	0.5885676	0.563972	0.5156847	0.2284846	0.1053757	0.7128799	0.6781348	0.4983999	0.6222067	0.6080466	0.4427462	0.3561185	0.3881547	0.1098262	0.3518772	0.5664869	0.4912531	0.4147649	0.2565334	0.2075449	0.1406735	0.1955917	0.1446441	0.0738734	0.0387326	0.018351	0.7033354	0.6600897	0.5555567	0.4049396	0.6292026	0.4328231	0.2140135	0.2062116	0.1895795	0.3302258	0.2046211	0.1559739	0.1204658	0.1030593	0.0870647	0.0681547	0.0507558	0.1513471	0.0500323	0.2490562	0.2221948	0.1238617	0.1008345	0.0440389
run4	2.4945778	1.6325464	0.6949404	0.5641437	0.8245234	0.8080745	0.6628972	0.6882987	0.6115867	0.766597	0.7089179	0.6080006	0.6916741	0.6083077	0.6848191	0.5499847	0.1924494	0.1021618	0.4832172	0.4200446	0.6730428	0.5868485	0.5623528	0.5144034	0.2300259	0.1063899	0.7105095	0.6764986	0.4977472	0.6214685	0.6069478	0.4408916	0.3546687	0.3868518	0.1092792	0.3498737	0.5650162	0.4891949	0.4102548	0.2501607	0.2022892	0.135854	0.1905679	0.1397821	0.0707432	0.0370419	0.0175328	0.7010651	0.6593466	0.5553843	0.4042758	0.6286126	0.4333156	0.2184903	0.2102318	0.1935055	0.3301988	0.2048576	0.1556385	0.1199205	0.1024947	0.0864286	0.0679317	0.05056	0.1513564	0.0498994	0.2496981	0.2228878	0.1239846	0.1009562	0.0441737
run5	2.4752549	1.5916652	0.6917361	0.5644358	0.8268042	0.810128	0.6639923	0.6880578	0.6105328	0.7693084	0.7114919	0.6089581	0.6939841	0.6086758	0.6870643	0.5496506	0.1931665	0.1028944	0.4820124	0.4178319	0.6752196	0.5873395	0.5627773	0.5146083	0.2301605	0.1065787	0.711871	0.6771054	0.4977263	0.6208693	0.6064218	0.4399572	0.352203	0.3852668	0.1096233	0.3486889	0.5648719	0.4895848	0.4120913	0.252638	0.203856	0.1373984	0.1921783	0.1421971	0.0725399	0.0382696	0.0181301	0.7023437	0.6594275	0.5537637	0.400254	0.6280843	0.4306965	0.2103499	0.202454	0.1860432	0.3275146	0.2028929	0.1541307	0.1187797	0.1016191	0.0856905	0.0671454	0.0499988	0.150274	0.0497072	0.2469804	0.2204068	0.1236404	0.1007695	0.0441402
run6	2.5059322	1.6155237	0.6956454	0.5656639	0.8270695	0.8102553	0.6616406	0.6887493	0.6133488	0.768871	0.7116675	0.6095546	0.6944807	0.6098299	0.6874555	0.5523003	0.1929664	0.1022475	0.4846377	0.4213904	0.6754772	0.5876075	0.5627632	0.5143479	0.2287723	0.1062968	0.711989	0.6773937	0.4979007	0.6214349	0.6066853	0.4405582	0.3525026	0.3857528	0.1085681	0.3492903	0.5652266	0.4893163	0.4116137	0.2517701	0.2035884	0.1379674	0.1918687	0.1411322	0.0720777	0.0379068	0.017961	0.7024393	0.6600643	0.5560779	0.4054072	0.6290937	0.4320906	0.2154307	0.2075343	0.1908921	0.3291093	0.2046104	0.1556462	0.1200346	0.102573	0.0865774	0.0676053	0.0501985	0.1512557	0.0496969	0.2483813	0.221695	0.123613	0.1007035	0.0439135
run7	2.4841808	1.6345891	0.6918886	0.5634571	0.8281112	0.8113713	0.6668637	0.6909955	0.6156061	0.7704074	0.712182	0.6085867	0.6945005	0.6092095	0.6873868	0.5513576	0.1937711	0.1028747	0.4856835	0.4230354	0.6755341	0.5873531	0.5630512	0.5148305	0.228366	0.104786	0.7130862	0.6776817	0.4979904	0.6210747	0.6065077	0.438755	0.3516002	0.3843394	0.1088919	0.3478141	0.5640734	0.4880676	0.410226	0.2489408	0.2001443	0.1353741	0.1887726	0.1405514	0.0721275	0.0379401	0.0180218	0.7034891	0.6599895	0.5552315	0.4029757	0.6287209	0.4321506	0.2140509	0.2061196	0.1895974	0.3288692	0.2040753	0.1549786	0.1193223	0.1020506	0.0860235	0.0675145	0.0502443	0.1507695	0.0499774	0.2485926	0.2218529	0.1238069	0.1008133	0.0441462
run8	2.4795807	1.6345279	0.6967016	0.5651277	0.8213255	0.8051584	0.6626741	0.6883357	0.6116706	0.7652044	0.7095247	0.6090595	0.6925287	0.6090043	0.6858252	0.5512958	0.1937188	0.1033737	0.4849329	0.4215078	0.674179	0.5870216	0.5624729	0.5140425	0.2313151	0.1073478	0.7096475	0.6758952	0.499249	0.6213351	0.6070203	0.4408968	0.3535527	0.3861496	0.109124	0.3495155	0.5656922	0.4912303	0.4128405	0.2524461	0.2045363	0.1382934	0.1927789	0.1421563	0.0722928	0.0380632	0.0180377	0.7003195	0.6591959	0.5561594	0.4041024	0.628912	0.4340765	0.2156464	0.2075949	0.1908642	0.3305817	0.204685	0.1555353	0.1198916	0.1025906	0.0865049	0.0678428	0.0504762	0.1509147	0.0496734	0.2497116	0.2225171	0.1238213	0.1008443	0.0440559
run9	2.4754105	1.6130676	0.6925805	0.5632602	0.822882	0.8061972	0.6638882	0.6882358	0.6128594	0.7657771	0.7086496	0.6087145	0.6914462	0.6078948	0.6844838	0.5505785	0.1934097	0.1026523	0.4834674	0.421262	0.6726802	0.5867105	0.5623309	0.5142579	0.2292901	0.1059197	0.7096535	0.6756319	0.4977835	0.6204281	0.6059624	0.4425171	0.3560761	0.3878415	0.1099369	0.3510991	0.5652011	0.4912372	0.4136322	0.2543362	0.2055749	0.1390295	0.1939882	0.1442094	0.0733436	0.0384682	0.0182266	0.700365	0.6582033	0.5544296	0.404533	0.6273101	0.4286905	0.2100614	0.2021496	0.1859225	0.3270007	0.2038042	0.155621	0.1203464	0.1029732	0.0869784	0.0680932	0.0506701	0.1509298	0.0498591	0.2477164	0.2211871	0.1236612	0.1007611	0.0441282
run10	2.4354713	1.6409657	0.700963	0.566851	0.8247051	0.8079656	0.6634259	0.6886618	0.6130463	0.7668522	0.7100905	0.6086718	0.6928863	0.6087631	0.686094	0.5508561	0.1923731	0.1016379	0.4830325	0.4201588	0.6743087	0.5870088	0.5624968	0.5139582	0.2246476	0.1037855	0.7102251	0.67595	0.4962971	0.6204863	0.6058003	0.4365862	0.3495897	0.3814361	0.1078417	0.3450439	0.5638439	0.4872887	0.4083686	0.2478808	0.1994273	0.1349669	0.188048	0.1408941	0.0719848	0.0379059	0.0179919	0.7008095	0.6592166	0.5547772	0.403105	0.6285356	0.4319783	0.2144487	0.2064439	0.1898208	0.3301399	0.2059419	0.1573164	0.1216247	0.1039595	0.0878142	0.0686927	0.0509911	0.1524084	0.0501568	0.2497969	0.2229093	0.1239872	0.1009265	0.0440959
