t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175
run1	2.0079604	0.4980291	0.3483592	0.3420553	0.3338939	0.2678795	0.1632245	0.1513628	0.1387529	0.130228	0.112687	0.1057788	0.0637568	0.0512997	0.0147554	0.0132844	0.0117646	0.0110463	0.0405645	0.0234702	0.0068627	0.0160656	0.0470481	0.0806885	0.131179	0.1170089	0.0948406	0.0377047	0.0296418	0.0180465	0.0077546	0.0130639	0.0318736	0.0844758	0.0688909	0.1552755	0.1470429	0.1269904	0.0697622	0.0432441	0.0132295	0.137709	0.3214357	0.3046869	0.1842984	0.2826881	0.2979377	0.3197613	0.1638192	0.1199084	0.0889097	0.1798969	0.2295311	0.2229311	0.1856569	0.1756594	0.1099006	0.0934059	0.0862882	0.0705378	0.0235295	0.0201253	0.0173239	0.0248559	0.03476	0.0046077	0.0248697	0.1705906	0.124536	0.0972056	0.0850859	0.0782793	0.0623714	0.0338687	0.072862	0.1128362	0.1849808	0.163774	0.1069865	0.0932012	0.0161676	0.0626039	0.0673631	0.0331331	0.1404996	0.8836924	0.1573853
run2	1.9953652	0.4982097	0.3476649	0.3412616	0.3332103	0.2664598	0.1621559	0.1503582	0.1377138	0.1293848	0.111796	0.1046632	0.0629245	0.0504778	0.0143277	0.0128749	0.0114312	0.0108004	0.0399638	0.0232858	0.0066623	0.0158419	0.0464406	0.0796166	0.1302515	0.1160503	0.0939928	0.0374099	0.0291943	0.017785	0.0076922	0.0128765	0.0316175	0.0834324	0.0679642	0.153594	0.1453996	0.1255035	0.0684762	0.0426263	0.0130772	0.1352534	0.320078	0.3031925	0.1834851	0.2811169	0.2960313	0.3182406	0.1635572	0.1189579	0.0875422	0.1786	0.2343899	0.2269652	0.1899543	0.1800621	0.1118234	0.0954596	0.0882399	0.0722973	0.0242692	0.0207041	0.0178862	0.0253963	0.0357127	0.0047045	0.0255607	0.1749152	0.127651	0.0991493	0.0867313	0.0798404	0.0638308	0.0346619	0.0738551	0.1156252	0.1896199	0.1680048	0.1091191	0.0950259	0.0165774	0.0641798	0.0694048	0.0346822	0.145238	0.8727488	0.156863
