Calib;node;Prior
MAMMALIA;89;ST(1.642,0.425,12.652,1714.565)
LAGOMORPHA;90;SN(0.474,0.008,0.293)
MONOTREMATA;174;B(0.1289,1.345)
TACHYGLOSSIDAE;175;B(0.0258,1.345)
