t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run1	2.4666647	1.6903819	0.68867	0.5599168	0.9768044	0.809945	0.6910086	0.946221	0.7064048	0.7838991	0.7141018	0.610451	0.6967532	0.6084981	0.688224	0.5495727	0.1936884	0.1024341	0.482042	0.419566	0.6752112	0.5866817	0.5623927	0.514489	0.2292373	0.1073938	0.7132473	0.7042466	0.6749181	0.4998177	0.6181355	0.6035534	0.4381695	0.3509334	0.3835639	0.1083901	0.3466631	0.5618845	0.4859709	0.4076041	0.2454279	0.1977918	0.1332574	0.1861984	0.1376263	0.0702399	0.0370354	0.0175651	0.6606966	0.5572901	0.4047157	0.6295721	0.4328185	0.2121832	0.2044163	0.1878846	0.3296674	0.2045134	0.1554928	0.120078	0.102471	0.0866217	0.0677176	0.0502589	0.1514243	0.0499361	0.2488434	0.2220676	0.1238063	0.100725	0.0439671
run2	2.4800396	1.6576875	0.6950446	0.5657115	0.8544352	0.7300498	0.6446066	0.8346839	0.6836533	0.7672798	0.7095059	0.6084063	0.6924335	0.6075971	0.6855254	0.5489873	0.1925545	0.1025056	0.481319	0.4181445	0.6737815	0.5862167	0.5617741	0.5138809	0.2263821	0.104426	0.7092943	0.7004231	0.6715357	0.4955312	0.6167536	0.6025959	0.4398886	0.3525459	0.3854143	0.1088226	0.3490427	0.5624341	0.4888968	0.4122293	0.2510478	0.2031139	0.137576	0.1914301	0.1413756	0.0722469	0.0379537	0.0180001	0.6601243	0.5550085	0.4033809	0.6292713	0.4304379	0.2127165	0.204769	0.1880609	0.3277584	0.2023411	0.1534976	0.1181687	0.1009056	0.0850811	0.0666038	0.0494435	0.1493449	0.0490656	0.2479179	0.2213903	0.1235438	0.1006488	0.0439686
run3	2.4300081	1.6508691	0.6917888	0.5627073	0.8573407	0.7298713	0.6441549	0.8376682	0.6835085	0.7691094	0.7107006	0.6091046	0.6932907	0.6088041	0.6863946	0.5491051	0.1929685	0.1022441	0.4801548	0.4166592	0.6745636	0.5874618	0.5627425	0.5143554	0.2282795	0.1061803	0.7103682	0.7015119	0.6726546	0.495937	0.6179562	0.6036825	0.4392172	0.3525602	0.3848139	0.1078421	0.348572	0.5626529	0.4890222	0.4130796	0.2531955	0.203924	0.1371474	0.1921891	0.1431211	0.0727924	0.0381584	0.0180773	0.6610029	0.5579639	0.4060686	0.6305213	0.4327248	0.2114914	0.2035722	0.1869137	0.3300586	0.2046058	0.154953	0.1192725	0.1019991	0.0860425	0.0672097	0.0500132	0.151039	0.0498559	0.2493433	0.222276	0.1238079	0.1007524	0.0440337
run4	2.499971	1.7169656	0.7023968	0.5665276	1.2114308	1.0487743	0.9040982	1.1812221	0.8525539	0.8899556	0.7820626	0.6201993	0.7561874	0.6162468	0.695128	0.551551	0.1937235	0.1031204	0.4833341	0.4194151	0.6815535	0.5889889	0.5638191	0.5147508	0.2285784	0.1059382	0.7124755	0.7033989	0.6740012	0.4964571	0.6178557	0.6036135	0.4395714	0.3534286	0.3857066	0.10928	0.3495453	0.5619233	0.4861421	0.4075448	0.2459991	0.1984188	0.1341679	0.1869342	0.1388079	0.0702574	0.0368781	0.0174658	0.6615851	0.5577214	0.4058524	0.6305972	0.4330714	0.2157146	0.2076662	0.1908581	0.3296452	0.2057216	0.1564353	0.1210025	0.1034169	0.0872582	0.0683167	0.0508485	0.1521561	0.0503359	0.2505533	0.2235655	0.1240057	0.1009117	0.0442085
run5	2.4598699	1.6443661	0.696093	0.565423	0.8562669	0.7301341	0.6452466	0.8363349	0.6850537	0.7686691	0.7119267	0.6104126	0.6946673	0.6103214	0.687677	0.5513623	0.1930589	0.1025486	0.4833617	0.4200104	0.6757688	0.5885263	0.5639765	0.5153638	0.2304704	0.1064339	0.7103984	0.701607	0.6727871	0.4969192	0.6187386	0.6044455	0.4404778	0.3532057	0.3858044	0.10785	0.3491225	0.5632338	0.4870498	0.4075058	0.243868	0.1963497	0.1326723	0.1850254	0.137733	0.0703323	0.0370007	0.0175463	0.6609922	0.5576722	0.4068109	0.6304968	0.4337308	0.2149182	0.2069193	0.1900515	0.3302849	0.2050317	0.1560664	0.1205073	0.1030176	0.0869441	0.0679153	0.0504608	0.1511773	0.0497349	0.2502549	0.2230819	0.1238538	0.1007943	0.0439802
run6	2.4941741	1.6595379	0.6982774	0.5671506	0.855824	0.7287366	0.6425544	0.836	0.6841579	0.7692094	0.7114842	0.6094939	0.6941594	0.609373	0.6872552	0.5486624	0.1910139	0.1010106	0.480096	0.4162989	0.6751991	0.587253	0.5627179	0.5144662	0.230618	0.1066082	0.7108754	0.7019829	0.6729262	0.4971066	0.6172489	0.6028732	0.4368321	0.3510284	0.3821521	0.1083122	0.3459858	0.560887	0.4851976	0.4056447	0.2436903	0.1964452	0.1317328	0.1851763	0.1356439	0.0692172	0.0362171	0.0172072	0.6607706	0.5570858	0.4064679	0.6300902	0.4319874	0.2127232	0.2047492	0.1884128	0.3295647	0.2045555	0.1554441	0.1198541	0.1025447	0.08647	0.0677976	0.0504251	0.1513226	0.0499056	0.2495501	0.2224632	0.1238247	0.1008321	0.0439822
run7	2.4832584	1.6588784	0.69629	0.5658932	0.8548652	0.728359	0.6428557	0.8350638	0.6836881	0.7682748	0.7108865	0.6090875	0.6934906	0.6094209	0.6865536	0.5517488	0.192252	0.1021678	0.4835734	0.4192193	0.6746584	0.5874112	0.5627228	0.5146627	0.2275217	0.1044169	0.7101329	0.7013569	0.6727091	0.4959562	0.6188487	0.6049025	0.4404943	0.3541072	0.3857709	0.1081966	0.3495805	0.5643645	0.4900636	0.4128704	0.2522195	0.2032999	0.1375308	0.1915528	0.142652	0.0733605	0.038547	0.0183364	0.6609552	0.5574947	0.407736	0.6301904	0.4340198	0.2143712	0.2064476	0.1898456	0.3302462	0.2031376	0.1539677	0.1184088	0.1011515	0.0852655	0.0667997	0.0497131	0.1499517	0.049474	0.2496109	0.2227426	0.1239376	0.1008105	0.0439867
run8	2.4892694	1.6387805	0.6930973	0.5647786	0.8537307	0.7303787	0.6463044	0.8342382	0.6825972	0.7675938	0.7100879	0.6091719	0.6926943	0.6091154	0.6857127	0.5491022	0.1931642	0.102937	0.4808496	0.4174471	0.6739419	0.5871642	0.5628874	0.5147235	0.2317282	0.1079374	0.7101805	0.7013959	0.6727452	0.4966727	0.6194591	0.6053778	0.4394741	0.3522196	0.3843961	0.1086041	0.3480388	0.564166	0.4891608	0.4111614	0.2499353	0.2015028	0.1361664	0.1899409	0.1417579	0.0723179	0.0380726	0.0181074	0.6609271	0.5556896	0.4023083	0.6304892	0.4325159	0.2118676	0.2038904	0.1875569	0.3292487	0.2037671	0.1549273	0.1196004	0.1022247	0.086284	0.0674846	0.0500713	0.1510154	0.0498537	0.2489044	0.2220289	0.1236804	0.1007653	0.0439646
run9	2.4857501	1.6406668	0.6941566	0.565275	0.8526094	0.7289329	0.6435518	0.8337036	0.6829769	0.7677137	0.710926	0.6098145	0.6938784	0.6098918	0.6869862	0.5520147	0.1927184	0.1023501	0.4842761	0.421106	0.6750691	0.5873597	0.5629921	0.5145464	0.2298315	0.1060352	0.7093525	0.7004557	0.6717771	0.4963704	0.6173285	0.603169	0.4386158	0.3534682	0.3851314	0.1088008	0.3495998	0.5617184	0.4871483	0.4091158	0.2490627	0.2013191	0.1359488	0.1897941	0.1398475	0.071224	0.0373063	0.0177269	0.6602447	0.5561062	0.4025588	0.6298096	0.4310788	0.2135794	0.2057324	0.1889325	0.3274926	0.2029426	0.1539902	0.1185793	0.1013519	0.08555	0.0669826	0.049793	0.1499804	0.0491573	0.2472607	0.2206149	0.1234074	0.1006444	0.0438651
run10	2.4844383	1.6562999	0.6936266	0.5636028	0.85788	0.7327147	0.6490711	0.8382149	0.6853721	0.7703099	0.711439	0.6101028	0.6939797	0.6097663	0.6871004	0.5516041	0.1932184	0.1023826	0.4844372	0.4210473	0.675272	0.5874784	0.5627742	0.5142717	0.22825	0.1053767	0.7106771	0.7018891	0.6731061	0.4973488	0.6183683	0.6041335	0.4397467	0.3537279	0.3853163	0.1094009	0.3490619	0.5631065	0.4890788	0.4115398	0.2533227	0.2042675	0.1378329	0.1924183	0.1430417	0.0728434	0.0382339	0.0181567	0.6616104	0.5576658	0.4063049	0.6314297	0.4319429	0.2132904	0.2053964	0.1887303	0.328837	0.2035012	0.154926	0.1196409	0.1021659	0.0862115	0.0677264	0.0503271	0.1506694	0.0497154	0.2478037	0.2211091	0.1237638	0.1008392	0.044105
