Tree,Rank,Name,Action,Outside_taxa,Change_from ,Change_to,Force_monophyletic,Reference,Note,,,,,,,,
Euarchonta,Genus,Galago,No,N/A,N/A,N/A,No,Chatterjee et al. 2009,Similar arrangement observed by Chaterjee et al. 2009. ,,,,,,,,
Euarchonta,Genus,Tupaia,No,urogale_everetti,N/A,N/A,No,Roberts et al. 2011,Similar arrangement observed by Roberts et al. 2011.,,,,,,,,
Euarchonta,Genus,Cercocebus,No,N/A,N/A,N/A,No,Chatterjee et al. 2009,Similar arrangement observed by Chaterjee et al. 2009. ,,,,,,,,
Euarchonta,Species,Galagoides demidoff,No,galagoides_thomasi,N/A,N/A,No,Pozzi et al. 2015,Similar arrangement observed by Pozzi et al. 2015.,,,,,,,,
Euarchonta,Species,Alouatta seniculus,Yes,N/A,alouatta_seniculus_macconnelli,alouatta_macconnelli,No,Boubli et al. 2008 IUCN,Changed species name.,,,,,,,,
Euarchonta,Species,Presbytis melalophos,No,N/A,N/A,N/A,No,Meyer et al. 2011,Similar arrangement observed by Meyer et al. 2011. (New taxonomy ws proposed in this study),,,,,,,,
Euarchonta,Species,Cercopithecus pogonias,No,N/A,N/A,N/A,No,Guschanski et al. 2013,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Sapajus apella,Yes,N/A,sapajus_apella_macrocephalus,sapajus_macrocephalus,No,Rylands et al. 2015 IUCN,Changed species name.,,,,,,,,
Euarchonta,Species,Pongo pygmaeus,No,N/A,N/A,N/A,No,N/A,Leave as it is. I did not find much information about it.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis_moloneyi ,cercopithecus_mitis_moloneyi ,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis_labiatus,cercopithecus_mitis_labiatus,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis_erythrarchus,cercopithecus_mitis_erythrarchus,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis,cercopithecus_mitis,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis_monoides,cercopithecus_mitis_monoides,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis_albotorquatus,cercopithecus_mitis_albotorquatus,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus mitis,Yes,N/A,cercopithecus_albogularis_francescae,cercopithecus_mitis_francescae,No,Guschanski et al. 2013; Kingdon et al. 2008 IUCN,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
