mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.5	-0.1	4	12.2	5.9
433-ARTIODACTYLA	0	0.2	0	-10.1	-5.2
434-ARTIOFABULA	0	0.1	-0.1	-6.2	-3.2
435-CETRUMINANTIA	0.6	1.8	0.2	-40.6	-22.9
440-BOVIDAE	11.9	4.5	14.2	81.2	34.6
446-O.aries-C.hircus	11.2	9.1	11.3	28.4	13.3
