mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.5	-0.1	4.3	12.2	5.9
433-ARTIODACTYLA	0	0.2	0	-9.8	-5
434-ARTIOFABULA	0	0	-0.1	-6.7	-3.4
435-CETRUMINANTIA	0.6	1.8	0.1	-41.9	-23.8
440-BOVIDAE	-1.2	-4	-2	0.5	0.3
446-O.aries-C.hircus	1.1	-3.7	3	21.6	10.3
