mean	q-2.5%	q-97.5%	var	sd
432-MAMMALIA	-0.4	0	4.2	10.4	5.1
433-ARTIODACTYLA	0.1	0.2	0	-10.7	-5.5
434-ARTIOFABULA	0	0.1	-0.1	-7.3	-3.7
435-CETRUMINANTIA	0.6	1.9	0.2	-41.8	-23.7
440-BOVIDAE	-5	-8.3	-4.9	0.3	0.2
446-O.aries-C.hircus	0.2	-4.7	1.2	12.3	6
