xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded
t_n73	1.67488317047463	0.419599505270394	6.47684668364145	1705.34490811678	ST(1.67488317047463,0.419599505270394,6.47684668364145,1705.34490811678)	ST(1.675,0.42,6.477,1705.345)
t_n74	1.26155646187076	0.1661522206672	3.82092550603652	816.78963436617	ST(1.26155646187076,0.1661522206672,3.82092550603652,816.78963436617)	ST(1.262,0.166,3.821,816.79)
t_n75	0.449630967100784	0.130354376026281	5.44673869374254	355.410108889641	ST(0.449630967100784,0.130354376026281,5.44673869374254,355.410108889641)	ST(0.45,0.13,5.447,355.41)
t_n76	0.362654396271082	0.111530597322522	5.25550049821319	332.240248824577	ST(0.362654396271082,0.111530597322522,5.25550049821319,332.240248824577)	ST(0.363,0.112,5.256,332.24)
t_n77	0.789620342425768	0.012965930087304	0.861217897897325	3.39882325568954	ST(0.789620342425768,0.012965930087304,0.861217897897325,3.39882325568954)	ST(0.79,0.013,0.861,3.399)
t_n78	0.775579860087475	0.0120903529571944	0.843758129905459	3.36512094808115	ST(0.775579860087475,0.0120903529571944,0.843758129905459,3.36512094808115)	ST(0.776,0.012,0.844,3.365)
t_n79	0.623669110488894	0.0176925060774892	-0.0973875121867757	3.25149771514207	ST(0.623669110488894,0.0176925060774892,-0.0973875121867757,3.25149771514207)	ST(0.624,0.018,-0.097,3.251)
t_n80	0.648496218773007	0.0177817922281562	0.608308569548877	4.97304520411152	ST(0.648496218773007,0.0177817922281562,0.608308569548877,4.97304520411152)	ST(0.648,0.018,0.608,4.973)
t_n81	0.549892906677885	0.0261052017990679	1.26796612747401	5.6843946591042	ST(0.549892906677885,0.0261052017990679,1.26796612747401,5.6843946591042)	ST(0.55,0.026,1.268,5.684)
t_n82	0.742967557631172	0.00920301160337518	0.70837484532499	3.35027722573592	ST(0.742967557631172,0.00920301160337518,0.70837484532499,3.35027722573592)	ST(0.743,0.009,0.708,3.35)
t_n83	0.693501255784193	0.0060267463910621	0.479769342881059	3.12152910211896	ST(0.693501255784193,0.0060267463910621,0.479769342881059,3.12152910211896)	ST(0.694,0.006,0.48,3.122)
t_n84	0.590764407513205	0.0138238199835515	-0.567238609004078	8.19434716487821	ST(0.590764407513205,0.0138238199835515,-0.567238609004078,8.19434716487821)	ST(0.591,0.014,-0.567,8.194)
t_n85	0.677498068193265	0.00546813445113131	0.426152466669259	3.10517120744474	ST(0.677498068193265,0.00546813445113131,0.426152466669259,3.10517120744474)	ST(0.677,0.005,0.426,3.105)
t_n86	0.594441757509497	0.014051420889488	-0.831552707557701	8.96522826646831	ST(0.594441757509497,0.014051420889488,-0.831552707557701,8.96522826646831)	ST(0.594,0.014,-0.832,8.965)
t_n87	0.67101925280748	0.00528329639765899	0.405261182650035	3.05891919709628	ST(0.67101925280748,0.00528329639765899,0.405261182650035,3.05891919709628)	ST(0.671,0.005,0.405,3.059)
t_n88	0.537233877435204	0.0251083285357918	-1.79237470341215	26.481057408331	ST(0.537233877435204,0.0251083285357918,-1.79237470341215,26.481057408331)	ST(0.537,0.025,-1.792,26.481)
t_n89	0.14869063544181	0.0213751515135147	0.412105167258087	702.067096003451	ST(0.14869063544181,0.0213751515135147,0.412105167258087,702.067096003451)	ST(0.149,0.021,0.412,702.067)
t_n90	0.0694627715010571	0.0157401421345805	1.24026844578252	278.337356568954	ST(0.0694627715010571,0.0157401421345805,1.24026844578252,278.337356568954)	ST(0.069,0.016,1.24,278.337)
t_n91	0.466700940965858	0.0300323989980842	-1.8006112288851	113.914727356194	ST(0.466700940965858,0.0300323989980842,-1.8006112288851,113.914727356194)	ST(0.467,0.03,-1.801,113.915)
t_n92	0.397098783171312	0.0302912165758353	-1.34883459993182	188.64407849278	ST(0.397098783171312,0.0302912165758353,-1.34883459993182,188.64407849278)	ST(0.397,0.03,-1.349,188.644)
t_n93	0.65970716285793	0.00510811824795116	0.393640431216455	3.07276021483063	ST(0.65970716285793,0.00510811824795116,0.393640431216455,3.07276021483063)	ST(0.66,0.005,0.394,3.073)
t_n94	0.574722174478263	0.00644800245563558	-0.131862684281609	6.11508668437439	ST(0.574722174478263,0.00644800245563558,-0.131862684281609,6.11508668437439)	ST(0.575,0.006,-0.132,6.115)
t_n95	0.552374366935264	0.00695291018570365	-0.536460541613021	6.33058081087616	ST(0.552374366935264,0.00695291018570365,-0.536460541613021,6.33058081087616)	ST(0.552,0.007,-0.536,6.331)
t_n96	0.50661225591344	0.0088913325352067	-1.34523485765059	6.20855323064384	ST(0.50661225591344,0.0088913325352067,-1.34523485765059,6.20855323064384)	ST(0.507,0.009,-1.345,6.209)
t_n97	0.161163460436567	0.0315708119390815	6.13944467721486	299.758125122402	ST(0.161163460436567,0.0315708119390815,6.13944467721486,299.758125122402)	ST(0.161,0.032,6.139,299.758)
t_n98	0.0683234589726897	0.0176200528594509	3.36577755225181	504.743381223869	ST(0.0683234589726897,0.0176200528594509,3.36577755225181,504.743381223869)	ST(0.068,0.018,3.366,504.743)
t_n99	0.693904333097283	0.00676832347567758	0.353523830104876	3.83770733886288	ST(0.693904333097283,0.00676832347567758,0.353523830104876,3.83770733886288)	ST(0.694,0.007,0.354,3.838)
t_n100	0.686115846236011	0.00650603672537482	0.28870875655134	3.92358428108332	ST(0.686115846236011,0.00650603672537482,0.28870875655134,3.92358428108332)	ST(0.686,0.007,0.289,3.924)
t_n101	0.659852208503758	0.0057973063254542	0.143863885794387	4.19346581698101	ST(0.659852208503758,0.0057973063254542,0.143863885794387,4.19346581698101)	ST(0.66,0.006,0.144,4.193)
t_n102	0.474204783114799	0.00773532365242509	0.298514447322949	4.8144457064162	ST(0.474204783114799,0.00773532365242509,0.298514447322949,4.8144457064162)	ST(0.474,0.008,0.299,4.814)
t_n103	0.606898266077451	0.00450054430134765	0.0202410543601507	4.29524175670309	ST(0.606898266077451,0.00450054430134765,0.0202410543601507,4.29524175670309)	ST(0.607,0.005,0.02,4.295)
t_n104	0.592366303340981	0.00439448668049471	0.016784122613553	4.03751956487438	ST(0.592366303340981,0.00439448668049471,0.016784122613553,4.03751956487438)	ST(0.592,0.004,0.017,4.038)
t_n105	0.41925654299464	0.0158961024829744	-0.790548316170137	26.2950614652207	ST(0.41925654299464,0.0158961024829744,-0.790548316170137,26.2950614652207)	ST(0.419,0.016,-0.791,26.295)
t_n106	0.32646426918662	0.0171555183371436	-0.560219812683331	18.5017715014335	ST(0.32646426918662,0.0171555183371436,-0.560219812683331,18.5017715014335)	ST(0.326,0.017,-0.56,18.502)
t_n107	0.361438366365986	0.0148626291596796	-0.520132581884327	18.1343427610624	ST(0.361438366365986,0.0148626291596796,-0.520132581884327,18.1343427610624)	ST(0.361,0.015,-0.52,18.134)
t_n108	0.0886560145869688	0.0090607951826694	0.220383470891448	39.1206058196215	ST(0.0886560145869688,0.0090607951826694,0.220383470891448,39.1206058196215)	ST(0.089,0.009,0.22,39.121)
t_n109	0.323610885193348	0.014875589322589	-0.446478273287821	18.9050385673617	ST(0.323610885193348,0.014875589322589,-0.446478273287821,18.9050385673617)	ST(0.324,0.015,-0.446,18.905)
t_n110	0.550466737754415	0.00648255308615946	-0.368411097886343	6.47517845450487	ST(0.550466737754415,0.00648255308615946,-0.368411097886343,6.47517845450487)	ST(0.55,0.006,-0.368,6.475)
t_n111	0.473553279344742	0.0176400092471907	-1.36608196360856	18.1695155414249	ST(0.473553279344742,0.0176400092471907,-1.36608196360856,18.1695155414249)	ST(0.474,0.018,-1.366,18.17)
t_n112	0.382973348410601	0.0219195242662402	-0.738380605204884	101.527324288025	ST(0.382973348410601,0.0219195242662402,-0.738380605204884,101.527324288025)	ST(0.383,0.022,-0.738,101.527)
t_n113	0.174871883788624	0.0353180422834439	3.61425429492353	454.174741890007	ST(0.174871883788624,0.0353180422834439,3.61425429492353,454.174741890007)	ST(0.175,0.035,3.614,454.175)
t_n114	0.137066284083984	0.0303421865983793	3.94441522351662	296.649067183404	ST(0.137066284083984,0.0303421865983793,3.94441522351662,296.649067183404)	ST(0.137,0.03,3.944,296.649)
t_n115	0.0885599252175945	0.0215700219420918	4.00100947330743	73.4843661573583	ST(0.0885599252175945,0.0215700219420918,4.00100947330743,73.4843661573583)	ST(0.089,0.022,4.001,73.484)
t_n116	0.128457361445278	0.0289324578129777	3.99281694485745	314.201935861674	ST(0.128457361445278,0.0289324578129777,3.99281694485745,314.201935861674)	ST(0.128,0.029,3.993,314.202)
t_n117	0.0892931875009551	0.0239466248435449	4.06032470130612	338.697403018	ST(0.0892931875009551,0.0239466248435449,4.06032470130612,338.697403018)	ST(0.089,0.024,4.06,338.697)
t_n118	0.0433670739828806	0.0129211716858117	3.76930995051618	361.056176436132	ST(0.0433670739828806,0.0129211716858117,3.76930995051618,361.056176436132)	ST(0.043,0.013,3.769,361.056)
t_n119	0.0222805613779887	0.00687158967920112	3.59786333838202	87.1892869230737	ST(0.0222805613779887,0.00687158967920112,3.59786333838202,87.1892869230737)	ST(0.022,0.007,3.598,87.189)
t_n120	0.0104012958957203	0.00334154757383041	3.62158739791688	155.007505005598	ST(0.0104012958957203,0.00334154757383041,3.62158739791688,155.007505005598)	ST(0.01,0.003,3.622,155.008)
t_n121	0.654538073538785	0.010528488833026	-1.45220769014505	145.47233906013	ST(0.654538073538785,0.010528488833026,-1.45220769014505,145.47233906013)	ST(0.655,0.011,-1.452,145.472)
t_n122	0.548055113520312	0.027193926828786	-2.63424502136083	244.063656181312	ST(0.548055113520312,0.027193926828786,-2.63424502136083,244.063656181312)	ST(0.548,0.027,-2.634,244.064)
t_n123	0.369558947470118	0.0335120152942153	-0.905359290704322	110.138187378995	ST(0.369558947470118,0.0335120152942153,-0.905359290704322,110.138187378995)	ST(0.37,0.034,-0.905,110.138)
t_n124	0.622807767850493	0.0123710564157894	-1.5847539413867	263.848056052606	ST(0.622807767850493,0.0123710564157894,-1.5847539413867,263.848056052606)	ST(0.623,0.012,-1.585,263.848)
t_n125	0.414000768102193	0.0201492880995661	-1.05528190384625	88.0606638059786	ST(0.414000768102193,0.0201492880995661,-1.05528190384625,88.0606638059786)	ST(0.414,0.02,-1.055,88.061)
t_n126	0.199529699172205	0.0240096805798045	-1.6614399074515	13.0770335439667	ST(0.199529699172205,0.0240096805798045,-1.6614399074515,13.0770335439667)	ST(0.2,0.024,-1.661,13.077)
t_n127	0.191762045703791	0.0232294421782232	-1.630035595001	13.0662278288449	ST(0.191762045703791,0.0232294421782232,-1.630035595001,13.0662278288449)	ST(0.192,0.023,-1.63,13.066)
t_n128	0.175406522379864	0.0215599735474191	-1.54128930676457	13.3537808534033	ST(0.175406522379864,0.0215599735474191,-1.54128930676457,13.3537808534033)	ST(0.175,0.022,-1.541,13.354)
t_n129	0.314017546148981	0.0180060027622572	-1.17782536237167	198.993890933662	ST(0.314017546148981,0.0180060027622572,-1.17782536237167,198.993890933662)	ST(0.314,0.018,-1.178,198.994)
t_n130	0.184664046799203	0.0118658203029164	-0.25397220791241	149.744038894101	ST(0.184664046799203,0.0118658203029164,-0.25397220791241,149.744038894101)	ST(0.185,0.012,-0.254,149.744)
t_n131	0.133837398715583	0.0102589637780508	0.379612508195605	198.990447522717	ST(0.133837398715583,0.0102589637780508,0.379612508195605,198.990447522717)	ST(0.134,0.01,0.38,198.99)
t_n132	0.104425547301549	0.00815639602223367	-0.0246225720974463	146.887127839746	ST(0.104425547301549,0.00815639602223367,-0.0246225720974463,146.887127839746)	ST(0.104,0.008,-0.025,146.887)
t_n133	0.0846522428230099	0.00824242563448261	0.771654990980774	140.511531301724	ST(0.0846522428230099,0.00824242563448261,0.771654990980774,140.511531301724)	ST(0.085,0.008,0.772,140.512)
t_n134	0.0704876996499358	0.00741661638501065	0.881228984348475	316.408800306207	ST(0.0704876996499358,0.00741661638501065,0.881228984348475,316.408800306207)	ST(0.07,0.007,0.881,316.409)
t_n135	0.0536232227586853	0.00645712672896136	1.09516188558239	132.869739174735	ST(0.0536232227586853,0.00645712672896136,1.09516188558239,132.869739174735)	ST(0.054,0.006,1.095,132.87)
t_n136	0.0390939032932983	0.00517966234132707	1.23773617449262	166.424532378675	ST(0.0390939032932983,0.00517966234132707,1.23773617449262,166.424532378675)	ST(0.039,0.005,1.238,166.425)
t_n137	0.126734312705785	0.0111628816923917	0.754633061466845	242.562439246073	ST(0.126734312705785,0.0111628816923917,0.754633061466845,242.562439246073)	ST(0.127,0.011,0.755,242.562)
t_n138	0.0364537205781439	0.00610219479704883	1.55197108589401	125.296692644502	ST(0.0364537205781439,0.00610219479704883,1.55197108589401,125.296692644502)	ST(0.036,0.006,1.552,125.297)
t_n139	0.23611913906026	0.0155810297733397	-1.24369835083566	65.2818599005157	ST(0.23611913906026,0.0155810297733397,-1.24369835083566,65.2818599005157)	ST(0.236,0.016,-1.244,65.282)
t_n140	0.210193000722832	0.0142064900945029	-1.24290416118268	33.5051079511493	ST(0.210193000722832,0.0142064900945029,-1.24290416118268,33.5051079511493)	ST(0.21,0.014,-1.243,33.505)
t_n141	0.122521522197535	0.0115576728021939	-4.93438216000861	262.433193088183	ST(0.122521522197535,0.0115576728021939,-4.93438216000861,262.433193088183)	ST(0.123,0.012,-4.934,262.433)
t_n142	0.100543689969611	0.0098843801788889	-7.35108859823554	161.004244957139	ST(0.100543689969611,0.0098843801788889,-7.35108859823554,161.004244957139)	ST(0.101,0.01,-7.351,161.004)
t_n143	0.0407425563489528	0.00435808000239127	-1.33934366504661	248.399992571926	ST(0.0407425563489528,0.00435808000239127,-1.33934366504661,248.399992571926)	ST(0.041,0.004,-1.339,248.4)
