Mean_time	Mean_qlow	Mean_qup	Priors
t_n73_Mammalia	202.336	164.88	250.79	B(1.641,2.522)
t_n74_Theria	141.834	123.28	166.21	B(1.2156,1.694)
t_n75_Marsupialia	58.713	44.67	70.4	B(0.4807,1.272)
t_n76_Eometatheria	47.997	35.86	56.73	B(0.2304,0.56)
t_n77_Placentalia	80.284	77.62	83.32	B(0.6166,1.625)
t_n78_Atlantogenata	78.777	76.27	81.62	NA
t_n79_Xenarthra	62.163	55.86	67.09	B(0.4807,1.625)
t_n80_Afrotheria	65.66	62.15	69.34	B(0.56,1.625)
t_n81_Paenungulata	56.587	52.53	61.62	B(0.56,1.625)
t_n82_Boreoeutheria	75.133	73.18	77.44	NA
t_n83_Laurasiatheria	69.814	68.29	71.75	NA
t_n84_Lipotyphla	58.498	55.26	61.32	B(0.6166,1.625)
t_n85_Scrotifera	68.152	66.69	70.02	NA
t_n86_Chiroptera	58.702	55.56	61.36	B(0.4807,0.6609)
t_n87_Fereungulata	67.484	66.05	69.33	NA
t_n88_Carnivora	52.361	48.24	55.66	B(0.3771,0.6609)
t_n89_Felidae	15.74	11.93	19.41	NA
t_n90_Pantherinae	8.051	5.82	10.32	NA
t_n91_Caniformia	45	40.36	48.97	B(0.3771,0.6609)
t_n92_Arctoidea	38.168	33.31	42.63	NA
t_n93_Euungulata	66.334	64.93	68.16	B(0.507,0.6609)
t_n94_Artiodactyla	57.526	55.89	59.21	B(0.507,0.6609)
t_n95_Artiofabula	55.074	53.36	56.67	NA
t_n96_Cetruminantia	50.172	48.2	51.74	B(0.507,0.6609)
t_n97_Bovidae	18.726	15.91	23.07	B(0.1599,0.2729)
t_n98_O.aries-C.hircus	8.228	6.42	10.69	NA
t_n99_Euarchontoglires	69.812	68.33	71.37	B(0.6166,1.625)
t_n100_Tupaia-Glires	68.982	67.55	70.46	NA
t_n101_Glires	66.238	64.92	67.51	B(0.56,1.625)
t_n102_Lagomorpha	48.145	46.16	50.16	B(0.4807,0.6609)
t_n103_Rodentia	60.779	59.55	61.96	B(0.56,0.6609)
t_n104_Nonsquirrel_rodents	59.297	58.05	60.52	B(0.4807,0.5924)
t_n105_Caviomorpha-Phiomorpha	41.182	38.36	44.02	NA
t_n106_Phiomorpha	32.035	28.63	35.4	NA
t_n107_Caviomorpha	35.649	32.79	38.58	NA
t_n108_C.porcellus-C.aperea	9.021	7.27	10.84	NA
t_n109_C.lanigera-O.degus	31.937	29.04	34.94	NA
t_n110_D.ordii-Myomorpha	54.785	53.2	56.35	NA
t_n111_Dipodidae-Muroidea	45.795	42.64	48.64	B(0.4103,0.5924)
t_n112_N.galili-Muridae	36.739	32.78	40.65	NA
t_n113_Muridae	19.689	16.08	24.52	NA
t_n114_Cricetidae	15.625	12.61	19.76	NA
t_n115_M.auratus-C.griseus	10.238	8.15	13.28	NA
t_n116_P.maniculatus-M.ochrogaster	14.679	11.81	18.62	NA
t_n117_Murinae	10.466	8.18	13.75	B(0.0725,0.1599)
t_n118_M.pahari-rest	5.168	3.94	7.01	NA
t_n119_M.caroli-rest	2.673	2.01	3.68	NA
t_n120_M.spretus-M.musculus	1.257	0.94	1.75	NA
t_n121_Primates	64.957	63.41	66.2	B(0.56,0.6609)
t_n122_Strepsirrhini	53.223	49.27	55.87	B(0.339,0.6609)
t_n123_Propithecus-Microcebus	35.611	29.93	40.65	NA
t_n124_Haplorrhini	61.657	59.81	63.17	NA
t_n125_Anthropoidea	40.185	36.62	43.18	B(0.339,0.6609)
t_n126_Aotidae-Callitrichidae	18.288	14.43	21.38	NA
t_n127_A.nancymaae-C.jacchus	17.574	13.84	20.59	NA
t_n128_Cebidae	16.079	12.59	18.92	NA
t_n129_Catarrhini	30.226	27.13	32.84	B(0.2444,0.339)
t_n130_Cercopithecoidea	18.154	15.85	20.37	NA
t_n131_Cercopithecinae	13.611	11.72	15.46	B(0.0533,0.339)
t_n132_Papionini	10.377	8.84	11.91	B(0.0533,0.339)
t_n133_Papio-Mandrillus	8.827	7.47	10.18	NA
t_n134_C.atys-M.leucophaeus	7.405	6.24	8.6	NA
t_n135_M.nemestrina-M.fascicularis	5.715	4.76	6.74	NA
t_n136_M.fascicularis-M.mulatta	4.21	3.47	5.02	NA
t_n137_Colobinae	13.151	11.3	15.08	NA
t_n138_R.roxellana-R.bieti	4.038	3.22	4.98	NA
t_n139_Hominoidea	22.553	19.92	24.78	NA
t_n140_Hominidae	20.042	17.61	22.12	B(0.1165,0.339)
t_n141_Homininae	11.307	9.65	12.37	B(0.0533,0.339)
t_n142_Hominini	9.237	7.84	10.08	B(0.065,0.1)
t_n143_P.paniscus-P.troglodites	3.78	3.09	4.4	NA
