Calib;node;Prior
MAMMALIA;257;ST(1.642,0.425,12.652,1714.565)
CHIROPTERA;258;ST(0.596,0.016,-1.239,13.572)
Hipposideridae-Rhinolophidae;387;B(0.38,0.56)
Craseonycteridae-Megadermatidae;502;B(0.339,0.478)
Monotremata;510;B(0.1289,1.345)
Tachyglossidae;511;B(0.0258,1.345)
