t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run1	1.6795933	0.6067356	0.4068158	0.3185989	0.2853571	0.2294665	0.2075432	0.0958264	0.0735632	0.0123919	0.1390592	0.1665576	0.0707598	0.0597742	0.0497354	0.1144837	0.042208	0.0395667	0.0330091	0.0065662	0.0001323	0.5207442	0.2430527	0.1597064	0.069515	0.0000984000000000001	0.0683853	0.3336036	0.1116639	0.0115443	0.4460708	0.0912191
run2	1.6825366	0.6073187	0.4067088	0.318638	0.2859763	0.2296853	0.2075259	0.095989	0.0736023	0.0123902	0.1386485	0.1668624	0.0707366	0.0596536	0.0498642	0.1133878	0.0418067	0.0391772	0.0326356	0.006458	0.0001278	0.5208163	0.2433618	0.1600499	0.0697688	0.0001008	0.0682095	0.3327668	0.111581	0.0115287	0.4464477	0.0913364
run3	1.6863709	0.6061434	0.4070312	0.3186459	0.2854901	0.2295919	0.2074594	0.0957538	0.0735504	0.0123505	0.1387871	0.1658678	0.0706137	0.0597155	0.0498488	0.1144235	0.0422046	0.0395291	0.0329581	0.0065163	0.0001322	0.5207045	0.2441118	0.1599921	0.0694838	0.0000981000000000001	0.0683361	0.3329769	0.1122257	0.0114878	0.4490469	0.0912618
run4	1.6853801	0.6067682	0.407815	0.3191914	0.2861212	0.2299825	0.2073726	0.0958672	0.073396	0.0124201	0.1394336	0.1661966	0.0711474	0.0599826	0.0499534	0.1147629	0.0424271	0.0397669	0.0330468	0.0065858	0.0001326	0.5208928	0.2446569	0.1610466	0.0702065	0.0001057	0.0687042	0.3337246	0.112001	0.0115455	0.4465879	0.0914524
run5	1.6935833	0.6070646	0.4060478	0.3185104	0.285294	0.229544	0.2071451	0.0958146	0.0735232	0.0123802	0.138722	0.1659907	0.0707232	0.0600242	0.0500097	0.1132688	0.0419548	0.0392901	0.0325899	0.0064846	0.0001324	0.5204922	0.2432524	0.1596071	0.0697332	0.0000939	0.0680398	0.3322524	0.1115301	0.0114588	0.4522905	0.0909448
run6	1.6856864	0.606873	0.4063914	0.3192944	0.2859889	0.2298722	0.2077434	0.0957679	0.0737365	0.0124114	0.1391427	0.1660984	0.0707821	0.0598829	0.0497908	0.1129102	0.0418163	0.0392072	0.0326911	0.0064815	0.0001288	0.5195933	0.2428422	0.1593007	0.0696089	0.0001043	0.0682787	0.3315461	0.1119092	0.0115411	0.4443286	0.0907747
run7	1.6840582	0.6071496	0.407613	0.3200012	0.2861828	0.229851	0.2077433	0.0958473	0.0734882	0.0123674	0.1392998	0.1660053	0.0710828	0.0600555	0.0502126	0.1144356	0.0422751	0.0395852	0.0329383	0.0065278	0.0001329	0.5205102	0.2435343	0.159661	0.0694156	0.0000955000000000003	0.0683499	0.3331606	0.1117578	0.0115924	0.4490445	0.091542
run8	1.6859585	0.6061589	0.4069809	0.3185528	0.285039	0.2293258	0.2071087	0.0954829	0.0732525	0.0122874	0.1386205	0.1655268	0.0704415	0.0597435	0.0498272	0.1134491	0.0418278	0.039193	0.0327001	0.0064803	0.0001305	0.5201713	0.2436197	0.1598571	0.0699794	0.0001051	0.0684414	0.3319979	0.1118736	0.0114526	0.4517948	0.0921062
run9	1.6869316	0.6068555	0.4066229	0.3191827	0.2858784	0.2300072	0.2076952	0.0957999	0.073462	0.012368	0.1391122	0.1665567	0.0707752	0.0599161	0.0499838	0.1128012	0.0418256	0.0391872	0.032591	0.0064577	0.0001306	0.5207334	0.2442884	0.1600497	0.0697186	0.000102	0.068652	0.3322708	0.111694	0.0115749	0.447072	0.091704
run10	1.6807698	0.6072364	0.4070236	0.3189743	0.2856754	0.2298895	0.2075787	0.0960076	0.0734959	0.0122829	0.1390633	0.1662797	0.0709555	0.0597769	0.0498294	0.1143139	0.0424653	0.0397581	0.033045	0.0065678	0.0001324	0.5211108	0.2437806	0.1599564	0.0700342	0.0001059	0.0679773	0.3327651	0.1119949	0.0116134	0.4493133	0.0911161
run11	1.6836181	0.6068254	0.4068771	0.319354	0.2858898	0.2297642	0.2072345	0.0957111	0.0735379	0.0123415	0.139327	0.1657176	0.0710125	0.0599475	0.0500227	0.1122948	0.0412959	0.0386269	0.0322234	0.00645	0.0001301	0.5202548	0.2436405	0.1603931	0.0697576	0.0000985	0.0684754	0.3323824	0.111272	0.0114597	0.44478	0.0916157
run12	1.6906253	0.6062113	0.4069142	0.3191011	0.2858017	0.2296736	0.2077473	0.0960721	0.073825	0.0123296	0.1390716	0.1665829	0.0707581	0.0599786	0.0500041	0.1144674	0.0424072	0.0397702	0.0331593	0.006581	0.000134	0.5200922	0.2430905	0.1591085	0.0692045	0.0000967000000000001	0.0681528	0.3315304	0.1116916	0.0115997	0.4507133	0.0916282
run13	1.6844708	0.6058971	0.4064905	0.318918	0.2857634	0.2298878	0.2075144	0.0959646	0.0737707	0.012293	0.1392862	0.1666965	0.0709298	0.0598139	0.0500319	0.113431	0.0418031	0.0390192	0.0325236	0.0064725	0.0001292	0.5197186	0.2430089	0.1594818	0.0694011	0.0001091	0.0683275	0.3322636	0.111765	0.0115893	0.4417917	0.0907276
run14	1.6864063	0.6068389	0.4072817	0.3193829	0.2857994	0.2297418	0.2072695	0.0959601	0.0736313	0.0122873	0.1390108	0.1662042	0.0704847	0.059507	0.0497058	0.1143764	0.0425109	0.0397497	0.0330356	0.0066229	0.0001324	0.5199838	0.2432483	0.1595184	0.0696524	0.0000996000000000002	0.0679257	0.3325462	0.1116458	0.0115279	0.4444012	0.0913117
run15	1.686617	0.6074035	0.407256	0.3191169	0.2862722	0.2301845	0.2074332	0.095871	0.0736433	0.0123954	0.1392746	0.1664638	0.0704086	0.0595432	0.0496162	0.1136949	0.0422797	0.0396078	0.0329005	0.0065896	0.0001306	0.5208639	0.2448786	0.1609326	0.0704418	0.0001001	0.0685201	0.3331559	0.1119859	0.0115237	0.4460146	0.091017
run16	1.687581	0.6071252	0.4074434	0.319154	0.2860057	0.2299913	0.207772	0.0958639	0.0734745	0.0123585	0.1393892	0.1662744	0.0707795	0.0599354	0.0499747	0.1138775	0.0420332	0.0393433	0.0327978	0.0065241	0.000131	0.5207699	0.2442297	0.1607398	0.0700718	0.0001105	0.0681582	0.3326868	0.1119927	0.0115791	0.4445665	0.0909758
run17	1.6844628	0.6066551	0.4076859	0.3197478	0.2859733	0.2300517	0.2074895	0.0955401	0.0734173	0.0123622	0.1394113	0.1667846	0.071021	0.0601089	0.0501073	0.1151227	0.0427296	0.0400424	0.0333197	0.0066844	0.0001354	0.5206402	0.2435052	0.1599206	0.0700391	0.000101	0.0686535	0.3329995	0.1123303	0.0116541	0.4528033	0.0925319
run18	1.6855186	0.6061015	0.4071645	0.3191184	0.2858096	0.2297578	0.2073806	0.0955018	0.073278	0.0122693	0.1392792	0.1662204	0.0711407	0.0602358	0.0501603	0.1137442	0.0421821	0.0395508	0.0328446	0.0065455	0.0001344	0.5201114	0.2434621	0.1605178	0.070376	0.0000960000000000001	0.0686105	0.3324674	0.1120288	0.0115549	0.4509431	0.0915893
run19	1.6871011	0.6066237	0.4074433	0.3193276	0.2865054	0.2300361	0.2077055	0.0958902	0.0736918	0.0123516	0.1390378	0.1663639	0.0710282	0.0600886	0.0500983	0.1130995	0.0417803	0.0391692	0.0326238	0.0064821	0.0001314	0.5202915	0.2436833	0.1594208	0.0697014	0.0001002	0.0685619	0.3327578	0.1123862	0.0115332	0.4487955	0.0917327
run20	1.6793126	0.6066759	0.4071816	0.3189529	0.2860177	0.2300509	0.2076238	0.0956755	0.0733843	0.0122904	0.1392087	0.1661587	0.0706007	0.0595	0.0497032	0.1137422	0.041813	0.0391074	0.0325878	0.0064746	0.0001306	0.5202325	0.2431211	0.1596956	0.0695517	0.0000989000000000001	0.0679002	0.3322132	0.1114327	0.0115167	0.4439996	0.091062
run21	1.6866598	0.6073864	0.4079879	0.3200559	0.2863963	0.2301645	0.2078211	0.0962594	0.0736239	0.0123999	0.1394321	0.166144	0.071302	0.0601982	0.0500974	0.114045	0.0423837	0.0396563	0.0330021	0.0065384	0.0001325	0.520511	0.2424235	0.1588321	0.0690822	0.0000975000000000001	0.0684295	0.33292	0.1120921	0.0116021	0.4488783	0.0918051
run22	1.6821672	0.6060377	0.4072917	0.318596	0.2855333	0.2295651	0.207275	0.0956672	0.0735125	0.0123323	0.1390423	0.1662025	0.0707051	0.0596166	0.0496615	0.1135995	0.0420844	0.0394391	0.0327358	0.0064986	0.0001324	0.5203116	0.2432597	0.1592847	0.0693968	0.0001017	0.0681185	0.3319923	0.1115269	0.0116023	0.4414583	0.09091
run23	1.6855952	0.6069878	0.407544	0.3190522	0.2862117	0.2297643	0.2074695	0.0961126	0.0737786	0.0124277	0.1391886	0.1668262	0.0707879	0.0598649	0.049902	0.1134508	0.042116	0.0393504	0.0328591	0.0065147	0.0001315	0.5212155	0.2446502	0.1605093	0.0697175	0.0001021	0.0684943	0.3333643	0.111715	0.0116028	0.4451805	0.0913183
run24	1.6881091	0.607117	0.4082146	0.3195133	0.2859272	0.2299206	0.2073017	0.0958506	0.0735706	0.0123971	0.1392009	0.1665337	0.0712198	0.0601502	0.0502613	0.1155165	0.0429351	0.0402105	0.0334533	0.0066458	0.0001345	0.5206382	0.2444175	0.1605402	0.0702308	0.0000995000000000002	0.0687225	0.3325793	0.1116526	0.011654	0.4479062	0.0910538
run25	1.6860417	0.6065552	0.4075282	0.3193951	0.2860764	0.22978	0.2073919	0.095875	0.0735407	0.0123822	0.1390666	0.165634	0.0711288	0.0602246	0.0501448	0.1143019	0.0422672	0.0395604	0.0330026	0.0065792	0.0001332	0.5208642	0.2431994	0.1600923	0.0696536	0.0001006	0.06854	0.3332968	0.1118592	0.0116147	0.4474721	0.0916535
run26	1.6835918	0.6065658	0.4068989	0.3193965	0.2860147	0.2300064	0.2076946	0.095625	0.0736189	0.0123198	0.1390413	0.1664335	0.0710182	0.0600756	0.0500919	0.1127101	0.0416314	0.0390204	0.0326326	0.0064964	0.0001322	0.5207506	0.243834	0.1598898	0.069806	0.0000901000000000001	0.0682211	0.3326127	0.1119594	0.0114656	0.44025	0.0906472
