t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run16	2.5178093	0.6666882	0.4679105	0.3686494	0.3364402	0.2803049	0.2574632	0.1392766	0.1111392	0.0235197	0.1880441	0.2227913	0.1139037	0.0976542	0.0832082	0.1767284	0.0728822	0.068124	0.0584562	0.0137228	0.0007068	0.5744618	0.3312902	0.2352792	0.1175029	0.0038072	0.1235514	0.4149841	0.1751464	0.0241774	1.142754	0.2597247
run17	2.5421551	0.6670246	0.4675572	0.3679866	0.3360094	0.2795115	0.2566528	0.1388482	0.110839	0.0234581	0.1876047	0.2222412	0.1133973	0.0971624	0.0828353	0.1774943	0.0734621	0.068655	0.058856	0.0139579	0.0007126	0.5742377	0.3308596	0.235197	0.1168675	0.0039143	0.1231947	0.4149662	0.1756536	0.0240642	1.1366057	0.2567186
run18	2.5243469	0.6666915	0.4679	0.36805	0.3366605	0.2798479	0.256956	0.1392882	0.1110006	0.0235254	0.1874927	0.222525	0.1131517	0.0972921	0.0829244	0.1773339	0.0733379	0.0684618	0.0587193	0.0138171	0.0007176	0.5743628	0.3312293	0.2353858	0.1177003	0.0038932	0.1239701	0.4143581	0.1746454	0.0240208	1.1405011	0.2583219
run19	2.5138801	0.6668878	0.4680289	0.3686859	0.3367742	0.2804608	0.2577072	0.1388029	0.1111875	0.0235377	0.1883743	0.2236776	0.1139654	0.0975716	0.0831397	0.178644	0.0743397	0.06973	0.0593153	0.0139045	0.0007188	0.5739315	0.3309184	0.2351853	0.1167241	0.0039274	0.1231063	0.4145668	0.1753503	0.0243771	1.1380609	0.2571725
run20	2.5454439	0.6668442	0.4683306	0.3684592	0.3368212	0.28051	0.2575343	0.1394315	0.1116642	0.0236201	0.1879448	0.2229694	0.1131987	0.0972865	0.0824977	0.1759147	0.0724629	0.0678676	0.0582244	0.013603	0.0006988	0.574367	0.3313979	0.2349026	0.1167726	0.0038389	0.1233059	0.4142353	0.1753052	0.0241279	1.1353099	0.2535415
run21	2.5344086	0.6676674	0.4672766	0.3679904	0.3360909	0.2799479	0.2567332	0.1390648	0.1110785	0.0235744	0.187549	0.2224778	0.1135149	0.0973916	0.0828689	0.1772315	0.0733637	0.0685835	0.0587689	0.0138707	0.0007158	0.5743207	0.3318713	0.235444	0.1176253	0.0038919	0.1240529	0.4149439	0.1761054	0.0242925	1.1413785	0.257608
run22	2.5409632	0.6670337	0.4683222	0.3681389	0.3362667	0.2801626	0.2567025	0.139019	0.1110422	0.0235195	0.1877245	0.2227139	0.1134512	0.09725	0.0828633	0.1776051	0.0742719	0.0693966	0.0593	0.0139832	0.000719	0.5743633	0.330851	0.2352253	0.1175962	0.0039181	0.1235778	0.41476	0.1752585	0.0241338	1.1380368	0.2567343
run23	2.5251867	0.6673438	0.4674603	0.3675625	0.3356112	0.2798191	0.2565569	0.1388452	0.1108361	0.0236147	0.1874381	0.2221456	0.1130537	0.0970545	0.0825897	0.1781531	0.0739699	0.0691494	0.0591903	0.0139102	0.0007109	0.5742526	0.331984	0.2357071	0.1171641	0.0038535	0.1235667	0.4147824	0.1757138	0.0241756	1.1358689	0.2561368
run24	2.5426798	0.6679706	0.4688622	0.369664	0.3378238	0.2810534	0.2579537	0.1395863	0.111569	0.0236812	0.1882541	0.2232075	0.1136176	0.0974458	0.0828813	0.1785595	0.0739771	0.069145	0.0595716	0.0139477	0.000723	0.5741349	0.3318976	0.2360014	0.1173341	0.0038874	0.1237879	0.4150833	0.1756039	0.024307	1.1464591	0.2584287
run25	2.5288145	0.6670329	0.4680136	0.3679565	0.3361128	0.2800235	0.2566191	0.1386364	0.1106368	0.0234487	0.1874166	0.2223275	0.1135479	0.0976508	0.0830384	0.1782749	0.0744497	0.0696281	0.0596621	0.0139948	0.000721	0.5740498	0.3321842	0.2360377	0.1177627	0.0039011	0.1234939	0.4145169	0.1756069	0.0240652	1.1600277	0.2621039
run26	2.5232535	0.6666145	0.4671686	0.3675302	0.3356156	0.2798478	0.2568969	0.1390613	0.1108902	0.0235397	0.1878896	0.2218708	0.1126651	0.0969704	0.0825613	0.1770227	0.0733798	0.0684706	0.0584612	0.0136772	0.0007083	0.5739457	0.3305597	0.2352537	0.1173842	0.0038052	0.1233591	0.4140344	0.1757153	0.0240909	1.140999	0.2583934
run27	2.537494	0.6672624	0.4676011	0.3685746	0.3364809	0.2804467	0.2575822	0.1395816	0.1112875	0.0236508	0.1878362	0.2228464	0.1131102	0.0971526	0.0827803	0.1764154	0.073319	0.0684556	0.0587833	0.0138204	0.0007075	0.5744989	0.3315878	0.2360255	0.1175915	0.0039068	0.1232408	0.4147023	0.1764811	0.0241803	1.135675	0.2553961
run28	2.5395882	0.6672561	0.4674434	0.3683246	0.3363674	0.2801554	0.2573391	0.1391783	0.1111515	0.0236017	0.1877573	0.2224743	0.1132888	0.0972505	0.0826433	0.1772005	0.0732784	0.068517	0.0585867	0.0137506	0.0007083	0.5740726	0.331054	0.2350425	0.1172604	0.0039133	0.1230503	0.4148998	0.1752823	0.0244106	1.1575057	0.2583588
run29	2.5391059	0.6670374	0.4684064	0.3685409	0.3370144	0.2803013	0.2573454	0.1393604	0.1117025	0.0235882	0.1881753	0.2225078	0.1138791	0.0974759	0.0829091	0.1769978	0.0733892	0.0687463	0.058807	0.013725	0.0007066	0.5740324	0.3310936	0.2348692	0.1172042	0.003896	0.1236376	0.4140916	0.1751273	0.024166	1.1311032	0.2555231
run30	2.5282845	0.6670298	0.4677677	0.3682105	0.3362091	0.2798989	0.2567696	0.1390044	0.1108969	0.0234632	0.1874512	0.2228041	0.1132932	0.0973564	0.0827961	0.1775679	0.073832	0.0689311	0.0589851	0.0138876	0.0007245	0.5747662	0.3313	0.2354855	0.1172918	0.0039162	0.1232693	0.414944	0.1756616	0.0242249	1.1497957	0.2581942
run31	2.559051	0.6671455	0.4671091	0.3672776	0.3356518	0.2796485	0.2567394	0.1390675	0.1109637	0.0235381	0.1878017	0.222384	0.1128791	0.0968488	0.0822297	0.1779419	0.0733478	0.068756	0.0588489	0.0138758	0.0007138	0.5744355	0.3305132	0.234867	0.1170431	0.0038772	0.1231095	0.4151814	0.1755696	0.0240828	1.1528936	0.2591086
run32	2.5337192	0.6669971	0.4670334	0.3676255	0.3357597	0.2793331	0.2565107	0.1383799	0.1104109	0.0234468	0.1876308	0.2224062	0.1127933	0.096791	0.0822432	0.1775674	0.0737208	0.0691459	0.0589683	0.0138642	0.000718	0.5743754	0.3297868	0.2338886	0.1165809	0.0038333	0.1230026	0.4140992	0.1750453	0.0239525	1.1467162	0.2597808
