Mean_time	Mean_qlow	Mean_qup	Priors
t_n789	1.67	0.77	2.92	0
t_n790	0.34	0.06	0.84	0
t_n791	5.724	4.2	7.69	0
t_n792	3.395	2.17	4.89	0
t_n793	1.383	0.59	2.51	0
t_n794	2.336	1.3	3.66	0
t_n795	3.747	2.49	5.24	0
t_n796	11.11	8.79	13.45	0
t_n797	18.065	15.43	20.62	0
t_n798	11.047	7.81	14.14	0
t_n799	9.684	6.41	12.9	0
t_n800	5.889	3.65	8.89	0
t_n801	3.402	1.8	5.41	0
t_n802	2.066	0.92	3.7	0
t_n803	9.006	6.6	11.51	0
t_n804	3.466	1.53	5.62	0
t_n805	20.954	18.85	22.95	0
t_n806	14.018	12.17	15.91	0
t_n807	13.287	11.56	15.06	0
t_n808	13.1	11.39	14.85	0
t_n809	11.822	10.22	13.42	0
t_n810	10.286	8.79	11.83	0
t_n811	9.727	8.25	11.26	0
t_n812	8.305	7.02	9.65	0
t_n813	7.278	6.15	8.47	0
t_n814	6.656	5.61	7.76	0
t_n815	6.094	5.13	7.13	0
t_n816	5.433	4.49	6.46	0
t_n817	4.71	3.78	5.7	0
t_n818	4.214	3.3	5.18	0
t_n819	3.859	2.95	4.84	0
t_n820	3.601	2.68	4.6	0
t_n821	1.356	0.69	2.26	0
t_n822	0.771	0.29	1.48	0
t_n823	0.358	0.07	0.82	0
t_n824	2.768	1.81	3.81	0
t_n825	2.622	1.75	3.61	0
t_n826	0.461	0.18	0.85	0
t_n827	0.69	0.19	1.45	0
t_n828	3.84	2.62	5.07	0
t_n829	2.966	1.87	4.18	0
t_n830	3.925	3.03	4.9	0
t_n831	3.467	2.55	4.47	0
t_n832	2.064	1.27	3.05	0
t_n833	1.543	0.92	2.34	0
t_n834	1.262	0.74	1.95	0
t_n835	1.038	0.6	1.61	0
t_n836	0.681	0.32	1.17	0
t_n837	2.714	1.85	3.71	0
t_n838	2.311	1.54	3.21	0
t_n839	1.773	1.12	2.55	0
t_n840	0.848	0.35	1.53	0
t_n841	5.849	4.9	6.88	0
t_n842	5.166	4.31	6.09	0
t_n843	5.032	4.18	5.95	0
t_n844	4.914	4.06	5.82	0
t_n845	4.723	3.85	5.65	0
t_n846	4.383	3.38	5.4	0
t_n847	0.268	0.05	0.67	0
t_n848	2.205	1.03	3.59	0
t_n849	3.346	2.18	4.59	0
t_n850	2.961	1.8	4.22	0
t_n851	4.741	3.87	5.67	0
t_n852	3.923	3	4.91	0
t_n853	2.697	1.6	3.88	0
t_n854	3.622	2.04	5	0
t_n855	4.392	3.01	5.55	0
t_n856	4.258	3.33	5.23	0
t_n857	2.956	2.02	4.03	0
t_n858	2.344	1.57	3.24	0
t_n859	0.659	0.19	1.39	0
t_n860	3.664	2.54	4.79	0
t_n861	5.502	4.47	6.59	0
t_n862	3.738	2.52	5.04	0
t_n863	2.562	1.49	3.82	0
t_n864	0.223	0.05	0.52	0
t_n865	6.323	5.31	7.4	0
t_n866	5.841	4.89	6.86	0
t_n867	3.928	3.23	4.7	0
t_n868	3.814	3.11	4.59	0
t_n869	2.867	2.22	3.61	0
t_n870	2.506	1.88	3.22	0
t_n871	2.124	1.5	2.85	0
t_n872	1.478	0.93	2.14	0
t_n873	0.916	0.46	1.51	0
t_n874	0.231	0.16	0.33	0
t_n875	2.98	2.16	3.88	0
t_n876	2.395	1.53	3.41	0
t_n877	4.38	3.43	5.4	0
t_n878	3.878	2.88	4.94	0
t_n879	0.07	0	0.25	0
t_n880	1.614	0.72	2.65	0
t_n881	3.735	2.63	4.86	0
t_n882	6.774	5.5	8.07	0
t_n883	4.94	3.5	6.59	0
t_n884	5.252	3.85	6.86	0
t_n885	5.558	4.11	7.28	0
t_n886	4.339	2.91	5.89	0
t_n887	3.591	1.63	5.69	0
t_n888	9.677	7.85	11.4	0
t_n889	8.371	5.58	10.53	0
t_n890	2.138	1.18	3.41	0
t_n891	0.628	0.22	1.27	0
t_n892	6.145	3.65	9.18	0
t_n893	1.542	0.14	4.09	0
t_n894	8.589	7.26	9.96	0
t_n895	6.792	5.65	8	0
t_n896	4.906	3.93	5.96	0
t_n897	4.098	3.11	5.17	0
t_n898	3.045	2.14	4.07	0
t_n899	2.628	1.67	3.7	0
t_n900	1.229	0.63	2	0
t_n901	0.262	0.03	0.68	0
t_n902	2.235	0.91	3.51	0
t_n903	3.417	2.31	4.58	0
t_n904	1.526	0.74	2.53	0
t_n905	4.282	3.38	5.24	0
t_n906	3.789	2.86	4.78	0
t_n907	3.478	2.56	4.48	0
t_n908	2.421	1.55	3.41	0
t_n909	0.578	0.21	1.12	0
t_n910	3.969	3.04	5.02	0
t_n911	2.821	1.99	3.77	0
t_n912	1.943	1.17	2.84	0
t_n913	1.545	0.82	2.39	0
t_n914	0.463	0.15	0.92	0
t_n915	2.993	1.92	4.17	0
t_n916	1.946	0.95	3.16	0
t_n917	7.344	6.07	8.69	0
t_n918	6.283	5.18	7.47	0
t_n919	5.254	4.23	6.37	0
