mean	q-2.5%	q-97.5%	var	sd
692-MAMMALIA	-0.6	0	4.2	11.4	5.6
693-MURIDAE	1.5	2.1	3.7	4.1	2
698-MURINAE	2.6	0.4	8.7	38.9	17.9
752-M.pahari-rest	0.1	0.9	2	1.8	0.9
770-M.caroli-rest	0.1	0	1.6	0.8	0.4
771-M.spretus-M.musculus	0	1.8	-1.6	-8.7	-4.5
1379-CRICETIDAE	-2.7	-1.5	-3.6	-22.1	-11.7
