mean	q-2.5%	q-97.5%	var	sd
692-MAMMALIA	-0.5	-0.1	4.5	11.6	5.6
693-MURIDAE	1.3	2.1	3.4	1.8	0.9
698-MURINAE	-3.9	-2.9	-0.5	-5.3	-2.7
752-M.pahari-rest	-0.2	0.4	0.7	-3.2	-1.6
770-M.caroli-rest	0	0.5	3	6.2	3.1
771-M.spretus-M.musculus	-0.8	0.7	3.1	6.8	3.3
1379-CRICETIDAE	-2	-0.1	-2.6	-22.3	-11.8
