Calib;node;Prior
MAMMALIA;211;ST(1.642,0.425,12.652,1714.565)
RODENTIA;212;ST(0.606,0.005,0.178,5.22)
CAVIOMORPHA-PHIOMORPHA;214;ST(0.414,0.014,-0.164,18.225)
BATHYERGIDAE|PHIOMORPHA;385;ST(0.324,0.016,-0.255,17.835)
CAVIOMORPHA;215;ST(0.356,0.014,0.022,18.214)
CAVIA_PORCELLUS-CAVIA_APEREA;360;ST(0.086,0.01,0.671,36.22)
CHINCHILLA_LANIGERA-OCTODON_DEGUS;217;ST(0.317,0.014,0.203,19.215)
ABROCOMIDAE;340;B(0.01778,0.09112)
