mean	q-2.5%	q-97.5%	var	sd
692-Mammalia	-0.6	0	4.2	11.2	5.4
693-Muridae	1.4	2.2	3.6	3.3	1.7
698-Murinae	-4.2	-4	-1.1	-3.9	-1.9
752-Mpahari-rest	-0.3	0.3	1.9	2.1	1.1
770-Mcaroli-rest	-0.2	0.8	1.3	0.5	0.2
771-Mspretus=Mmusculus	-4	-2.5	-5.1	-24.1	-12.9
1379-Cricetidae	-2.1	-0.7	-3	-22.3	-11.9
