mean	q-2.5%	q-97.5%	var	sd
692-Mammalia	-0.5	-0.1	4.3	12.4	6
693-Muridae	1.6	2.3	3.4	2.8	1.4
698-Murinae	3.8	1.5	10.1	41.6	19
752-Mpahari-rest	0.1	0.3	2.4	6	3
770-Mcaroli-rest	-0.6	-0.1	0.9	0.1	0
771-Mspretus=Mmusculus	2.6	4	6.8	13.6	6.6
1379-Cricetidae	-2.4	-1.6	-2.7	-16.7	-8.7
