t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run3	2.05683038733563	1.4040150440828	0.554137760436978	0.452102129453527	0.797124044462777	0.782436579581021	0.619504825723714	0.65569026740163	0.566762680280986	0.747537977571121	0.695833336338183	0.585180004169792	0.67951694760262	0.587123124968752	0.672939746632668	0.519829310439478	0.155347697225139	0.0794400695765212	0.446223609964502	0.378084713369332	0.661592319984001	0.574296962266887	0.549818417759112	0.500617057712114	0.18472195740713	0.0810272904754762	0.695483875051247	0.687272089825509	0.660180256372181	0.476453096780161	0.60700698499575	0.59257881980401	0.411243956702165	0.319605809584521	0.355680301424929	0.0903199139743013	0.318463405044748	0.548985237068147	0.463274401174941	0.374929766241688	0.203652762871856	0.161838738443078	0.106251159987001	0.152068266496675	0.108989991115444	0.0539400208439578	0.0279360277386131	0.0131377469826509	0.646940409774511	0.526175727028649	0.34997479740013	0.613718491085446	0.400324464431778	0.175447147582621	0.168527633518324	0.154071483140843	0.301612016284186	0.181733152152392	0.136364604839758	0.103977527133643	0.0884496096645168	0.0742112476176191	0.0573024485075746	0.0422176751312434	0.13175621180441	0.040522881840908	0.225328357282136	0.200343698070096	0.113152187900605	0.0924649651617419	0.0378785647767612
run4	1.99913119512524	1.3806714159342	0.568881243777811	0.465761506274686	0.802450228628569	0.787698027783611	0.625371632933353	0.660342710079496	0.571237833553322	0.751510219834008	0.697593991330433	0.584669494845258	0.679338644812759	0.584561459122044	0.672608634518274	0.516666732148393	0.152792024503775	0.0778722723213839	0.4429685780061	0.375159441027949	0.661054410189491	0.573189818379081	0.548706627183641	0.499694926638668	0.186353849687516	0.0820068760761962	0.697740272096395	0.689302343812809	0.661526666661667	0.476311257902105	0.606334214144293	0.591722168511574	0.409874178896055	0.318250164481776	0.354584105484726	0.0902086394480276	0.317548749172541	0.54757420039998	0.460316203739813	0.37085558820059	0.201323297290135	0.160076129513524	0.105206089250537	0.150437377771111	0.107782278436078	0.053328589460527	0.0275918974251287	0.0129729165241738	0.646884242762862	0.526896876911154	0.350144115469227	0.613525124343783	0.399544270431478	0.182744791505425	0.175630237868107	0.160724220543973	0.300566914304285	0.180673808339583	0.135497728223589	0.103300127768612	0.0878715679416029	0.0737312214289286	0.056944510699465	0.0419611968501575	0.130929143232838	0.040179098920054	0.22432314540273	0.199381065826709	0.112649709829509	0.0920562027098645	0.0377201558322084
run7	2.10422695355732	1.38630266727664	0.554479039528024	0.452599049092545	0.802194866181691	0.787463528833558	0.624896136358182	0.660544874436278	0.571418308429579	0.751578651857407	0.698628491765412	0.586209775066247	0.681999280230988	0.588129052852357	0.675291794890255	0.521884095920204	0.156424893715314	0.0800408430078496	0.448271716494175	0.380108024368782	0.663520519109045	0.57507111320434	0.550411370566472	0.501058137983101	0.189213001889906	0.0832900972901355	0.697722564416779	0.689303169211539	0.661572555872206	0.476284256877156	0.607092403754812	0.592480698135093	0.413097258922054	0.321632739313034	0.357617636493175	0.0911254587670616	0.320435086040698	0.548188528188591	0.460119863671816	0.369776121748913	0.197817183855807	0.15692875420729	0.102918350522474	0.147420740877956	0.105016997445128	0.051901215839208	0.0268450596970151	0.0126218361781911	0.647743047242638	0.526928612614369	0.350391423948803	0.614502004734763	0.404728779226039	0.183057868861557	0.175907608139593	0.160964220548973	0.305681107174641	0.18480188539573	0.138981824098795	0.106114183940803	0.0903100314234288	0.0758031193890305	0.0585663775661217	0.0431650677116144	0.134102175026249	0.041290813039348	0.228407172846358	0.203017355067247	0.114334206489676	0.0933796675816209	0.0382387531223439
run8	1.97944465056747	1.38592933981301	0.547807698740063	0.446565980275986	0.800043832158392	0.785321701969901	0.623516805234738	0.658620009869507	0.569736449932503	0.749515124568772	0.695919045647718	0.583999939223039	0.679255998750062	0.586296450057497	0.672636485560722	0.520054604409779	0.156263419704015	0.079950509839508	0.446821760691965	0.379064589955502	0.661230058232088	0.573585857452127	0.549051179696015	0.499810142267887	0.185129449642518	0.0815186995750213	0.696469132163392	0.688145299360032	0.660746813359332	0.476545456327184	0.606674464286786	0.592210330223489	0.411185815854207	0.31905942099895	0.355869460456977	0.0904131290885456	0.318739768721564	0.548599868011599	0.462508954272286	0.373732813469327	0.203842676906155	0.162080396335183	0.106554573961302	0.152310574121294	0.109368421283936	0.0541088393880306	0.0280083358082096	0.0131715538323084	0.646758530848458	0.527893991320434	0.351994010989451	0.61373495359732	0.401617493910304	0.182623174026299	0.175503076216189	0.160599874471276	0.302569533388331	0.18169869860507	0.136155560941953	0.103766810944453	0.0882577327533623	0.0740484178441078	0.0571685307134643	0.0421175163741813	0.131564024493775	0.0404048882305885	0.226219372431378	0.20111800280486	0.113391635538223	0.0926324574621269	0.0379575358382081
run9	2.00990167385131	1.39273200053497	0.562967411499425	0.460000015109245	0.798190470556472	0.783514728118594	0.621235751677416	0.656677023973801	0.56823367160142	0.748500236218189	0.696330324778761	0.584616063856807	0.679851700549972	0.586786439413029	0.673213892015399	0.518667253422329	0.156590147967602	0.0801156421878906	0.444937508274586	0.376981280060997	0.661774718754062	0.57400424879256	0.549446477521124	0.500229097715114	0.185193584320784	0.0812549572221389	0.696439525268737	0.688216506814659	0.660975895095245	0.476233093345333	0.607072683385831	0.592456274351282	0.410329638188091	0.318847642412879	0.354870189130543	0.0898403762911854	0.317719877566122	0.548141853662317	0.460362067546623	0.370166690820459	0.198600721078946	0.157578806544673	0.103278373781311	0.14802912819359	0.105437597860107	0.0520069892055397	0.0268822830058497	0.0126351329233538	0.648319555307235	0.530097666726664	0.355168988760562	0.6155085740013	0.403802240747963	0.185364937468127	0.178152197070146	0.163052579146043	0.303943722723864	0.182899313014349	0.137153422663867	0.104602326068697	0.0889900832858357	0.0746641836508175	0.0576512337383131	0.0424715579221039	0.132507886015699	0.0406493200489976	0.226649767856607	0.201350848632568	0.113216358252087	0.0924462614919254	0.0378250501024949
run11	2.01606011720914	1.40167817414129	0.558459640132993	0.455597021138943	0.801792321068947	0.78693209279036	0.623698860306985	0.65931799120044	0.570214365081746	0.750884564931753	0.697645599305035	0.584670186050697	0.680910418084096	0.586617521918904	0.674176904014799	0.518463432688366	0.155033247317634	0.079234905379731	0.444539552562372	0.376386800169991	0.66258650058997	0.573890420273986	0.549208855157242	0.499858173431328	0.186741647267637	0.0820976330033498	0.69752401719414	0.68918505360232	0.661635532118394	0.476086862066897	0.607332812244388	0.592626144382781	0.412201235713214	0.321016126853657	0.357062087055647	0.0909428227138643	0.320042567286636	0.54796813500325	0.459549705044748	0.368792531723414	0.1953026360082	0.154677566476676	0.101156015929204	0.145257374576271	0.1033791860007	0.0509372363881806	0.0263390944952752	0.012381196060197	0.648742679916004	0.528812107294635	0.352233900279986	0.615580760421979	0.403599576301185	0.180979703539823	0.173894016684166	0.159070697035148	0.304683857677116	0.184191688765562	0.138453635328234	0.105671461311934	0.0899021134343283	0.0754290853907305	0.0582522533673316	0.04290720659967	0.133656796775161	0.0410578153842308	0.22765690879956	0.202355353387331	0.114018899885006	0.0931218313184341	0.03813198520074
run13	1.97479560535473	1.38900838117594	0.560175795670216	0.456919383415829	0.801397331243438	0.786546762741863	0.622433276266187	0.658641356682166	0.569042262631868	0.750811750367482	0.697705024943753	0.585032856432178	0.681072637733113	0.586933110239488	0.674379641372931	0.518843025698715	0.153607393545323	0.0782888827908605	0.44485645440728	0.376595764321784	0.662845466506675	0.574702963451827	0.550045723348833	0.50065748119594	0.18759489259037	0.0823845488925554	0.69776944120294	0.689429700074996	0.661906905839708	0.4765365860057	0.607844980315984	0.59327092579871	0.410722323513824	0.318406762876856	0.354980045977701	0.0894479974751262	0.317720422378881	0.549485837413129	0.464181516724164	0.376222686285686	0.209263554382281	0.166752793070346	0.109576383320834	0.156750600744963	0.112387360916954	0.0557281597270137	0.0288522986250687	0.0135664491625419	0.648508153912304	0.528372218944053	0.352629979831008	0.615202270741463	0.402936515849208	0.185105597235138	0.177902693810309	0.162824933123344	0.303371972066397	0.182062394705265	0.136301463661817	0.10380042460877	0.0882574133043348	0.0740190087645618	0.0571279842357882	0.0420806179691015	0.131830896540173	0.0404596431578421	0.226674489930503	0.201478478111094	0.113634321013949	0.0928285527873606	0.0380087376631168
run16	2.00304166958652	1.38687654294285	0.528139642557872	0.429991071181441	0.797308039673016	0.782679907954602	0.621475312439378	0.655490975626219	0.56663877280136	0.747680056687166	0.695757403654817	0.584516166171691	0.679344255617219	0.586525781345933	0.672729538168092	0.519464789750512	0.155519424013799	0.0793744839958002	0.446198803919804	0.37844125760712	0.661313014949253	0.573247379311034	0.548693415969202	0.499552370026499	0.186135953437328	0.0816183274586271	0.695388245662717	0.687151878816059	0.660001531418429	0.476510331648418	0.606724578346083	0.592298535583221	0.410832010349483	0.319123423618819	0.355198417784111	0.0897992770611469	0.317943469671516	0.548723007074646	0.463426479736013	0.37558430020499	0.207144737813109	0.164823833108345	0.108177679356032	0.154907126488676	0.111319742032898	0.0550853896505175	0.0284976016299185	0.0133951510774461	0.646732531453427	0.526182670571471	0.349327263246838	0.613542610769461	0.401338462746863	0.181814341647918	0.1746948739913	0.159811635968202	0.301773574756262	0.180507357177141	0.135118321543923	0.102911215654217	0.0874896315484226	0.0733739930703465	0.0565903185340733	0.0416741296985151	0.130591160346983	0.0400149664416779	0.22530469820509	0.200271498990051	0.113092372971351	0.0923932658917054	0.0378093685165742
