t_n73	t_n74	t_n75	t_n76	t_n77	t_n78	t_n79	t_n80	t_n81	t_n82	t_n83	t_n84	t_n85	t_n86	t_n87	t_n88	t_n89	t_n90	t_n91	t_n92	t_n93	t_n94	t_n95	t_n96	t_n97	t_n98	t_n99	t_n100	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143
run3	2.4951376	1.6475331	0.691211	0.5628306	0.8247221	0.8081253	0.6653228	0.6887339	0.6137432	0.7669709	0.7100385	0.6107951	0.6930634	0.6104825	0.6862537	0.5499329	0.1947983	0.1039903	0.4814038	0.4177413	0.6748028	0.5881053	0.5635441	0.5152162	0.2289182	0.1070383	0.7093845	0.7006119	0.6722547	0.4963543	0.6180844	0.6039146	0.4371057	0.3504264	0.3819454	0.1084601	0.3450189	0.5628102	0.4874057	0.410741	0.2502099	0.2018395	0.136263	0.1901659	0.142077	0.0725016	0.0382178	0.0181404	0.6607132	0.556058	0.4028232	0.630098	0.4311238	0.2125033	0.2045441	0.1881199	0.3279501	0.2038698	0.1550053	0.1196734	0.1023412	0.0863297	0.0676693	0.0503775	0.1510046	0.0499675	0.2474521	0.2209497	0.1236982	0.1009032	0.0440765
run4	2.4795098	1.6354922	0.6949332	0.5676136	0.8347871	0.8193159	0.6789026	0.7021558	0.6218295	0.779236	0.72384	0.6124919	0.6992791	0.6112389	0.6909265	0.5503774	0.19154	0.1015545	0.4814189	0.4173651	0.6783082	0.5886927	0.5634356	0.5146407	0.2289466	0.106222	0.7148855	0.7055901	0.6759458	0.4973969	0.6188281	0.604237	0.4381992	0.3518008	0.3835807	0.1091443	0.3475481	0.5623579	0.486433	0.4082732	0.2528263	0.2038199	0.1375534	0.1919636	0.1431474	0.0736044	0.0386169	0.0183605	0.6616866	0.555999	0.4021149	0.6301037	0.4313015	0.213341	0.2052896	0.1889399	0.3279115	0.2035744	0.1548996	0.11946	0.1021844	0.086371	0.0676064	0.0503366	0.1504973	0.0496592	0.2476581	0.2209789	0.1236279	0.1007307	0.0439832
run7	2.5013473	1.641524	0.6964731	0.5647934	0.8430297	0.8268484	0.6752168	0.6983156	0.623253	0.7856126	0.7332595	0.6177219	0.7166162	0.6214412	0.7100941	0.5594245	0.1941928	0.102962	0.4902545	0.426492	0.6977226	0.5943695	0.5689768	0.5185573	0.2309714	0.107274	0.7197236	0.7097345	0.6793234	0.4967884	0.6190482	0.604257	0.4398935	0.3533412	0.3859236	0.1091934	0.3493271	0.5621652	0.4845405	0.4035743	0.2448387	0.1981445	0.1331133	0.1868691	0.1368202	0.0697109	0.0365335	0.0173069	0.6622576	0.557188	0.4028891	0.6305073	0.4354761	0.2173857	0.2092117	0.1926587	0.3325321	0.2077163	0.1588135	0.1228889	0.1052573	0.0889844	0.0697325	0.0519234	0.1538714	0.0513589	0.2509031	0.2240768	0.1243394	0.1011336	0.0443044
run8	2.4694804	1.6280825	0.6920171	0.5633316	0.8350811	0.8184649	0.674793	0.6986534	0.6201479	0.7769337	0.7213409	0.6111663	0.7037594	0.6107857	0.6961393	0.5519117	0.1944482	0.1034827	0.4846711	0.4223252	0.6836129	0.5887707	0.5635897	0.5143035	0.2263869	0.1047148	0.7166993	0.7074033	0.6775048	0.4983963	0.6204751	0.6058746	0.438022	0.3518131	0.3840678	0.1088968	0.3468069	0.5631558	0.4865142	0.4076234	0.247459	0.1992105	0.1340281	0.1876313	0.1387645	0.0709666	0.0372514	0.0177402	0.6615812	0.5564042	0.406456	0.6301719	0.4329736	0.2140959	0.206254	0.1897802	0.3309377	0.204229	0.1553037	0.1199181	0.1026772	0.0867353	0.0679169	0.0505301	0.1511248	0.0497024	0.2503531	0.2234802	0.1239158	0.1008371	0.0441455
run9	2.5013303	1.6253528	0.701297	0.5681257	0.8237807	0.8072456	0.6649318	0.6900169	0.6143108	0.766243	0.709066	0.6089023	0.6918794	0.608865	0.6850296	0.5499642	0.1940359	0.1036525	0.4831037	0.4199705	0.6733073	0.5867854	0.5624247	0.5138545	0.2254448	0.1043936	0.7097059	0.7010571	0.6727716	0.4969947	0.6174533	0.6031953	0.4384847	0.3500543	0.3832067	0.1080418	0.3463856	0.5612253	0.4845439	0.4063285	0.2478233	0.2012595	0.1347955	0.1895448	0.1391404	0.0703945	0.0367967	0.0174143	0.661036	0.5588714	0.411926	0.6307845	0.4368236	0.2178594	0.2099031	0.1931053	0.3317637	0.2048007	0.1552919	0.1197866	0.1024356	0.0864347	0.0678828	0.0505753	0.1516853	0.0503583	0.2501631	0.2230888	0.1240608	0.1008673	0.0440758
run11	2.4574405	1.644475	0.6974487	0.5674374	0.8348413	0.8179172	0.6703559	0.6944898	0.6179967	0.7738323	0.7175791	0.6125756	0.7007633	0.6124399	0.6938731	0.5485355	0.1938345	0.1028737	0.4804174	0.4170935	0.6817303	0.5896119	0.5643569	0.5149419	0.2313415	0.1075448	0.7136448	0.704434	0.6746268	0.496298	0.6189005	0.6044867	0.438775	0.3526163	0.3842673	0.1089776	0.3479448	0.5631297	0.4866076	0.4060719	0.2422257	0.1945714	0.1307859	0.1833792	0.1363044	0.0688399	0.0360509	0.0170723	0.6618564	0.5581355	0.4060113	0.6311772	0.4316673	0.2140785	0.2061017	0.1894559	0.3285262	0.205496	0.157289	0.121464	0.1039453	0.0878344	0.0689357	0.0512471	0.1523638	0.0505343	0.2485517	0.2216432	0.1239988	0.1009236	0.0442087
run13	2.4804344	1.6157328	0.6988724	0.5666574	0.8387565	0.8216672	0.6687787	0.6927617	0.6150288	0.7791165	0.7174863	0.6101442	0.6987712	0.6102403	0.6912306	0.5500695	0.1917836	0.1023127	0.4816509	0.4184339	0.6785649	0.5890472	0.5637653	0.5145542	0.2310837	0.108063	0.7157818	0.706212	0.6755089	0.4974612	0.6201012	0.6058125	0.4396795	0.3513618	0.3842545	0.1081069	0.3474317	0.5645074	0.4892365	0.4104128	0.2526	0.2036551	0.1382016	0.1921628	0.1427409	0.0731004	0.0385842	0.0183757	0.6621002	0.5584087	0.405989	0.6315227	0.4340124	0.2137629	0.2057424	0.189056	0.3306361	0.2050201	0.1552886	0.1193611	0.1019781	0.08599	0.0675099	0.0503049	0.1516716	0.0500272	0.2498861	0.2226554	0.1239631	0.1009162	0.0441318
run16	2.487833	1.6288604	0.6891653	0.559328	0.8260451	0.8095275	0.6687347	0.690367	0.6135245	0.76799	0.7110102	0.6103499	0.6939583	0.6112701	0.6872427	0.5532262	0.1933409	0.1027767	0.4861989	0.4236201	0.675836	0.5879711	0.5630594	0.514224	0.230328	0.1061148	0.7099432	0.7010615	0.6722279	0.4970141	0.6181882	0.6039218	0.4390323	0.353011	0.3842423	0.1090446	0.3478961	0.5633366	0.4901061	0.4134959	0.2513389	0.2031296	0.1373021	0.1915651	0.1420391	0.0727088	0.0382979	0.0181745	0.6606894	0.5558871	0.4033494	0.6300904	0.4342606	0.2144416	0.2064585	0.1898654	0.3305523	0.2033254	0.1541147	0.1186555	0.1012984	0.0855836	0.0668449	0.0497223	0.1499886	0.0493934	0.2490796	0.222111	0.1238812	0.1008841	0.0439568
