Taxon	Len_aln	Num_gaps	Missing_taxon	perc_missdat
acomys_cahirinus	94825	92977	N	98.0511468494595
acomys_chudeaui	94825	94825	Y	100
acomys_cilicicus	94825	94825	Y	100
acomys_dimidiatus	94825	94825	Y	100
acomys_ignitus	94825	93114	N	98.195623517005
acomys_johannis	94825	94633	N	99.7975217505932
acomys_minous	94825	94825	Y	100
acomys_nesiotes	94825	94825	Y	100
acomys_ngurui	94825	94825	Y	100
acomys_percivali	94825	94403	N	99.5549696809913
acomys_russatus	94825	93111	N	98.192459794358
acomys_spinosissimus	94825	94414	N	99.5665699973636
acomys_wilsoni	94825	94402	N	99.5539151067756
allactaga_balikunica	94825	93656	N	98.767202741893
allactaga_bullata	94825	93402	N	98.4993408911152
allactaga_elater	94825	92983	N	98.0574742947535
allactaga_euphratica	94825	94825	Y	100
allactaga_firouzi	94825	94825	Y	100
allactaga_hotsoni	94825	94501	N	99.658317954126
allactaga_major	94825	93426	N	98.5246506722911
allactaga_sibirica	94825	93278	N	98.3685736883733
allactaga_toussi	94825	94825	Y	100
allactaga_williamsi	94825	94825	Y	100
allactodipus_bobrinskii	94825	93437	N	98.5362509886633
allocricetulus_eversmanni	94825	94825	Y	100
alticola_albicaudus	94825	94472	N	99.6277353018719
alticola_argentatus	94825	94417	N	99.5697337200105
alticola_barakshin	94825	94472	N	99.6277353018719
alticola_lemminus	94825	94415	N	99.5676245715792
alticola_macrotis	94825	94413	N	99.5655154231479
alticola_macrotis_vinogradovi~	94825	94825	Y	100
alticola_montosa	94825	94825	Y	100
alticola_olchonensis	94825	94412	N	99.5644608489322
alticola_semicanus	94825	93828	N	98.9485895069866
alticola_strelzowi	94825	94417	N	99.5697337200105
alticola_strelzowi_desertorum	94825	94825	Y	100
alticola_tuvinicus	94825	93820	N	98.9401529132613
anomalurus	94825	88805	N	93.6514632217242
arvicola_amphibius	94825	93073	N	98.1523859741629
arvicola_sapidus	94825	94481	N	99.6372264698128
arvicola_scherman	94825	94479	N	99.6351173213815
baiomys_musculus	94825	93534	N	98.6385446875824
baiomys_taylori	94825	93855	N	98.9770630108094
beamys_hindei	94825	93408	N	98.5056683364092
blanfordimys_afghanus	94825	94825	Y	100
blanfordimys_bucharensis	94825	94530	N	99.6889006063802
brachytarsomys_albicauda	94825	92957	N	98.0300553651463
brachyuromys_betsileoensis	94825	93317	N	98.4097020827841
brachyuromys_ramirohitra	94825	94526	N	99.6846823095175
calomyscus_bailwardi	94825	94825	Y	100
calomyscus_baluchi	94825	94141	N	99.2786712364883
calomyscus_hotsoni	94825	94825	Y	100
cannomys_badius	94825	94287	N	99.4326390719747
cardiocranius_paradoxus	94825	93464	N	98.5647244924862
castor_canadensis	94825	88677	N	93.5164777221197
castor_fiber	94825	91201	N	96.1782230424466
castor_fiber_albicus	94825	94825	Y	100
castor_fiber_birulai	94825	94825	Y	100
castor_fiber_pohlei	94825	94825	Y	100
chaetodipus_arenarius	94825	94825	Y	100
chaetodipus_siccus	94825	94825	Y	100
chaetodipus_artus	94825	94825	Y	100
chaetodipus_baileyi	94825	94825	Y	100
chaetodipus_californicus	94825	93815	N	98.934880042183
chaetodipus_dalquesti	94825	94825	Y	100
chaetodipus_eremicus	94825	94825	Y	100
chaetodipus_fallax	94825	94825	Y	100
chaetodipus_formosus	94825	94114	N	99.2501977326654
chaetodipus_goldmani	94825	94825	Y	100
chaetodipus_hispidus	94825	94486	N	99.6424993408911
chaetodipus_intermedius	94825	94508	N	99.6656999736356
chaetodipus_nelsoni	94825	94440	N	99.5939889269707
chaetodipus_penicillatus	94825	94825	Y	100
chaetodipus_pernix	94825	94825	Y	100
chaetodipus_rudinoris	94825	94825	Y	100
chaetodipus_spinatus	94825	94825	Y	100
chionomys_gud	94825	94227	N	99.3693646190351
chionomys_nivalis	94825	92679	N	97.7368837331927
chionomys_roberti	94825	94223	N	99.3651463221724
cratogeomys_castanops	94825	91029	N	95.996836277353
cratogeomys_fulvescens	94825	94825	Y	100
cratogeomys_fumosus	94825	94825	Y	100
cratogeomys_fumosus_angustirostris~	94825	94825	Y	100
cratogeomys_fumosus_imparilis~	94825	94825	Y	100
cratogeomys_goldmani	94825	94825	Y	100
cratogeomys_goldmani_rubellus	94825	94825	Y	100
cratogeomys_gymnurus	94825	94825	Y	100
cratogeomys_merriami	94825	94429	N	99.5823886105985
cratogeomys_neglectus	94825	94825	Y	100
cratogeomys_perotensis	94825	94825	Y	100
cratogeomys_planiceps	94825	94490	N	99.6467176377538
cratogeomys_tylorhinus	94825	94825	Y	100
cratogeomys_zinseri	94825	94825	Y	100
cricetomys_ansorgei	94825	94427	N	99.5802794621672
cricetomys_emini	94825	94419	N	99.5718428684419
cricetomys_gambianus	94825	93818	N	98.93804376483
cricetulus_barabensis	94825	94658	N	99.8238861059847
cricetulus_griseus	94825	88132	N	92.9417347745848
urocricetus_kamensis	94825	94825	Y	100
urocricetus_lama	94825	94825	Y	100
cricetulus_longicaudatus	94825	94068	N	99.2016873187451
cricetulus_migratorius~	94825	92897	N	97.9667809122067
cricetulus_migratorius_phaeus~	94825	94825	Y	100
cricetulus_sokolovi	94825	94825	Y	100
cricetus_cricetus	94825	92276	N	97.3118903242816
delanymys_brooksi	94825	93902	N	99.0266279989454
dendromus_insignis	94825	93821	N	98.9412074874769
dendromus_melanotis	94825	94825	Y	100
dendromus_mesomelas	94825	93235	N	98.3232269970999
dendromus_mystacalis	94825	94441	N	99.5950435011864
dendromus_nyasae_kivu	94825	94175	N	99.3145267598207
dendromus_nyikae	94825	94416	N	99.5686791457949
deomys_ferrugineus	94825	92807	N	97.8718692327973
dicrostonyx_groenlandicus	94825	94473	N	99.6287898760875
dicrostonyx_hudsonius	94825	94825	Y	100
dicrostonyx_richardsoni	94825	94825	Y	100
dicrostonyx_torquatus	94825	94154	N	99.2923807012918
dinaromys_bogdanovi	94825	94825	Y	100
dipodomys_agilis	94825	94825	Y	100
dipodomys_californicus	94825	94825	Y	100
dipodomys_compactus	94825	94825	Y	100
dipodomys_deserti	94825	94825	Y	100
